cui	fword	text	code	sourcetype	tui
C0009437	Common	Common bile duct structure	79741001	SNOMEDCT	T023
C0009437	Common	Common bile duct	79741001	SNOMEDCT	T023
C0009437	Common	Common Bile Duct	C12698	NCI	T023
C0009437	common	common bile duct	C12698	NCI	T023
C0009437	Common	Common bile duct , NOS	79741001	SNOMEDCT	T023
C0009437	Common	Common bile duct structure ( body structure )	79741001	SNOMEDCT	T023
C0009437	Ductus	Ductus Communis Choledochus	C12698	NCI	T023
C0000726	Abdominal	Abdominal structure	113345001	SNOMEDCT	T029
C0000726	Abdomen	Abdomen	113345001	SNOMEDCT	T029
C0000726	Abdomen	Abdomen , NOS	113345001	SNOMEDCT	T029
C0000726	Abdominal	Abdominal	C25342	NCI	T029
C0000726	Abdominal	Abdominal	277112006	SNOMEDCT	T029
C0000726	abdominal	abdominal	C25342	NCI	T029
C0000726	Abdominal	Abdominal structure ( body structure )	113345001	SNOMEDCT	T029
C0000726	Abdominal	Abdominal ( qualifier value )	277112006	SNOMEDCT	T029
C0001314	Acute	Acute disease	2704003	SNOMEDCT	T047
C0001314	Acute	Acute disease , NOS	2704003	SNOMEDCT	T047
C0001314	Acute	Acute disease ( disorder )	2704003	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm	C26693	NCI	T047
C0002940	Aneurysm	Aneurysm	432119003	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm	C26693	NCI	T047
C0002940	Aneurysm	Aneurysm	85659009	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS	155425005	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS	155428007	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS	155425005	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS	155428007	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS	195292009	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm , NOS	85659009	SNOMEDCT	T047
C0002940	ANEURYSM	ANEURYSM NOS	442.9	ICD9CM	T047
C0002940	Aneurysm	Aneurysm of unspecified site	442.9	ICD9CM	T047
C0002940	Aneurysmal	Aneurysmal dilatation	85659009	SNOMEDCT	T047
C0002940	Aneurysmal	Aneurysmal dilatation , NOS	85659009	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm - lesion	134342004	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm ( morphologic abnormality )	85659009	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS ( disorder )	155428007	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS ( disorder )	155425005	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm NOS ( disorder )	195292009	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm ( disorder )	432119003	SNOMEDCT	T047
C0002940	Aneurysm	Aneurysm - lesion ( qualifier value )	134342004	SNOMEDCT	T047
C0002940	Unspecified	Unspecified aneurysm	362727005	SNOMEDCT	T047
C0002940	Unspecified	Unspecified aneurysm	362727005	SNOMEDCT	T047
C0002940	Unspecified	Unspecified aneurysm ( disorder )	362727005	SNOMEDCT	T047
C0003483	Aortic	Aortic structure	15825003	SNOMEDCT	T023
C0003483	Aorta	Aorta	C12669	NCI	T023
C0003483	Aorta	Aorta	15825003	SNOMEDCT	T023
C0003483	aorta	aorta	C12669	NCI	T023
C0003483	Aorta	Aorta , NOS	15825003	SNOMEDCT	T023
C0003483	Aortic	Aortic	C12669	NCI	T023
C0003483	Aortic	Aortic	261051005	SNOMEDCT	T023
C0003483	Aortic	Aortic structure ( body structure )	15825003	SNOMEDCT	T023
C0003483	Aortic	Aortic ( qualifier value )	261051005	SNOMEDCT	T023
C0003484	Abdominal	Abdominal aorta structure	7832008	SNOMEDCT	T023
C0003484	Abdominal	Abdominal aorta	7832008	SNOMEDCT	T023
C0003484	Abdominal	Abdominal Aorta	C32038	NCI	T023
C0003484	Abdominal	Abdominal aorta structure ( body structure )	7832008	SNOMEDCT	T023
C0003893	Arthroplasty	Arthroplasty	C51691	NCI	T061
C0003893	Arthroplasty	Arthroplasty	239467002	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty	70805003	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty , NOS	70805003	SNOMEDCT	T061
C0003893	Reconstruction	Reconstruction of joint	70805003	SNOMEDCT	T061
C0003893	Joint	Joint reconstruction	367369001	SNOMEDCT	T061
C0003893	Joint	Joint reconstruction	367369001	SNOMEDCT	T061
C0003893	Reconstruction	Reconstruction of joint , NOS	70805003	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty - action	289931002	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty - action	289931002	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty [ Ambiguous ]	239467002	SNOMEDCT	T061
C0003893	Reconstruction	Reconstruction of joint ( procedure )	70805003	SNOMEDCT	T061
C0003893	Joint	Joint reconstruction ( procedure )	367369001	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty - action ( qualifier value )	289931002	SNOMEDCT	T061
C0003893	Arthroplasty	Arthroplasty ( procedure )	239467002	SNOMEDCT	T061
C0004144	Atelectasis	Atelectasis	155622000	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis	196142008	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis	266409009	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis	C2888	NCI	T046
C0004144	Atelectasis	Atelectasis	518.0	MTHICD9	T046
C0004144	Atelectasis	Atelectasis	46621007	SNOMEDCT	T046
C0004144	atelectasis	atelectasis	C2888	NCI	T046
C0004144	Atelectasis	Atelectasis , NOS	46621007	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse	196142008	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse	518.0	ICD9CM	T046
C0004144	Pulmonary	Pulmonary collapse	46621007	SNOMEDCT	T046
C0004144	PULMONARY	PULMONARY COLLAPSE	518.0	ICD9CM	T046
C0004144	Collapse	Collapse of lung	155622000	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung	196142008	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung	266409009	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung	308174005	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung	308174005	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung	518.0	MTHICD9	T046
C0004144	Collapse	Collapse of lung	46621007	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung NOS	33.39	MTHICD9	T046
C0004144	Collapse	Collapse - lung	155622000	SNOMEDCT	T046
C0004144	Collapse	Collapse - lung	266409009	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary atelectasis	46621007	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse with atelectasis	196142008	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse with atelectasis	266369005	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse with atelectasis	266369005	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse with atelectasis	46621007	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis ( & with pulmonary collapse )	196142008	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis ( & with pulmonary collapse )	196142008	SNOMEDCT	T046
C0004144	(	( Pulmonary collapse - atelactasis ) or ( atelectasis ) or ( collapse - lung )	155622000	SNOMEDCT	T046
C0004144	(	( Pulmonary collapse - atelactasis ) or ( atelectasis ) or ( collapse - lung )	266409009	SNOMEDCT	T046
C0004144	(	( Pulmonary collapse - atelactasis ) or ( atelectasis ) or ( collapse - lung )	155622000	SNOMEDCT	T046
C0004144	(	( Pulmonary collapse - atelactasis ) or ( atelectasis ) or ( collapse - lung )	266409009	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse - atelactasis	155622000	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse - atelactasis	266409009	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis ( disorder )	46621007	SNOMEDCT	T046
C0004144	Pulmonary	Pulmonary collapse with atelectasis ( disorder )	266369005	SNOMEDCT	T046
C0004144	Atelectasis	Atelectasis ( & with pulmonary collapse ) ( disorder )	196142008	SNOMEDCT	T046
C0004144	(	( Pulmonary collapse - atelactasis ) or ( atelectasis ) or ( collapse - lung ) ( disorder )	155622000	SNOMEDCT	T046
C0004144	(	( Pulmonary collapse - atelactasis ) or ( atelectasis ) or ( collapse - lung ) ( disorder )	266409009	SNOMEDCT	T046
C0004144	Collapse	Collapse of lung ( disorder )	308174005	SNOMEDCT	T046
C0004454	Structure	Structure of axillary fossa	422543003	SNOMEDCT	T029
C0004454	Axilla	Axilla	91470000	SNOMEDCT	T029
C0004454	Axilla	Axilla	34797008	SNOMEDCT	T029
C0004454	Axilla	Axilla	261056000	SNOMEDCT	T029
C0004454	Axilla	Axilla	261056000	SNOMEDCT	T029
C0004454	Axilla	Axilla	C12674	NCI	T029
C0004454	Axilla	Axilla	364715006	SNOMEDCT	T029
C0004454	Axilla	Axilla	422543003	SNOMEDCT	T029
C0004454	Axilla	Axilla , NOS	34797008	SNOMEDCT	T029
