Term,Medline Freq.,NB,AEC,A-JDI,MRD,ACUI,Type
AA,34503,0.9899,0.9545,0.9798,0.9899,0.9242,A 
ADA,5848,0.9848,0.9949,0.5,0.9798,0.6818,A 
ADH,5769,0.9949,1,,0.8636,0.9798,A 
ADP,44468,0.9799,0.8792,0.6779,0.6913,0.7114,A 
Adrenal,86187,0.8081,0.6364,0.5051,0.6667,0.6313,T 
Ala,28018,0.9461,0.8889,,0.7273,0.7138,A 
ALS,8971,0.9949,0.9394,0.5,0.9545,0.9495,A 
ANA,4866,0.9899,0.9899,0.5,0.7879,0.6313,A 
Arteriovenous Anastomoses,673,0.9457,0.4496,0.7674,0.7674,0.6977,T 
Astragalus,1157,0.9747,0.6364,0.7778,0.5152,0.399,T 
BAT,6395,0.7025,0.9848,0.8939,0.8737,0.9646,AT 
B-Cell Leukemia,639,0.9798,0.6646,,0.8101,0.6899,T 
BLM,2353,0.9747,0.904,0.5,0.9949,0.8485,A 
Borrelia,6900,0.8232,0.5303,0.4949,0.6566,0.3939,T 
BPD,3919,0.9949,0.9949,0.5556,1,0.9545,A 
BR,17996,0.9765,0.8882,0.8765,0.8941,0.6706,A 
Brucella abortus,2631,0.8944,0.6611,0.5556,0.6222,0.7278,T 
BSA,14378,1,0.9949,0.5,0.8535,0.9242,A 
BSE,2745,0.9949,0.9949,0.6919,0.9596,0.9343,A 
Ca,145691,0.8535,0.7071,,0.6869,0.5202,A 
CAD,16237,0.9747,0.9697,0.5051,0.9747,0.9646,A 
Callus,5941,0.9333,0.94,0.6733,0.6933,0.7933,T 
CAM,13829,0.9747,0.9293,0.5,0.8535,0.9141,A 
Cardiac pacemaker,1461,0.9293,0.9242,0.5,0.5101,0.697,T 
CCD,5011,1,0.9362,,0.9929,1,A 
CCl4,4516,0.9899,0.9949,0.6414,0.8182,0.8182,A 
CDA,1544,1,1,0.4899,0.9596,1,A 
CDR,2457,1,0.9728,0.6735,0.9184,0.9388,A 
Cell,1903168,0.9747,0.8384,0.7273,0.8889,0.9141,AT 
Cement,16813,0.8919,0.8,0.573,0.6919,0.7081,T 
CH,22974,0.9459,0.6824,,0.8311,0.7838,A 
Cholera,17451,0.9141,0.9091,0.5,0.9293,0.6111,T 
CI,167337,0.929,0.5191,,0.9781,0.4754,A 
Cilia,6599,0.9487,0.9295,0.6859,0.7436,0.6731,T 
CIS,62530,0.9935,1,0.9739,0.9608,0.8954,A 
CLS,1378,1,1,,1,0.7059,A 
CNS,63072,0.9848,0.9949,0.9091,0.9394,0.9798,A 
Coffee,6740,0.8485,0.8182,0.6465,0.5606,0.4747,T 
Cold,67218,0.9,0.7423,0.6538,0.6308,0.8,AT 
Compliance,62513,0.9242,0.899,0.6414,0.6616,0.6263,T 
Cortex,174069,0.9545,0.3636,0.5303,0.9495,0.9747,T 
Cortical,136425,0.9226,0.8519,,0.8316,0.9226,T 
CP,25736,0.9832,0.9697,0.468,0.9832,0.9731,A 
CPDD,59,0.9429,0.9714,0.6571,0.8857,0.9143,A 
Crack,3962,0.9755,0.9755,0.9141,0.8834,0.773,T 
CRF,9527,0.9949,0.9646,0.5,0.9747,0.9646,A 
cRNA,2753,1,1,0.9242,0.9091,0.9949,A 
Crown,15026,0.8889,0.7071,0.5,0.601,0.4848,T 
CTX,4694,0.9836,0.9945,0.6612,0.8033,0.9891,A 
DAT,4085,0.9899,0.9444,0.5,0.9293,0.9697,A 
DBA,10224,0.9891,0.9836,0.8743,0.9891,0.9672,A 
dC,28549,0.9848,0.8939,0.899,0.9747,0.9747,A 
DDD,3586,0.9192,0.8788,,0.8737,0.7475,A 
DDS,1508,0.9818,0.8864,0.4045,0.9364,0.9273,A 
DE,100604,0.9048,0.3651,,0.8095,0.7698,A 
DI,37257,0.9949,0.9747,0.5152,0.9697,0.9848,A 
Digestive,35329,0.8485,0.7374,0.5202,0.5303,0.4697,T 
DON,2545,0.9921,0.9841,0.9365,0.9127,0.9048,A 
drinking,60150,0.8788,0.8939,0.596,0.8586,0.8434,T 
eCG,39331,0.9949,0.9596,0.7121,0.8838,0.904,A 
Eels,1582,0.9923,1,0.5,0.9769,0.9692,AT 
EGG,49212,0.8586,0.5606,0.5758,0.6465,0.5303,T 
EM,12994,0.969,0.9302,0.7674,0.8915,0.8062,A 
EMS,6354,1,1,0.5758,0.9545,0.9545,A 
Epi,9259,0.9848,0.9192,,0.798,0.7222,A 
ERP,7012,1,0.9899,0.697,0.9848,0.9697,A 
ERUPTION,12182,1,0.9899,0.5455,0.7576,0.8283,T 
Erythrocytes,62444,0.8535,0.4444,0.4798,0.7273,0.5657,T 
Exercises,16921,0.8434,0.8636,0.5354,0.5606,0.5808,T 
FA,13128,0.9949,0.9697,0.5,0.9949,0.9141,A 
Familial Adenomatous Polyposis,3123,0.8586,0.5051,0.7778,0.7828,0.7172,T 
FAS,18410,0.9949,0.9899,0.5,0.9899,1,A 
