Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0392535	C0000786	0.038420				
C0018787	C0027061	0.141965				
C0038454	C0021308	0.082806				
C0011253	C0036341	0.085424				
C0006660	C1261287	0.042398				
C0006826	C0001418	0.041621				
C0018802	C0034063	0.049317				
C0034069	C0242379	0.071717				
C0011991	C0038354	0.078371				
C0026269	C0004238	0.086565				
C0006118	C0151699	0.066456				
C0003232	C0020517	0.019300				
C0034065	C0027051	0.082425				
C0007286	C0029408	0.084213				
C0003873	C0024141	0.101744				
C0001144	C0039142	0.039125				
C0011849	C0020538	0.068869				
C0010137	C0086511	0.039775				
C0206698	C0009378	0.049121				
C0221269	C0007107	0.053149				
C0003615	C0029456	0.074032				
C0011581	C0007642	0.074057				
C0020473	C0006826	0.047890				
C0026769	C0033975	0.081975				
C0030920	C0027092	0.079692				
C0009376	C0003483	0.063776				
C0042345	C0022742	0.064591				
C0043352	C0023891	0.090515				
