Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
D003920	D011127	0.000000	0.491896	0.232708	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D003920->D004700->*C0000000*<-D011127<-D020763<-D013568
D006975	D009508	0.000000	0.376914	0.223254	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D006975->D008107->D004066->*C0000000*<-D009508<-D009506<-D018326<-D009370<-D009369
D006333	D006975	0.000000	0.448182	0.223597	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006333->D006331->D002318->*C0000000*<-D006975<-D008107<-D004066
D007669	D014517	0.607605	0.491896	0.466744	0.703414	0.166667	0.087492	0.615385	D014570	D014570	D014570	D014570=D007669->D053040->D007674->*D014570*<-D014517<-D014515
D001416	D013130	0.000000	0.376914	0.213591	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D001416->D010146->D009461->D009422->*C0000000*<-D013130<-D013122<-D001847<-D009140
D001172	D012218	0.783955	0.803438	0.856531	0.973190	0.500000	0.519211	0.909091	D001172	D001172	D001172	D001172=D001172*<-D012218
D007114	D007153	0.000000	0.491896	0.243946	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D007114->D007158->D008919->*C0000000*<-D007153<-D007154
D009135	D003882	0.836281	0.688457	0.606483	0.833109	0.333333	0.165663	0.800000	D009135	D009135	D009135	D009135=D009135*<-D003882<-D009220
D019161	D006949	0.000000	0.320008	0.231833	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D019161->D004791->D045504->D020228->D020164->*C0000000*<-D006949<-D050171<-D052439<-D008659<-D009750
D004417	D059246	0.000000	0.688457	0.611394	0.860249	0.333333	0.169422	0.800000	D012818|D012120	D012818	D012818	D012818=D004417->*D012818*<-D059246|D012120=D004417->*D012120*<-D059246
D011655	D006469	0.600350	0.688457	0.477507	0.718831	0.333333	0.091902	0.750000	D008171	D008171	D008171	D008171=D011655->*D008171*<-D006469
D061028	D005356	0.000000	0.491896	0.212801	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D061028->D001829->*C0000000*<-D005356<-D012216<-D009140
D020521	D010291	0.459189	0.448182	0.355143	0.473439	0.142857	0.052546	0.400000	D009422	D009422	D009422	D009422=D020521->D002561->D001927->D002493->*D009422*<-D010291<-D009461
D003679	D010528	0.690919	0.606877	0.647713	0.887213	0.250000	0.200000	0.727273	D052799	D052799	D052799	D052799=D003679->*D052799*<-D010528<-D005769
D009362	D002277	0.590903	0.491896	0.445520	0.622166	0.166667	0.079407	0.444444	D009369	D009369	D009369	D009369=D009362->D009385->*D009369*<-D002277<-D009375<-D009370
D013700	D006261	0.432192	0.448182	0.343139	0.459056	0.142857	0.049742	0.400000	D009422	D009422	D009422	D009422=D013700->D020293->D020274->*D009422*<-D006261<-D010146<-D009461
D011928	D007511	0.000000	0.410315	0.220517	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D011928->D016491->D014652->D002318->*C0000000*<-D007511<-D010335<-D013568
D012594	D012595	0.629510	0.688457	0.469269	0.693652	0.333333	0.088507	0.750000	D012871|D003240	D003240	D003240	D012871=D012594->*D012871*<-D012595|D003240=D012594->*D003240*<-D012595
D007079	D003424	0.712014	0.543598	0.595279	0.847492	0.200000	0.157396	0.666667	D005759|D007410	D005759	D005759	D005759=D007079->D004751->*D005759*<-D003424<-D015212|D007410=D007079->D004751->*D007410*<-D003424<-D015212
D003967	D003092	0.000000	0.376914	0.224185	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D003967->D012817->D012816->D013568->*C0000000*<-D003092<-D005759<-D005767<-D004066
D004415	D010437	0.000000	0.410315	0.218888	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D004415->D012817->D012816->D013568->*C0000000*<-D010437<-D005767<-D004066
D003221	D003702	0.425158	0.491896	0.372069	0.529263	0.166667	0.056771	0.444444	D001520	D001520	D001520	D001520=D003221->D019954->*D001520*<-D003702<-D001526<-D001519
D006212	D011618	0.000000	0.410315	0.217702	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D006212->D010468->D019954->D001520->*C0000000*<-D011618<-D019967<-D001523
D013280	D019226	0.620422	0.688457	0.468814	0.699025	0.333333	0.088324	0.750000	D009059	D009059	D009059	D009059=D013280->*D009059*<-D019226
D011655	D011014	0.688150	0.688457	0.511966	0.752782	0.333333	0.107571	0.750000	D008171	D008171	D008171	D008171=D011655->*D008171*<-D011014
D001172	D001182	0.000000	0.448182	0.219280	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D001172->D012216->D009140->*C0000000*<-D001182<-D019637<-D013514
D007267	D006833	0.000000	0.410315	0.224679	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D007267->D004333->D004358->D013812->*C0000000*<-D006833<-D007592<-D009140
D014605	D015796	0.000000	0.320008	0.231294	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D014605->D014603->D005128->*C0000000*<-D015796<-D015235<-D006680<-D006649<-D007519<-D000941<-D001685
D014657	D013927	0.658354	0.606877	0.527138	0.750523	0.250000	0.115291	0.666667	D014652	D014652	D014652	D014652=D014657->*D014652*<-D013927<-D016769
D018805	D007022	0.000000	0.448182	0.222858	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D018805->D007239->D001423->*C0000000*<-D007022<-D014652<-D002318
D005774	D044342	0.000000	0.448182	0.231884	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D005774->D010030->D013514->*C0000000*<-D044342<-D009748<-D009750
D004487	D005919	0.000000	0.448182	0.219939	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D004487->D012816->D013568->*C0000000*<-D005919<-D014553<-D012101
D003113	D011127	0.000000	0.376914	0.217047	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D003113->D016099->D016145->D013505->D013514->*C0000000*<-D011127<-D020763<-D013568
D001024	D002113	0.000000	0.376914	0.220113	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D001024->D006349->D006331->D002318->*C0000000*<-D002113<-D048788<-D055705<-D010829
D008288	D000562	0.798396	0.688457	0.586890	0.829405	0.333333	0.151478	0.750000	D011528	D011528	D011528	D011528=D008288->*D011528*<-D000562
D012640	D006261	0.631672	0.606877	0.431479	0.631888	0.250000	0.074473	0.727273	D009461	D009461	D009461	D009461=D012640->*D009461*<-D006261<-D010146
D012507	D014807	0.000000	0.376914	0.245379	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D012507->D008232->D008206->D006425->*C0000000*<-D014807<-D012632<-D013256<-D011083
D007871	D014648	0.000000	0.410315	0.217702	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D007871->D012883->D012871->D017437->*C0000000*<-D014648<-D014652<-D002318
D015434	D008067	0.000000	0.376914	0.222528	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D015434->D012871->D017437->*C0000000*<-D008067<-D018205<-D018204<-D009370<-D009369
