Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
D002220	D010672	0.761599	0.688457	0.515392	0.751369	0.333333	0.109268	0.857143	D000927	D000927	D000927	D000927=D002220->*D000927*<-D010672
D009202	D000082	0.000000	0.376914	0.251580	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D009202->D006331->D002318->*C0000000*<-D000082<-D058633<-D045505<-D020228<-D020164
D009041	D009325	0.478533	0.606877	0.389795	0.559626	0.250000	0.061560	0.666667	D012816	D012816	D012816	D012816=D009041->*D012816*<-D009325<-D012817
D003047	D006660	0.686551	0.688457	0.532238	0.789259	0.333333	0.118009	0.750000	D009181	D009181	D009181	D009181=D003047->*D009181*<-D006660
D000787	C055162	0.000000	0.347036	0.214044	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D000787->D017202->D014652->D002318->*C0000000*<-C055162<-D013988<-D058924<-D006574<-D006571
D017294	D007486	0.534326	0.543598	0.384537	0.557859	0.200000	0.060098	0.750000	D005765|D001337|D002491	D005765	D001337	D001337=D017294->D000932->*D001337*<-D007486<-D004639|D002491=D017294->D000932->*D002491*<-D007486<-D004639|D005765=D017294->D000932->*D005765*<-D007486<-D004639
D012640	D007328	0.000000	0.376914	0.247687	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D012640->D009461->D009422->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164
D018805	D004417	0.000000	0.448182	0.219028	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D018805->D007239->D001423->*C0000000*<-D004417<-D012120<-D012140
D009041	D000431	0.000000	0.448182	0.254097	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D009041->D012816->D013568->*C0000000*<-D000431<-D000438<-D009930
D004433	D012001	0.579181	0.606877	0.438817	0.662063	0.250000	0.077012	0.666667	D004427	D004427	D004427	D004427=D004433->*D004427*<-D012001<-D006311
D010930	D002792	0.000000	0.295334	0.213077	0.000000	0.083333	0.000000	0.153846	C0000000	C0000000	C0000000	C0000000=D010930->D015009->D004756->D016905->D001424->D001423->*C0000000*<-D002792<-D011137<-D010969<-D011108<-D046911
D000212	C060590	0.548920	0.410315	0.363030	0.475600	0.125000	0.054474	0.533333	D011687	D011687	D011687	D011687=D000212->D006147->D007042->D011688->*D011687*<-C060590<-D015075<-D000225
D012640	D000431	0.000000	0.448182	0.261862	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D012640->D009461->D009422->*C0000000*<-D000431<-D000438<-D009930
