Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.763454	0.787405	0.954842	0.333333	0.373970	0.966667	C0575081		C0575081	C0575081=C0311394->*C0575081*<-C0231685
C0035450	C0034079	0.000000	0.354887	0.000000	0.000000	0.000000	0.000000				
C0409162	C0333286	0.504222	0.224120	0.054352	0.100000	0.027608	0.307692	C2720507		C2720507	C2720507=C0409162->C2315138->C1292883->C1293051->C1285152->C0184661->*C2720507*<-C0333286<-C0019080<-C0037088
C0011849	C0032584	0.701512	0.352502	0.442321	0.250000	0.050003	0.880000	C0012634		C0012634	C0012634=C0011849->C0014130->*C0012634*<-C0032584
C0020541	C0027962	0.614210	0.321173	0.405219	0.166667	0.043256	0.814815	C0012634		C0012634	C0012634=C0020541->C0023895->C0012242->*C0012634*<-C0027962<-C1302761
C0018802	C0020541	0.614210	0.423614	0.641444	0.166667	0.069483	0.878049	C0728936|C0007222		C0728936	C0007222=C0018802->C0018801->C0018799->*C0007222*<-C0020541<-C0020538|C0728936=C0018802->C0018801->C0036980->*C0728936*<-C0020541<-C0020538
C0085649	C0034063	0.763454	0.631327	0.879501	0.333333	0.181649	0.950000	C0013604		C0013604	C0013604=C0085649->*C0013604*<-C0034063
C0022650	C0041956	0.653466	0.551993	0.813797	0.200000	0.125843	0.904762	C1971734|C0042075|C1302710|C1290864		C1971734	C1971734=C0022650->C0022658->*C1971734*<-C0041956<-C0403608|C1302710=C0022650->C0022658->*C1302710*<-C0041956<-C0403608|C0042075=C0022650->C0451641->*C0042075*<-C0041956<-C0403608|C1290864=C0022650->C0022658->*C1290864*<-C0041956<-C0403608
C0004604	C0037944	0.701512	0.500483	0.754007	0.250000	0.099159	0.930233	C0037933		C0037933	C0037933=C0004604->C0679389->*C0037933*<-C0037944
C1956089	C0018862	0.581019	0.386675	0.572096	0.142857	0.058568	0.857143	C0000000|C0426779|C0263660|C0026857|C0159135		C0263660	C0159135=C1956089->C1442903->C1285159->*C0159135*<-C0018862<-C0575037<-C0311392|C0426779=C1956089->C0035435->C0026857->*C0426779*<-C0018862<-C0575037<-C0427210|C0263660=C1956089->C0035435->*C0263660*<-C0018862<-C0575829<-C0158234<-C0022408|C0026857=C1956089->C0035435->*C0026857*<-C0018862<-C0575829<-C0158234<-C0022408|C0000000=C1956089->C0035435->C0263660->C0041785->*C0000000*<-C0018862<-C0157924
C0003873	C0035450	0.850756	0.797477	0.956889	0.500000	0.391810	0.977778	C0003873		C0003873	C0003873=C0003873*<-C0035450
C0009871	C1444657	0.581019	0.239305	0.058191	0.142857	0.029618	0.400000	C2720507		C2720507	C2720507=C0009871->C0013227->*C2720507*<-C1444657<-C0565964<-C0565961<-C1285164
C0020971	C0021051	0.581019	0.450736	0.641829	0.142857	0.078773	0.785714	C1140093|C0020962		C0020962	C1140093=C0020971->C0021060->C0872087->*C1140093*<-C0021051<-C1609432<-C0012634|C0020962=C0020971->C0021083->C1963758->C1817756->*C0020962*<-C0021051<-C0021053
C0026848	C0011633	0.763454	0.622034	0.854858	0.333333	0.174005	0.954545	C0026848		C0026848	C0026848=C0026848*<-C0011633<-C0027121
C0360714	C0020473	0.581019	0.273993	0.213470	0.142857	0.034774	0.727273	C0007995		C0007995	C0007995=C0360714->C0014432->C0013227->*C0007995*<-C0020473<-C0154251<-C0023779
C0004093	C0442874	0.653466	0.356277	0.377488	0.200000	0.050884	0.833333	C0037088		C0037088	C0037088=C0004093->*C0037088*<-C0442874<-C0027765<-C0012634
C0013404	C0231835	0.763454	0.496014	0.741276	0.333333	0.097130	0.944444	C0037090|C0035204		C0037090	C0035204=C0013404->*C0035204*<-C0231835|C0037090=C0013404->*C0037090*<-C0231835
C0034065	C0019079	0.763454	0.522507	0.781026	0.333333	0.109795	0.950000	C0024115		C0024115	C0024115=C0034065->*C0024115*<-C0019079
C0029408	C0221434	0.483701	0.268524	0.210640	0.090909	0.033905	0.375000	C2720507|C1268086		C1268086	C2720507=C0029408->C0035435->C0009782->C0012634->C0037088->*C2720507*<-C0221434<-C1265981<-C0332447<-C1260954<-C1268086|C1268086=C0029408->C0035435->C0263660->C0026860->C0700276->C0506706->*C1268086*<-C0221434<-C1265981<-C0332447<-C1260954
C0231736	C0231749	0.701512	0.690716	0.915290	0.250000	0.239090	0.953846	C0576085		C0576085	C0576085=C0231736->C0576150->*C0576085*<-C0231749
C0332536	C0024796	0.552268	0.286568	0.302080	0.125000	0.036857	0.740741	C1140093|C0000000|C0037088		C0037088	C0037088=C0332536->C0332529->C0700329->C2711906->*C0037088*<-C0024796<-C0009782<-C0012634|C1140093=C0332536->C0332529->C0700329->C0031816->*C1140093*<-C0024796<-C0009782<-C0012634|C0000000=C0332536->C0332529->C0577312->C0449576->*C0000000*<-C0024796<-C0005941<-C0478080
C0458343	C0016053	0.581019	0.289375	0.312538	0.142857	0.037338	0.727273	C1140093|C0700276|C0002807|C0229960		C0229960	C1140093=C0458343->C0005898->C0700276->*C1140093*<-C0016053<-C1300028<-C0012634|C0002807=C0458343->C0005898->*C0002807*<-C0016053<-C0035435<-C0263660<-C0026860|C0229960=C0458343->C0005898->*C0229960*<-C0016053<-C0035435<-C0263660<-C0026860|C0700276=C0458343->C0005898->*C0700276*<-C0016053<-C0035435<-C0263660<-C0026860
C0457086	C0003873	0.653466	0.441695	0.660255	0.200000	0.075546	0.904762	C0022408		C0022408	C0022408=C0457086->C0162298->*C0022408*<-C0003873<-C0003864
C0038454	C0018989	0.701512	0.416189	0.613201	0.250000	0.067137	0.923077	C0007682		C0007682	C0007682=C0038454->C0007820->*C0007682*<-C0018989
C0006121	C1269897	0.653466	0.464580	0.682221	0.200000	0.083983	0.882353	C1269560|C1281590		C1269560	C1269560=C0006121->C0006104->C1269563->*C1269560*<-C1269897|C1281590=C0006121->C0006104->C1280705->*C1281590*<-C1269897
C0011167	C0031133	0.763454	0.498722	0.755468	0.333333	0.098354	0.928571	C0516983		C0516983	C0516983=C0011167->*C0516983*<-C0031133
C0011168	C0679317	0.581019	0.319337	0.393961	0.142857	0.042890	0.769231	C0679215|C0030660		C0030660	C0679215=C0011168->C0476288->C1457887->*C0679215*<-C0679317<-C0679316<-C0030660|C0030660=C0011168->C0014852->C0012242->C0012634->*C0030660*<-C0679317<-C0679316
C0429103	C0027051	0.483701	0.237066	0.057609	0.090909	0.029313	0.285714	C2720507		C2720507	C2720507=C0429103->C0428732->C1285812->C1285810->C1274016->C1285578->*C2720507*<-C0027051<-C0151744<-C0242184<-C0037088
C1510420	C0041296	0.504222	0.234728	0.057007	0.100000	0.028997	0.307692	C2720507		C2720507	C2720507=C1510420->C0333010->C0332447->C1260954->C1268086->*C2720507*<-C0041296<-C0456953<-C0282354<-C1285164
C0027627	C0205699	0.653466	0.412760	0.620608	0.200000	0.066080	0.904762	C0027651		C0027651	C0027651=C0027627->*C0027651*<-C0205699<-C1302694<-C1368683
C1956391	C0018681	0.653466	0.406335	0.601565	0.200000	0.064145	0.900000	C1320354|C0007682		C0007682	C1320354=C1956391->C1285337->C1290856->*C1320354*<-C0018681|C0007682=C1956391->C0007273->C0007820->*C0007682*<-C0018681
C0003243	C0443146	0.581019	0.228029	0.061374	0.142857	0.028112	0.400000	C1140162		C1140162	C1140162=C0003243->C0021054->C0682740->*C1140162*<-C0443146<-C0030660<-C0679215
C0034735	C0022116	0.653466	0.480584	0.707194	0.200000	0.090438	0.904762	C0042373|C0728936		C0042373	C0042373=C0034735->C0034734->C0085096->*C0042373*<-C0022116|C0728936=C0034735->C0034734->C1285469->*C0728936*<-C0022116
C0011644	C0036421	0.850756	0.953569	0.993465	0.500000	0.806689	0.975610	C0036421		C0036421	C0036421=C0011644->*C0036421
C0032285	C0332448	0.483701	0.271936	0.213371	0.090909	0.034444	0.375000	C2720507|C1268086		C1268086	C2720507=C0032285->C0679406->C0035204->C0012634->C0037088->*C2720507*<-C0332448<-C0333010<-C0332447<-C1260954<-C1268086|C1268086=C0032285->C0679406->C0035204->C0035237->C0700276->C0506706->*C1268086*<-C0332448<-C0333010<-C0332447<-C1260954
C0020877	C0010346	0.763454	0.775705	0.950931	0.333333	0.354266	0.965517	C0178283		C0178283	C0178283=C0020877->*C0178283*<-C0010346
C0030472	C1306459	0.701512	0.494646	0.711793	0.250000	0.096517	0.926829	C0012634|C0027651		C0027651	C0012634=C0030472->*C0012634*<-C1306459<-C0006826|C0027651=C0030472->*C0027651*<-C1306459<-C1288351
C0003873	C1396859	0.000000	0.372553	0.000000	0.000000	0.000000	0.000000				
C0027540	C1547030	0.000000	0.379170	0.000000	0.000000	0.000000	0.000000				
C0011991	C0009319	0.701512	0.434536	0.650783	0.250000	0.073085	0.918919	C0021831		C0021831	C0021831=C0011991->*C0021831*<-C0009319<-C0009373
C0013395	C0030920	0.701512	0.467816	0.705900	0.250000	0.085250	0.930233	C0017178		C0017178	C0017178=C0013395->C0037089->*C0017178*<-C0030920
C0009676	C0011253	0.701512	0.642228	0.884048	0.250000	0.191045	0.936170	C0029227		C0029227	C0029227=C0009676->*C0029227*<-C0011253<-C0009241
C0018524	C0033975	0.653466	0.433759	0.629840	0.200000	0.072822	0.913043	C0556006|C0004936		C0004936	C0004936=C0018524->C0030975->C0009241->*C0004936*<-C0033975|C0556006=C0018524->C0233746->C0586405->*C0556006*<-C0033975
C0038362	C0149745	0.763454	0.506696	0.760415	0.333333	0.102051	0.954545	C0026636		C0026636	C0026636=C0038362->*C0026636*<-C0149745
