Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0006949	C0031507	0.763454	0.563549	0.815919	0.333333	0.132755	0.933333	C0003286|C0682801		C0682801	C0682801=C0006949->*C0682801*<-C0031507|C0003286=C0006949->*C0003286*<-C0031507
C0878544	C0000970	0.526908	0.280091	0.176712	0.111111	0.035769	0.636364	C1140093|C0000000|C2720507|C1256741		C1256741	C1140093=C0878544->C0026848->C1290853->C0012634->*C1140093*<-C0000970<-C0002482<-C0029224<-C0220806|C2720507=C0878544->C0026848->C1290853->C0012634->C0037088->*C2720507*<-C0000970<-C0003419<-C0013227|C1256741=C0878544->C0018799->C0007222->C0012674->*C1256741*<-C0000970<-C0002482<-C0029224<-C0007995|C0000000=C0878544->C0026848->C0263660->C0041785->*C0000000*<-C0000970<-C0003419<-C0013227<-C2720507
C0009186	C0019655	0.763454	0.611418	0.864827	0.333333	0.165665	0.961538	C0026946		C0026946	C0026946=C0009186->*C0026946*<-C0019655
C0023413	C0025677	0.701512	0.542733	0.788700	0.250000	0.120566	0.903226	C0033992|C0033991		C0033992	C0033991=C0023413->C0699376->*C0033991*<-C0025677|C0033992=C0023413->*C0033992*<-C0025677<-C0002583
C0002962	C0070166	0.581019	0.212062	0.000000	0.142857	0.000000	0.250000	C0000000		C0000000	C0000000=C0002962->C0151744->C0155670->*C0000000*<-C0070166<-C0032177<-C0032178
C0242339	C0004153	0.552268	0.365608	0.458144	0.125000	0.053129	0.758621	C0012634|C0679384		C0012634	C0012634=C0242339->C0268195->C0025517->*C0012634*<-C0004153<-C1096458<-C0042373<-C0007222|C0679384=C0242339->C0268195->C0025517->*C0679384*<-C0004153<-C1096458<-C0042373<-C0007222
C0035435	C0920289	0.000000	0.398140	0.000000	0.000000	0.000000	0.000000				
C0061851	C0022046	0.701512	0.279401	0.273346	0.250000	0.035655	0.823529	C1320237		C1320237	C1320237=C0061851->C0360055->*C1320237*<-C0022046
C0028738	C0021167	0.526908	0.302154	0.318117	0.111111	0.039613	0.714286	C0037088		C0037088	C0037088=C0028738->C0028850->C0015397->C0012634->*C0037088*<-C0021167<-C0231360<-C0424449<-C0427350
C0013911	C0079083	0.552268	0.229683	0.055729	0.125000	0.028328	0.363636	C2720507|C0000000		C2720507	C2720507=C0013911->C0043096->C0005910->C0037088->*C2720507*<-C0079083<-C0003392<-C0013227|C0000000=C0013911->C0043096->C0159043->*C0000000*<-C0079083<-C0003392<-C0013227<-C2720507
C0001367	C0209227	0.763454	0.694597	0.914900	0.333333	0.243422	0.937500	C1319305|C0003451		C1319305	C1319305=C0001367->*C1319305*<-C0209227|C0003451=C0001367->*C0003451*<-C0209227
C0021641	C0289313	0.763454	0.528679	0.776292	0.333333	0.112976	0.923077	C0020616		C0020616	C0020616=C0021641->*C0020616*<-C0289313
C0009090	C0233576	0.552268	0.320080	0.408193	0.125000	0.043038	0.774194	C0574125|C0004928		C0574125	C0574125=C0009090->C0037822->C0023015->C0566628->*C0574125*<-C0233576<-C0474393<-C0004927|C0004928=C0009090->C0037822->C0009460->C0525041->*C0004928*<-C0233576<-C0474393<-C0004927
C0027497	C0027498	0.850756	0.950617	0.993074	0.500000	0.795748	0.977778	C0027497		C0027497	C0027497=C0027497*<-C0027498
C0162275	C0159075	0.701512	0.515573	0.775371	0.250000	0.106329	0.888889	C0426391		C0426391	C0426391=C0162275->*C0426391*<-C0159075<-C0235639
C0009951	C0001962	0.614210	0.259288	0.063646	0.166667	0.032487	0.444444	C2720507|C0000000		C2720507	C2720507=C0009951->C0037088->*C2720507*<-C0001962<-C0039536<-C0013227|C0000000=C0009951->C0037088->C2720507->*C0000000*<-C0001962<-C0678408
C0242723	C0024530	0.701512	0.517981	0.777417	0.250000	0.107520	0.943396	C0030499		C0030499	C0030499=C0242723->*C0030499*<-C0024530<-C0033740
C0033687	C0011847	0.000000	0.362733	0.000000	0.000000	0.000000	0.000000				
C0017160	C0086073	0.552268	0.235115	0.000000	0.125000	0.000000	0.222222	C0000000		C0000000	C0000000=C0017160->C0021831->C0266806->*C0000000*<-C0086073<-C0282555<-C0013227<-C2720507
C0020639	C0020175	0.552268	0.297641	0.337864	0.125000	0.038794	0.720000	C1140093|C0682591		C0682591	C1140093=C0020639->C0025517->C0012634->*C1140093*<-C0020175<-C0036658<-C0033909<-C0596159|C0682591=C0020639->C0005830->C0018939->C0005767->*C0682591*<-C0020175<-C0036658<-C0682647
C0021641	C0017687	0.850756	0.787219	0.952266	0.500000	0.373649	0.975610	C0021641		C0021641	C0021641=C0021641*<-C0017687
C2004489	C0081876	0.526908	0.225634	0.054724	0.111111	0.027803	0.333333	C2720507|C0000000		C2720507	C2720507=C2004489->C0426573->C1290906->C0037088->*C2720507*<-C0081876<-C0003216<-C0017173<-C0013227|C0000000=C2004489->C0159061->*C0000000*<-C0081876<-C0003216<-C0017173<-C0013227<-C2720507
C0086543	C0014544	0.614210	0.227372	0.000000	0.166667	0.000000	0.285714	C0000000		C0000000	C0000000=C0086543->C0154777->C0271005->*C0000000*<-C0014544<-C0154721
C0086543	C0043144	0.552268	0.292931	0.308568	0.125000	0.037958	0.740741	C0000000|C0037088		C0037088	C0037088=C0086543->C0154777->C1285162->C0012634->*C0037088*<-C0043144<-C0035234<-C0037090|C0000000=C0086543->C0154777->C0271005->*C0000000*<-C0043144<-C1287665<-C1291004<-C0159056
C0025605	C0040610	0.763454	0.466220	0.700759	0.333333	0.084623	0.937500	C0002772|C0027415		C0027415	C0002772=C0025605->*C0002772*<-C0040610|C0027415=C0025605->*C0027415*<-C0040610
C0011847	C0033860	0.000000	0.357978	0.000000	0.000000	0.000000	0.000000				
C0948786	C0030232	0.000000	0.358088	0.000000	0.000000	0.000000	0.000000				
C0232471	C0016860	0.000000	0.358932	0.000000	0.000000	0.000000	0.000000				
C0031763	C0003564	0.653466	0.239742	0.000000	0.200000	0.000000	0.333333	C0000000		C0000000	C0000000=C0031763->*C0000000*<-C0003564<-C0023009<-C0154633
C0032617	C0159075	0.653466	0.513881	0.773843	0.200000	0.105500	0.857143	C0426391		C0426391	C0426391=C0032617->C0577197->*C0426391*<-C0159075<-C0235639
C0033860	C0025287	0.614210	0.320775	0.404755	0.166667	0.043177	0.814815	C0679384|C0012634|C0037088		C0012634	C0037088=C0033860->C0037274->C0012634->*C0037088*<-C0025287<-C0027854|C0012634=C0033860->C0037274->*C0012634*<-C0025287<-C0154728<-C0027765|C0679384=C0033860->C0037274->*C0679384*<-C0025287<-C0231443<-C0263660
C0042755	C0013132	0.614210	0.212924	0.000000	0.166667	0.000000	0.285714	C0000000		C0000000	C0000000=C0042755->C0037088->C2720507->*C0000000*<-C0013132<-C1456208
C0033860	C0003864	0.701512	0.468299	0.678359	0.250000	0.085441	0.918919	C1285331		C1285331	C1285331=C0033860->C0011603->*C1285331*<-C0003864
C0041296	C0149651	0.504222	0.227944	0.055295	0.100000	0.028101	0.307692	C2720507		C2720507	C2720507=C0041296->C0456953->C0282354->C1285164->*C2720507*<-C0149651<-C1265981<-C0332447<-C1260954<-C1268086
C0030305	C0011847	0.000000	0.360663	0.000000	0.000000	0.000000	0.000000				
C0043031	C0042878	0.701512	0.390444	0.571137	0.250000	0.059598	0.888889	C0018938		C0018938	C0018938=C0043031->C0003280->*C0018938*<-C0042878
C0497327	C0033860	0.614210	0.326584	0.411543	0.166667	0.044353	0.814815	C0012634|C0000000		C0012634	C0012634=C0497327->C0029227->C0004936->*C0012634*<-C0033860<-C0037274|C0000000=C0497327->C0154338->*C0000000*<-C0033860<-C0162818<-C0157730
C0031154	C0239779	0.614210	0.396835	0.584291	0.166667	0.061387	0.878049	C0263660		C0263660	C0263660=C0031154->C0009782->*C0263660*<-C0239779<-C0392702<-C0231443
C0002871	C0060277	0.526908	0.301363	0.312319	0.111111	0.039468	0.692308	C1140093|C0013227|C2720507		C0013227	C1140093=C0002871->C0018939->C0012634->*C1140093*<-C0060277<-C0018928<-C0018938<-C0013227<-C0220806|C2720507=C0002871->C0018939->C0012634->C0037088->*C2720507*<-C0060277<-C0018928<-C0018938<-C0013227|C0013227=C0002871->C0018939->C0005767->C0440737->C2979985->*C0013227*<-C0060277<-C0018928<-C0018938
C0014038	C0025287	0.653466	0.407858	0.603370	0.200000	0.064599	0.900000	C0007682|C0027765		C0007682	C0007682=C0014038->C0178264->*C0007682*<-C0025287<-C0154728|C0027765=C0014038->C0178264->*C0027765*<-C0025287<-C0154728
C0015300	C0020550	0.614210	0.326716	0.411699	0.166667	0.044380	0.814815	C0012634|C0012674		C0012634	C0012674=C0015300->C0015397->*C0012674*<-C0020550<-C0040128<-C0014130|C0012634=C0015300->C0015397->*C0012634*<-C0020550<-C0040128<-C0014130
C0028754	C0011847	0.000000	0.357260	0.000000	0.000000	0.000000	0.000000				
