Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.000313				
C0006949	C0031507	0.003542				
C0878544	C0000970	0.000003				
C0019340	C0020550	0.000000				
C0036494	C0027497	0.236825				
C0009186	C0019655	0.040344				
C0002962	C0070166	0.000000				
C0061851	C0022046	0.009838				
C0036572	C0021641	0.000003				
C0036690	C0013404	0.000414				
C0028738	C0021167	0.000082				
C0036494	C0001962	0.000002				
C0013456	C0034880	0.026024				
C0032064	C0008402	0.000000				
C0001367	C0209227	0.041437				
C0027497	C0027498	0.339962				
C0162275	C0159075	0.099066				
C0009951	C0001962	0.000008				
C0242723	C0024530	0.008803				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.000000				
C0020639	C0020175	0.000752				
C0213771	C0073992	0.022918				
C0162275	C0016410	0.000001				
C0021641	C0017687	0.010094				
C0086543	C0043144	0.000099				
C0025605	C0040610	0.007436				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.000067				
C0032617	C0159075	0.012984				
C0033860	C0025287	0.000331				
C0042755	C0013132	0.000834				
C0009421	C0019158	0.003435				
C0917801	C0085631	0.001170				
C0442874	C0025598	0.000000				
C0033860	C0003864	0.005450				
C0041296	C0149651	0.000388				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.000759				
C0032285	C0007561	0.000000				
C0114873	C0076107	0.028779				
C0086543	C0025598	0.000001				
C1623038	C0301532	0.000000				
C0036572	C0006949	0.000003				
C0086543	C0021641	0.000002				
C0002871	C0206160	0.004070				
C0009951	C0006949	0.000003				
C0029456	C0032950	0.000001				
C0036572	C0031507	0.000005				
C0885057	C0016157	0.003353				
C0242339	C0016157	0.000006				
C0232197	C0002962	0.001506				
C0007557	C0007561	0.035132				
C0011053	C0004134	0.003252				
C0220892	C0007546	0.009295				
C0011847	C0021641	0.000000				
C0018995	C0003126	0.000109				
C0022116	C0152149	0.000356				
C0030232	C0004057	0.000000				
C0013456	C0233212	0.001003				
C0019340	C0008370	0.000000				
C0242339	C0008402	0.000003				
C0034494	C0702166	0.001421				
C0032064	C0001416	0.007388				
C0159075	C0232955	0.000060				
C0001975	C0012772	0.001206				
C0009214	C0027358	0.007255				
C0043031	C0004057	0.001732				
C0042313	C0017642	0.002670				
C0009187	C0025289	0.001791				
C0030232	C0043031	0.000019				
C0002940	C0029456	0.000598				
C0022116	C0025859	0.000000				
C0016204	C0017687	0.000000				
C0007546	C0007716	0.035618				
C0029456	C0087086	0.000085				
C0014038	C0025289	0.030747				
C0684275	C0040038	0.000233				
C0003864	C0003862	0.004636				
C0152447	C0040822	0.000775				
C0003128	C0079083	0.000002				
C0001924	C0019134	0.003591				
C0032617	C0021641	0.000002				
C0037384	C0038450	0.089406				
C0033860	C0054836	0.000000				
C0019112	C0021359	0.000582				
C0014544	C0031412	0.000001				
C0014544	C0001975	0.000001				
C0033860	C0037763	0.000724				
C0037384	C0023992	0.000000				
C0003850	C0008402	0.000000				
C0854467	C0037384	0.001088				
C0032285	C0036690	0.002931				
C0019270	C0497327	0.000989				
C0018926	C0027498	0.036832				
C0003862	C0030193	0.076274				
C0040165	C0023660	0.000568				
C0032285	C0013404	0.002997				
C0741439	C0025287	0.003103				
C0017601	C0232197	0.000313				
C0036494	C0007297	0.732236				
C0003862	C0149651	0.000194				
C0684275	C0017642	0.000003				
C0013428	C0070166	0.000000				
C0231236	C0042755	0.003008				
C0002940	C0947651	0.000000				
C0009262	C0032950	0.001216				
C0019270	C0006982	0.000000				
C1257763	C0036572	0.001300				
C0086543	C0030305	0.000588				
C0001962	C0001975	0.052821				
C0020550	C0036572	0.000657				
C0116569	C0002598	0.006083				
C0021359	C0079083	0.000001				
C0003862	C0027796	0.005339				
C0003129	C0033487	0.000000				
C0012833	C0004147	0.000000				
C0030305	C0021641	0.000001				
C0017160	C0021641	0.000000				
C0023530	C0007537	0.000002				
C0019655	C0032950	0.000000				
C0442874	C0009806	0.000394				
C0149651	C0013404	0.000126				
C0018991	C0070166	0.000000				
C0026946	C0286651	0.000000				
C0035435	C0009262	0.000000				
C0013404	C0220892	0.000000				
C1623038	C0018926	0.000119				
C0877781	C0018681	0.531861				
C0023992	C0005632	0.002308				
C0920289	C0015672	0.000000				
C0878544	C0039070	0.001366				
C0003129	C0036572	0.000269				
C0036494	C0001962	0.000002				
C0242339	C0060277	0.000002				
C0039730	C0040822	0.000032				
C0009951	C0085208	0.000003				
C0002962	C0028351	0.000004				
C0027121	C0025815	0.000001				
C0003128	C0152149	0.139050				
C0013456	C0002645	0.000000				
C0022116	C0995182	0.000000				
C0006277	C0298130	0.000001				
C0286651	C0024027	0.074177				
C0032285	C1883552	0.000012				
C0037763	C0016860	0.000000				
C0040485	C0014806	0.000000				
C0011603	C0020517	0.006040				
C0947651	C0022614	0.000000				
C0003850	C0022116	0.003407				
C0018995	C0032617	0.001572				
C0025587	C0040460	0.008654				
C0011175	C0038187	0.004042				
C0009319	C0014544	0.000361				
