Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.094661				
C0018787	C0027061	0.073768				
C0038454	C0021308	0.070475				
C0011253	C0036341	0.074377				
C1265880	C0009814	0.114515				
C0006826	C0001418	0.053931				
C0018802	C0034063	0.069772				
C0034069	C0242379	0.051969				
C0011991	C0344375	0.110537				
C0026269	C0004238	0.065356				
C0006118	C0151699	0.050969				
C0003232	C0020517	0.007588				
C0034065	C0027051	0.054726				
C0007286	C0029408	0.051048				
C0003873	C0409974	0.085456				
C0702166	C0039142	0.015725				
C0011849	C0020538	0.068784				
C0010137	C0086511	0.019397				
C0206698	C0009378	0.024477				
C0333997	C0007107	0.072468				
C0003615	C0029456	0.067335				
C0011581	C0007642	0.080593				
C0020473	C2939419	0.043448				
C0026769	C0033975	0.076450				
C0030920	C0027092	0.065695				
C0034887	C0003483	0.050177				
C0042345	C0224701	0.029830				
C0043352	C0023891	0.068507				
