Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0006949	C0031507	0.036593				
C0878544	C0000970	0.013150				
C0009186	C0019655	0.098250				
C0023413	C0025677	0.137992				
C0002962	C0070166	0.012590				
C0242339	C0004153	0.063644				
C0035435	C0920289	0.059752				
C0061851	C0022046	0.035041				
C0028738	C0021167	0.106732				
C0013911	C0079083	0.022271				
C0001367	C0209227	0.047675				
C0021641	C0289313	0.010632				
C0009090	C0233576	0.257298				
C0027497	C0027498	0.136522				
C0162275	C0159075	0.115897				
C0009951	C0001962	0.007725				
C0242723	C0024530	0.053990				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.020318				
C0020639	C0020175	0.049395				
C0021641	C0017687	0.069194				
C2004489	C0081876	0.006646				
C0086543	C0014544	0.045324				
C0086543	C0043144	0.071618				
C0025605	C0040610	0.017280				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.044302				
C0032617	C0159075	0.036508				
C0033860	C0025287	0.063394				
C0042755	C0013132	0.081199				
C0033860	C0003864	0.068569				
C0041296	C0149651	0.070368				
C0030305	C0011847	0.000000				
C0043031	C0042878	0.042530				
C0497327	C0033860	0.061182				
C0031154	C0239779	0.115120				
C0002871	C0060277	0.015735				
C0014038	C0025287	0.057305				
C0015300	C0020550	0.064355				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.060884				
C0032285	C0007561	0.030402				
C0114873	C0076107	0.014383				
C0086543	C0025598	0.028379				
C0036572	C0006949	0.026832				
C0858529	C0017887	0.000000				
C0086543	C0021641	0.012272				
C0002871	C0206160	0.036373				
C0009951	C0006949	0.011837				
C0885057	C0016157	0.014031				
C0242339	C0016157	0.032827				
C0684275	C0019079	0.070162				
C0017887	C0026549	0.017529				
C0232197	C0002962	0.084623				
C0007557	C0007561	0.038672				
C0011847	C0021641	0.000000				
C0030232	C0004057	0.016169				
C0013456	C0233212	0.110769				
C0019340	C0008370	0.000000				
C0878544	C0026196	0.021544				
C0004093	C1883552	0.183372				
C0002600	C0016365	0.033936				
C0242339	C0008402	0.029110				
C0034494	C0702166	0.076215				
C0032064	C0001416	0.045476				
C0159075	C0232955	0.031635				
C0001975	C0012772	0.022368				
C0009214	C0027358	0.035876				
C0858529	C0023870	0.000000				
C0043031	C0004057	0.029085				
C0042313	C0017642	0.031443				
C0854467	C0008168	0.013063				
C1623038	C0019270	0.050245				
C0001824	C0023530	0.104639				
C0016293	C0012010	0.069798				
C0020517	C0019134	0.022644				
C0009187	C0025289	0.066910				
C0002940	C0029456	0.044460				
C0029456	C0087086	0.043918				
C0036396	C0246719	0.008902				
C0004153	C0022116	0.056894				
C0232197	C0087086	0.072290				
C0040034	C0036396	0.064320				
C0014038	C0025289	0.083965				
C0152447	C0040822	0.104017				
C0001924	C0019134	0.017839				
C0032617	C0021641	0.015679				
C0037384	C0038450	0.083631				
C0033860	C0054836	0.015908				
C0019112	C0021359	0.064893				
C0014544	C0031412	0.020013				
C0014544	C0001975	0.013135				
C0037384	C0023992	0.033346				
C0004093	C0006625	0.065287				
C0036572	C0085208	0.018092				
C0032285	C0036690	0.079563				
C0015300	C0019214	0.079564				
C0019270	C0497327	0.053203				
C0040165	C0023660	0.021190				
C0032285	C0013404	0.067197				
C0741439	C0025287	0.027050				
C0017601	C0232197	0.076438				
C0036494	C0007297	0.237420				
C0003862	C0149651	0.065208				
C0001047	C0000970	0.031382				
C0398623	C0040038	0.063427				
C0018021	C0020740	0.017720				
C0684275	C0017642	0.023563				
C0271397	C1698636	0.000000				
C0013428	C0070166	0.013766				
C0231236	C0042755	0.092180				
C0002940	C0947651	0.000000				
C0009262	C0032950	0.039441				
C0019270	C0006982	0.016921				
C1257763	C0036572	0.066101				
C0086543	C0030305	0.050748				
C0001962	C0001975	0.043162				
C0020550	C0036572	0.067874				
C0016410	C0014563	0.031048				
C0116569	C0002598	0.021595				
C0021359	C0079083	0.022202				
C0040822	C0006982	0.021494				
C0011847	C0009214	0.000000				
C0043031	C0995182	0.000000				
C0030305	C0021641	0.016061				
C0017160	C0021641	0.014903				
C0019655	C0032950	0.013825				
C0149651	C0013404	0.069354				
C0018991	C0070166	0.014034				
C0026946	C0286651	0.005942				
C0035435	C0009262	0.021892				
C0013404	C0220892	0.015697				
C1623038	C0018926	0.040761				
C0877781	C0018681	0.185069				
C0004153	C0018834	0.062073				
C0920289	C0015672	0.061809				
C0878544	C0039070	0.064550				
C0003129	C0036572	0.039603				
C0036494	C0001962	0.020429				
C0242339	C0060277	0.012555				
C0039730	C0040822	0.067716				
C0009951	C0085208	0.008121				
C0002962	C0028351	0.018887				
C0010592	C0032950	0.013807				
C0037763	C0036396	0.066562				
C0003128	C0152149	0.086386				
C0022116	C0995182	0.000000				
C0006277	C0298130	0.006308				
C0286651	C0024027	0.032431				
C0032285	C1883552	0.046480				
C0037763	C0016860	0.027023				
C0040485	C0014806	0.016625				
C0011603	C0020517	0.087801				
C0947651	C0022614	0.000000				
C0003850	C0022116	0.055940				
C0018995	C0032617	0.063258				
C0025587	C0040460	0.061736				
C0011175	C0038187	0.062177				
C0009319	C0014544	0.058231				
C0011847	C0085602	0.000000				
C0162275	C0038187	0.020663				
C0054836	C0717550	0.018955				
C0301532	C0039840	0.014872				
C0020676	C1883552	0.051263				
C0039730	C0019045	0.079615				
C0026946	C0025289	0.064504				
C0030232	C0060277	0.014187				
C0332566	C0332573	0.088501				
C0018834	C0020740	0.017865				
C0995182	C0020264	0.000000				
C0009214	C0011816	0.034283				
C0001047	C0001443	0.104197				
C0086073	C0032950	0.014888				
C0007559	C0007561	0.038231				
C0030193	C0026549	0.025606				
