Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
42399005	42399005	1.000000				
70317007	17369002	0.107815				
80891009	74281007	0.018318				
230690007	55641003	0.020147				
48500005	58214004	0.066109				
125369001	415582006	0.004950				
128462008	443961001	0.023308				
42343007	19242006	0.009540				
51615001	126713003	0.035088				
373421000	51197009	0.003053				
79619009	49436004	0.002511				
254935002	1386000	0.022416				
255631004	106190000	0.000044				
59282003	22298006	0.009785				
57406009	396275006	0.004127				
69896004	200936003	0.045918				
11381005	61968008	0.000800				
73211009	38341003	0.005061				
32498003	179344006	0.000437				
70179006	73761001	0.001638				
128863005	126692004	0.002475				
74400008	64859006	0.003399				
35489007	128045006	0.001608				
55822004	363346000	0.005060				
24700007	69322001	0.002736				
13200003	57190000	0.001580				
39772007	15825003	0.003402				
12856003	244568009	0.003041				
87715008	420054005	0.004972				
