Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0006949	C0031507	0.026860				
C0878544	C0000970	0.000000				
C0009186	C0019655	0.035938				
C0023413	C0025677	0.097060				
C0002962	C0070166	0.000000				
C0242339	C0004153	0.000807				
C0035435	C0920289	0.000000				
C0061851	C0022046	0.031438				
C0028738	C0021167	0.000052				
C0013911	C0079083	0.000000				
C0001367	C0209227	0.151537				
C0021641	C0289313	0.015711				
C0009090	C0233576	0.000206				
C0027497	C0027498	0.402535				
C0162275	C0159075	0.067994				
C0009951	C0001962	0.000000				
C0242723	C0024530	0.000000				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.000000				
C0020639	C0020175	0.000009				
C0021641	C0017687	0.066798				
C2004489	C0081876	0.000000				
C0086543	C0014544	0.000260				
C0086543	C0043144	0.000037				
C0025605	C0040610	0.027014				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.000000				
C0032617	C0159075	0.010462				
C0033860	C0025287	0.000239				
C0042755	C0013132	0.000519				
C0033860	C0003864	0.001417				
C0041296	C0149651	0.000398				
C0030305	C0011847	0.000000				
C0043031	C0042878	0.009675				
C0497327	C0033860	0.000165				
C0031154	C0239779	0.000880				
C0002871	C0060277	0.000000				
C0014038	C0025287	0.002903				
C0015300	C0020550	0.002263				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.000290				
C0032285	C0007561	0.000000				
C0114873	C0076107	0.230855				
C0086543	C0025598	0.000000				
C0036572	C0006949	0.000000				
C0858529	C0017887	0.000000				
C0086543	C0021641	0.000000				
C0002871	C0206160	0.003923				
C0009951	C0006949	0.000000				
C0885057	C0016157	0.010353				
C0242339	C0016157	0.000000				
C0684275	C0019079	0.000069				
C0017887	C0026549	0.009052				
C0232197	C0002962	0.002098				
C0007557	C0007561	0.153025				
C0011847	C0021641	0.000000				
C0030232	C0004057	0.000000				
C0013456	C0233212	0.000262				
C0019340	C0008370	0.000000				
C0878544	C0026196	0.000000				
C0004093	C1883552	0.000046				
C0002600	C0016365	0.022886				
C0242339	C0008402	0.000000				
C0034494	C0702166	0.001844				
C0032064	C0001416	0.000000				
C0159075	C0232955	0.000004				
C0001975	C0012772	0.004519				
C0009214	C0027358	0.012524				
C0858529	C0023870	0.000000				
C0043031	C0004057	0.006716				
C0042313	C0017642	0.039934				
C0854467	C0008168	0.000000				
C1623038	C0019270	0.000000				
C0001824	C0023530	0.380845				
C0016293	C0012010	0.021739				
C0020517	C0019134	0.000000				
C0009187	C0025289	0.003059				
C0002940	C0029456	0.000645				
C0029456	C0087086	0.000080				
C0036396	C0246719	0.000000				
C0004153	C0022116	0.002005				
C0232197	C0087086	0.000046				
C0040034	C0036396	0.000085				
C0014038	C0025289	0.033234				
C0152447	C0040822	0.000973				
C0001924	C0019134	0.024462				
C0032617	C0021641	0.000000				
C0037384	C0038450	0.030260				
C0033860	C0054836	0.000000				
C0019112	C0021359	0.000254				
C0014544	C0031412	0.000000				
C0014544	C0001975	0.000000				
C0037384	C0023992	0.000000				
C0004093	C0006625	0.000019				
C0036572	C0085208	0.000000				
C0032285	C0036690	0.001752				
C0015300	C0019214	0.000690				
C0019270	C0497327	0.000030				
C0040165	C0023660	0.003098				
C0032285	C0013404	0.002395				
C0741439	C0025287	0.000089				
C0017601	C0232197	0.000109				
C0036494	C0007297	0.790173				
C0003862	C0149651	0.000119				
C0001047	C0000970	0.010763				
C0398623	C0040038	0.000510				
C0018021	C0020740	0.000000				
C0684275	C0017642	0.000000				
