Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.000109				
C0006949	C0031507	0.026860				
C0878544	C0000970	0.000000				
C0019340	C0020550	0.000000				
C0036494	C0027497	0.390278				
C0009186	C0019655	0.035938				
C0002962	C0070166	0.000000				
C0061851	C0022046	0.031438				
C0036572	C0021641	0.000000				
C0036690	C0013404	0.000220				
C0028738	C0021167	0.000052				
C0036494	C0001962	0.000001				
C0013456	C0034880	0.005777				
C0032064	C0008402	0.000000				
C0001367	C0209227	0.151537				
C0027497	C0027498	0.402535				
C0162275	C0159075	0.067994				
C0009951	C0001962	0.000000				
C0242723	C0024530	0.000000				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.000000				
C0020639	C0020175	0.000009				
C0213771	C0073992	0.025601				
C0162275	C0016410	0.000000				
C0021641	C0017687	0.066798				
C0086543	C0043144	0.000037				
C0025605	C0040610	0.027014				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.000000				
C0032617	C0159075	0.010462				
C0033860	C0025287	0.000239				
C0042755	C0013132	0.000519				
C0009421	C0019158	0.001631				
C0917801	C0085631	0.000028				
C0442874	C0025598	0.000000				
C0033860	C0003864	0.001417				
C0041296	C0149651	0.000398				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.000290				
C0032285	C0007561	0.000000				
C0114873	C0076107	0.230855				
C0086543	C0025598	0.000000				
C1623038	C0301532	0.000000				
C0036572	C0006949	0.000000				
C0086543	C0021641	0.000000				
C0002871	C0206160	0.003923				
C0009951	C0006949	0.000000				
C0029456	C0032950	0.000000				
C0036572	C0031507	0.000000				
C0885057	C0016157	0.010353				
C0242339	C0016157	0.000000				
C0232197	C0002962	0.002098				
C0007557	C0007561	0.153025				
C0011053	C0004134	0.000000				
C0220892	C0007546	0.000000				
C0011847	C0021641	0.000000				
C0018995	C0003126	0.000029				
C0022116	C0152149	0.000212				
C0030232	C0004057	0.000000				
C0013456	C0233212	0.000262				
C0019340	C0008370	0.000000				
C0242339	C0008402	0.000000				
C0034494	C0702166	0.001844				
