sct	MiniMayoSRS	Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	RADA	INTRINSIC_RADA	JACCARD	SOKAL	lcs(s)	corpus lcs	intrinsic lcs	paths
sct	MiniMayoSRS	42399005	42399005	1.000000	1.000000	1.000000	1.000000	1.000000	0.984848	1.000000	1.000000	1.000000	42399005		42399005	42399005=42399005
sct	MiniMayoSRS	70317007	17369002	0.834557	0.742385	0.944901	0.500000	0.399168	0.969697	0.957403	0.895556	0.810866	70317007		70317007	70317007=70317007*<-17369002
sct	MiniMayoSRS	80891009	74281007	0.669115	0.690104	0.933498	0.250000	0.331294	0.939394	0.942878	0.875290	0.778236	80891009		80891009	80891009=80891009*<-74281007<-272657006<-119202000
sct	MiniMayoSRS	230690007	55641003	0.370101	0.023745	0.000000	0.071429	0.000000	0.787879	0.000000	0.000000	0.000000	138875005		138875005	138875005=230690007->62914000->27550009->21829004->106063007->118234003->404684003->*138875005*<-55641003<-6574001<-37782003<-49755003<-118956008<-123037004
sct	MiniMayoSRS	48500005	58214004	0.669115	0.320822	0.658318	0.250000	0.088815	0.939394	0.709662	0.490666	0.325088	74732009		74732009	74732009=48500005->*74732009*<-58214004<-69322001
sct	MiniMayoSRS	125369001	415582006	0.572337	0.166925	0.460841	0.166667	0.051312	0.909091	0.476777	0.299411	0.176063	49755003		49755003	49755003=125369001->18115005->128490007->*49755003*<-415582006<-25659002
sct	MiniMayoSRS	128462008	443961001	0.737780	0.394820	0.705590	0.333333	0.115624	0.954545	0.783544	0.545106	0.374670	363346000		363346000	363346000=128462008->*363346000*<-443961001
sct	MiniMayoSRS	42343007	19242006	0.535544	0.211415	0.538325	0.142857	0.060131	0.893939	0.557666	0.368293	0.225710	118946009|399902003		118946009	399902003=42343007->415991003->56265001->49483002->*399902003*<-19242006<-19829001|118946009=42343007->415991003->56265001->49483002->*118946009*<-19242006<-19829001
sct	MiniMayoSRS	51615001	126713003	0.737780	0.416550	0.782553	0.333333	0.124937	0.954545	0.801788	0.642781	0.473602	19829001		19829001	19829001=51615001->*19829001*<-126713003
sct	MiniMayoSRS	373421000	51197009	0.475560	0.062178	0.227110	0.111111	0.035322	0.863636	0.227110	0.128101	0.068434	118234003		118234003	118234003=373421000->111407006->414027002->362965005->123946008->*118234003*<-51197009<-55300003<-106028002
sct	MiniMayoSRS	79619009	49436004	0.535544	0.287083	0.661235	0.142857	0.078750	0.893939	0.668937	0.493915	0.327946	56265001		56265001	56265001=79619009->44241007->368009->*56265001*<-49436004<-40593004<-44808001
sct	MiniMayoSRS	254935002	1386000	0.737780	0.198905	0.455126	0.333333	0.057508	0.954545	0.536201	0.294604	0.172748	399902003		399902003	399902003=254935002->*399902003*<-1386000
sct	MiniMayoSRS	255631004	106190000	0.475560	0.061044	0.000000	0.111111	0.000000	0.863636	0.000000	0.000000	0.000000	138875005		138875005	138875005=255631004->278471000->312416005->373873005->*138875005*<-106190000<-420134006<-64572001<-404684003
sct	MiniMayoSRS	59282003	22298006	0.572337	0.113536	0.310540	0.166667	0.042419	0.909091	0.361152	0.183810	0.101207	123946008		123946008	123946008=59282003->312593004->128121009->*123946008*<-22298006<-123397009
sct	MiniMayoSRS	57406009	396275006	0.475560	0.124715	0.335656	0.111111	0.044144	0.863636	0.387217	0.201674	0.112146	123946008|362965005		362965005	123946008=57406009->230627003->118947000->128605003->*123946008*<-396275006<-363059001<-928000<-362965005|362965005=57406009->230627003->302226006->42658009->118940003->*362965005*<-396275006<-363059001<-928000
sct	MiniMayoSRS	69896004	200936003	0.535544	0.125407	0.320090	0.142857	0.044253	0.893939	0.388797	0.190540	0.105302	123946008		123946008	123946008=69896004->3723001->363169009->363170005->*123946008*<-200936003<-105969002
