"con","cg1","cg2","p","intrinsic_lch1","intrinsic_lch2"
"UMNSRS_similarity","sct-msh","sct-msh-csp-aod",0.837912398772413,0.374135643878611,0.384573297269723
"UMNSRS_similarity","sct-msh","sct-umls",0.858394954149459,0.374135643878611,0.36495393683216
"UMNSRS_similarity","sct-msh","umls",0.0806965257028485,0.374135643878611,0.460012874863192
"UMNSRS_similarity","sct-msh-csp-aod","sct-umls",0.701732971067627,0.384573297269723,0.36495393683216
"UMNSRS_similarity","sct-msh-csp-aod","umls",0.123050656850327,0.384573297269723,0.460012874863192
"UMNSRS_similarity","sct-umls","umls",0.0542197780870465,0.36495393683216,0.460012874863192
"UMNSRS_relatedness","sct-msh","sct-msh-csp-aod",0.717450840906668,0.311812079238843,0.330801616543601
"UMNSRS_relatedness","sct-msh","sct-umls",0.809720721418405,0.311812079238843,0.299035853140697
"UMNSRS_relatedness","sct-msh","umls",0.146414981586942,0.311812079238843,0.386383204553133
"UMNSRS_relatedness","sct-msh-csp-aod","sct-umls",0.546738814883533,0.330801616543601,0.299035853140697
"UMNSRS_relatedness","sct-msh-csp-aod","umls",0.275517683418043,0.330801616543601,0.386383204553133
"UMNSRS_relatedness","sct-umls","umls",0.0904368260400261,0.299035853140697,0.386383204553133
"MayoSRS","sct-msh","sct-msh-csp-aod",0.736248419848744,0.354028104357353,0.395378811792960
"MayoSRS","sct-msh","sct-umls",0.656691378406558,0.354028104357353,0.297289453118182
"MayoSRS","sct-msh","umls",0.472386613549706,0.354028104357353,0.440377422192653
"MayoSRS","sct-msh-csp-aod","sct-umls",0.434619390980719,0.395378811792960,0.297289453118182
"MayoSRS","sct-msh-csp-aod","umls",0.70262770068478,0.395378811792960,0.440377422192653
"MayoSRS","sct-umls","umls",0.244794158104949,0.297289453118182,0.440377422192653
"MiniMayoSRS_Physicians","sct","sct-msh",0.856024623985712,0.484985531686873,0.522523111538798
"MiniMayoSRS_Physicians","sct","sct-msh-csp-aod",0.544368719343,0.484985531686873,0.602853532421918
"MiniMayoSRS_Physicians","sct","sct-umls",0.524054305714086,0.484985531686873,0.338839220796711
"MiniMayoSRS_Physicians","sct","umls",0.297618844123082,0.484985531686873,0.674174934140575
"MiniMayoSRS_Physicians","sct-msh","sct-msh-csp-aod",0.670994879899059,0.522523111538798,0.602853532421918
"MiniMayoSRS_Physicians","sct-msh","sct-umls",0.413045921957843,0.522523111538798,0.338839220796711
"MiniMayoSRS_Physicians","sct-msh","umls",0.389724922501391,0.522523111538798,0.674174934140575
"MiniMayoSRS_Physicians","sct-msh-csp-aod","sct-umls",0.213746906902146,0.602853532421918,0.338839220796711
"MiniMayoSRS_Physicians","sct-msh-csp-aod","umls",0.663320489906726,0.602853532421918,0.674174934140575
"MiniMayoSRS_Physicians","sct-umls","umls",0.0932180208402422,0.338839220796711,0.674174934140575
"MiniMayoSRS_Coders","sct","sct-msh",0.984689064644215,0.605675857640097,0.609034981423937
"MiniMayoSRS_Coders","sct","sct-msh-csp-aod",0.631514102149988,0.605675857640097,0.683194098805638
"MiniMayoSRS_Coders","sct","sct-umls",0.430795937310692,0.605675857640097,0.449089010485703
"MiniMayoSRS_Coders","sct","umls",0.661390463607748,0.605675857640097,0.676992639512395
"MiniMayoSRS_Coders","sct-msh","sct-msh-csp-aod",0.645224657567999,0.609034981423937,0.683194098805638
"MiniMayoSRS_Coders","sct-msh","sct-umls",0.419654410830696,0.609034981423937,0.449089010485703
"MiniMayoSRS_Coders","sct-msh","umls",0.675359641542301,0.609034981423937,0.676992639512395
"MiniMayoSRS_Coders","sct-msh-csp-aod","sct-umls",0.205002581681336,0.683194098805638,0.449089010485703
"MiniMayoSRS_Coders","sct-msh-csp-aod","umls",0.966815504764685,0.683194098805638,0.676992639512395
"MiniMayoSRS_Coders","sct-umls","umls",0.220264688445437,0.449089010485703,0.676992639512395
"MiniMayoSRS_Combined","sct","sct-msh",0.826279297039326,0.526309521432032,0.56890248317594
"MiniMayoSRS_Combined","sct","sct-msh-csp-aod",0.51496218222238,0.526309521432032,0.644374222406373
"MiniMayoSRS_Combined","sct","sct-umls",0.494442665529698,0.526309521432032,0.376113287914041
"MiniMayoSRS_Combined","sct","umls",0.388847855137566,0.526309521432032,0.677252999892898
"MiniMayoSRS_Combined","sct-msh","sct-msh-csp-aod",0.665992443579022,0.56890248317594,0.644374222406373
"MiniMayoSRS_Combined","sct-msh","sct-umls",0.366666125772567,0.56890248317594,0.376113287914041
"MiniMayoSRS_Combined","sct-msh","umls",0.520722105922934,0.56890248317594,0.677252999892898
"MiniMayoSRS_Combined","sct-msh-csp-aod","sct-umls",0.182075929785447,0.644374222406373,0.376113287914041
"MiniMayoSRS_Combined","sct-msh-csp-aod","umls",0.833216531976002,0.644374222406373,0.677252999892898
"MiniMayoSRS_Combined","sct-umls","umls",0.122353880963258,0.376113287914041,0.677252999892898
"UMNSRS_reduced_rel","sct-msh","sct-msh-csp-aod",0.692012672743238,0.318156120041987,0.342336021935687
"UMNSRS_reduced_rel","sct-msh","sct-umls",0.787677143222477,0.318156120041987,0.301473986548867
"UMNSRS_reduced_rel","sct-msh","umls",0.187136613208062,0.318156120041987,0.396911286320224
"UMNSRS_reduced_rel","sct-msh-csp-aod","sct-umls",0.50576055150941,0.342336021935687,0.301473986548867
"UMNSRS_reduced_rel","sct-msh-csp-aod","umls",0.356021784982552,0.342336021935687,0.396911286320224
"UMNSRS_reduced_rel","sct-umls","umls",0.112190176586362,0.301473986548867,0.396911286320224
