"cg","metric","con","spearman","p.value"
"sct-umls","LCH","UMNSRS_similarity",0.228830952777586,3.68670565777363e-08
"sct-umls","INTRINSIC_LCH","UMNSRS_similarity",0.36495393683216,2.84027803286257e-19
"sct-umls","INTRINSIC_LIN","UMNSRS_similarity",0.222262641610479,9.13800558050565e-08
"sct-umls","PATH","UMNSRS_similarity",0.228830952777586,3.68670565777363e-08
"sct-umls","INTRINSIC_PATH","UMNSRS_similarity",0.226825510623898,4.87837805032805e-08
"sct-umls","WUPALMER","UMNSRS_similarity",0.208505036740886,5.59684080365812e-07
"sct-umls","PAGERANK","UMNSRS_similarity",-0.000603345598809387,0.988572836317912
"sct-umls","LCH","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_LCH","UMNSRS_relatedness",0.299035853140697,1.36592197415081e-13
"sct-umls","INTRINSIC_LIN","UMNSRS_relatedness",0.157250227677192,0.000130466575293448
"sct-umls","PATH","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_PATH","UMNSRS_relatedness",0.163356894326190,7.00465761158242e-05
"sct-umls","WUPALMER","UMNSRS_relatedness",0.139098347637156,0.000726589004807295
"sct-umls","PAGERANK","UMNSRS_relatedness",-0.00660206580721807,0.87318343074248
"sct-umls","LCH","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_LCH","MayoSRS",0.297289453118182,0.00253523286928781
"sct-umls","INTRINSIC_LIN","MayoSRS",0.0935628350561178,0.352042790828292
"sct-umls","PATH","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_PATH","MayoSRS",0.124072455183113,0.216393566106728
"sct-umls","WUPALMER","MayoSRS",0.0476049976004017,0.636400546198952
"sct-umls","PAGERANK","MayoSRS",0.00287014029915007,0.977274875771234
"sct-umls","LCH","MiniMayoSRS_Physicians",0.370737911666762,0.0477191504012760
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.338839220796711,0.072168021484666
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.405155611868445,0.0292331804567376
"sct-umls","PATH","MiniMayoSRS_Physicians",0.370737911666762,0.0477191504012760
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.338839220796711,0.072168021484666
"sct-umls","WUPALMER","MiniMayoSRS_Physicians",0.439660562255792,0.017010702345156
"sct-umls","LCH","MiniMayoSRS_Coders",0.5399528501315,0.0025002137821884
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Coders",0.488106525205692,0.0072259798659943
"sct-umls","PATH","MiniMayoSRS_Coders",0.5399528501315,0.0025002137821884
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","WUPALMER","MiniMayoSRS_Coders",0.552937833002984,0.00186553965967924
"sct-umls","LCH","MiniMayoSRS_Combined",0.432532959714154,0.0191073411956774
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Combined",0.376113287914041,0.0443402591204294
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Combined",0.445607067601469,0.0154105398825405
"sct-umls","PATH","MiniMayoSRS_Combined",0.432532959714154,0.0191073411956774
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Combined",0.376113287914041,0.0443402591204294
"sct-umls","WUPALMER","MiniMayoSRS_Combined",0.486867372906509,0.00739726043118253
"sct-umls","PAGERANK","MiniMayoSRS_Physicians",0.194444663632972,0.312138119498744
"sct-umls","PAGERANK","MiniMayoSRS_Coders",0.26201165513953,0.169740646323050
"sct-umls","PAGERANK","MiniMayoSRS_Combined",0.197272664919152,0.305013955210324
"sct-umls","LCH","UMNSRS_reduced_rel",0.165064555088855,0.00058062715675628
"sct-umls","INTRINSIC_LCH","UMNSRS_reduced_rel",0.301473986548867,1.66047076578305e-10
"sct-umls","INTRINSIC_LIN","UMNSRS_reduced_rel",0.156123874214538,0.00114690888345969
"sct-umls","PATH","UMNSRS_reduced_rel",0.165064555088855,0.00058062715675628
"sct-umls","INTRINSIC_PATH","UMNSRS_reduced_rel",0.16097514892674,0.000796163132477077
"sct-umls","WUPALMER","UMNSRS_reduced_rel",0.133742251568684,0.00541914485047766
"sct-umls","PAGERANK","UMNSRS_reduced_rel",0.0264204310961655,0.584375305765994
"sct-msh","LCH","UMNSRS_similarity",0.297763328148077,4.72233892875913e-13
"sct-msh","INTRINSIC_LCH","UMNSRS_similarity",0.374135643878611,3.02173191366464e-20
"sct-msh","INTRINSIC_LIN","UMNSRS_similarity",0.319779541949614,6.3586999412455e-15
"sct-msh","PATH","UMNSRS_similarity",0.297763328148077,4.72233892875913e-13
"sct-msh","INTRINSIC_PATH","UMNSRS_similarity",0.321627355746778,4.35664907791085e-15
"sct-msh","WUPALMER","UMNSRS_similarity",0.301728922298716,2.23213374945694e-13
"sct-msh","PAGERANK","UMNSRS_similarity",0.0747456247529992,0.0755995532915158
"sct-msh","LCH","UMNSRS_relatedness",0.201672638310911,8.37443900960038e-07
"sct-msh","INTRINSIC_LCH","UMNSRS_relatedness",0.311812079238843,1.05785668625343e-14
"sct-msh","INTRINSIC_LIN","UMNSRS_relatedness",0.223173360442023,4.63936755555722e-08
"sct-msh","PATH","UMNSRS_relatedness",0.201672638310911,8.37443900960038e-07
"sct-msh","INTRINSIC_PATH","UMNSRS_relatedness",0.232161470363435,1.2646629319867e-08
"sct-msh","WUPALMER","UMNSRS_relatedness",0.206873203085766,4.27571932604776e-07
"sct-msh","PAGERANK","UMNSRS_relatedness",0.0352166026395118,0.394393805394967
"sct-msh","LCH","MayoSRS",0.217761609283286,0.0287016632546627
"sct-msh","INTRINSIC_LCH","MayoSRS",0.354028104357353,0.000281209865902678
"sct-msh","INTRINSIC_LIN","MayoSRS",0.321704667332200,0.00103617793416414
"sct-msh","PATH","MayoSRS",0.217761609283286,0.0287016632546627
"sct-msh","INTRINSIC_PATH","MayoSRS",0.328823158650970,0.000786874818589441
"sct-msh","WUPALMER","MayoSRS",0.275623622753003,0.00527475680477863
"sct-msh","PAGERANK","MayoSRS",0.128462851582383,0.200447466471368
"sct-msh","LCH","MiniMayoSRS_Physicians",0.616905087785375,0.000364838092819407
"sct-msh","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.522523111538798,0.00363880797479934
"sct-msh","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.521306196820505,0.00373268631488176
"sct-msh","PATH","MiniMayoSRS_Physicians",0.616905087785375,0.000364838092819407
"sct-msh","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.512525774833635,0.00447360555095885
"sct-msh","WUPALMER","MiniMayoSRS_Physicians",0.562422626641422,0.00149497275388387
"sct-msh","LCH","MiniMayoSRS_Coders",0.758198153405904,1.89273481697801e-06
"sct-msh","INTRINSIC_LCH","MiniMayoSRS_Coders",0.609034981423937,0.000454435310871745
