Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.131160				
C0018787	C0027061	0.050476				
C0038454	C0021308	0.013513				
C0011253	C0036341	0.038809				
C1265880	C0009814	0.000922				
C0006826	C0001418	0.032779				
C0018802	C0034063	0.011108				
C0034069	C0242379	0.007816				
C0011991	C0344375	0.008389				
C0026269	C0004238	0.020132				
C0006118	C0151699	0.001721				
C0003232	C0020517	0.000398				
C0034065	C0027051	0.009087				
C0007286	C0029408	0.003276				
C0003873	C0409974	0.007272				
C0702166	C0039142	0.000001				
C0011849	C0020538	0.003409				
C0010137	C0086511	0.000007				
C0206698	C0009378	0.000225				
C0333997	C0007107	0.001097				
C0003615	C0029456	0.001246				
C0011581	C0007642	0.000390				
C0020473	C2939419	0.000201				
C0026769	C0033975	0.004738				
C0030920	C0027092	0.011592				
C0034887	C0003483	0.000032				
C0042345	C0224701	0.000097				
C0043352	C0023891	0.001741				
