Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.001797				
C0006949	C0031507	0.022255				
C0878544	C0000970	0.000003				
C0019340	C0020550	0.000582				
C0036494	C0027497	0.084031				
C0009186	C0019655	0.025699				
C0002962	C0070166	0.000007				
C0061851	C0022046	0.002249				
C0036572	C0021641	0.000022				
C0036690	C0013404	0.000646				
C0028738	C0021167	0.001827				
C0036494	C0001962	0.000038				
C0013456	C0034880	0.033297				
C0032064	C0008402	0.000002				
C0001367	C0209227	0.068283				
C0027497	C0027498	0.190485				
C0162275	C0159075	0.104824				
C0009951	C0001962	0.000170				
C0242723	C0024530	0.009693				
C0033687	C0011847	0.002422				
C0017160	C0086073	0.000001				
C0020639	C0020175	0.001240				
C0213771	C0073992	0.012805				
C0162275	C0016410	0.000068				
C0021641	C0017687	0.035288				
C0086543	C0043144	0.000600				
C0025605	C0040610	0.008417				
C0011847	C0033860	0.000783				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.000242				
C0032617	C0159075	0.014821				
C0033860	C0025287	0.000597				
C0042755	C0013132	0.002401				
C0009421	C0019158	0.005874				
C0917801	C0085631	0.023804				
C0442874	C0025598	0.000005				
C0033860	C0003864	0.003823				
C0041296	C0149651	0.000401				
C0028754	C0011847	0.010621				
C0040038	C0019079	0.002240				
C0032285	C0007561	0.000012				
C0114873	C0076107	0.029956				
C0086543	C0025598	0.000007				
C1623038	C0301532	0.000002				
C0036572	C0006949	0.000016				
C0086543	C0021641	0.000023				
C0002871	C0206160	0.051495				
C0009951	C0006949	0.000007				
C0029456	C0032950	0.000002				
C0036572	C0031507	0.000013				
C0885057	C0016157	0.006148				
C0242339	C0016157	0.000039				
C0232197	C0002962	0.009850				
C0007557	C0007561	0.030424				
C0011053	C0004134	0.011074				
C0220892	C0007546	0.010630				
C0011847	C0021641	0.000712				
C0018995	C0003126	0.001788				
C0022116	C0152149	0.000805				
C0030232	C0004057	0.000003				
C0013456	C0233212	0.000901				
C0019340	C0008370	0.000585				
C0242339	C0008402	0.000015				
C0034494	C0702166	0.001535				
C0032064	C0001416	0.005462				
C0159075	C0232955	0.000279				
C0001975	C0012772	0.002312				
C0009214	C0027358	0.004637				
C0043031	C0004057	0.001215				
C0042313	C0017642	0.008848				
C0009187	C0025289	0.002938				
C0030232	C0043031	0.000016				
C0002940	C0029456	0.000727				
C0022116	C0025859	0.000032				
C0016204	C0017687	0.000036				
C0007546	C0007716	0.034041				
C0029456	C0087086	0.000288				
C0014038	C0025289	0.038143				
