Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.055061				
C0018787	C0027061	0.032425				
C0038454	C0021308	0.028935				
C0011253	C0036341	0.031580				
C1265880	C0009814	0.073679				
C0006826	C0001418	0.013252				
C0018802	C0034063	0.026432				
C0034069	C0242379	0.017775				
C0011991	C0344375	0.032403				
C0026269	C0004238	0.017010				
C0006118	C0151699	0.029405				
C0003232	C0020517	0.012327				
C0034065	C0027051	0.022846				
C0007286	C0029408	0.024004				
C0003873	C0409974	0.024360				
C0702166	C0039142	0.003562				
C0011849	C0020538	0.013313				
C0010137	C0086511	0.005780				
C0206698	C0009378	0.008580				
C0333997	C0007107	0.027622				
C0003615	C0029456	0.016830				
C0011581	C0007642	0.015386				
C0020473	C2939419	0.016001				
C0026769	C0033975	0.015089				
C0030920	C0027092	0.017338				
C0034887	C0003483	0.011132				
C0042345	C0224701	0.013869				
C0043352	C0023891	0.022752				
