Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.758068	0.242608	0.154211	0.250000	0.028255	0.666667	C0497531		C0497531	C0497531=C0017601->*C0497531*<-C0232197<-C0003811
C0006949	C0031507	0.808273	0.689601	0.917771	0.333333	0.231857	0.971429	C0003286|C0872271|C0682801		C0872271	C0872271=C0006949->*C0872271*<-C0031507|C0682801=C0006949->*C0682801*<-C0031507|C0003286=C0006949->*C0003286*<-C0031507
C0878544	C0000970	0.687307	0.371237	0.508747	0.166667	0.051779	0.950495	C0012634|C0030660		C0012634	C0030660=C0878544->C0012634->*C0030660*<-C0000970<-C1320237<-C0020517|C0012634=C0878544->*C0012634*<-C0000970<-C1320237<-C0020517<-C1628518
C0019340	C0020550	0.719126	0.360684	0.523246	0.200000	0.049269	0.967742	C0012634|C0012674|C0280950		C0280950	C0280950=C0019340->C0042769->C0021311->*C0280950*<-C0020550|C0012634=C0019340->C0042769->*C0012634*<-C0020550<-C0280950|C0012674=C0019340->C0042769->*C0012674*<-C0020550<-C0014130
C0036494	C0027497	0.808273	0.983147	0.997972	0.333333	0.923708	0.985915	C0027497		C0027497	C0027497=C0036494->C0026603->*C0027497
C0009186	C0019655	0.808273	0.795455	0.960210	0.333333	0.381678	0.987179	C0021311|C0026946		C0026946	C0026946=C0009186->*C0026946*<-C0019655|C0021311=C0009186->*C0021311*<-C0019655
C0002962	C0070166	0.719126	0.267182	0.250772	0.200000	0.031722	0.600000	C2362499		C2362499	C2362499=C0002962->*C2362499*<-C0070166<-C0032177<-C0003280
C0061851	C0022046	0.758068	0.401109	0.612760	0.250000	0.059599	0.979866	C1320237		C1320237	C1320237=C0061851->C0360055->*C1320237*<-C0022046
C0036572	C0021641	0.719126	0.359526	0.510357	0.200000	0.049001	0.960784	C1140097|C1456590|C0927232		C0927232	C0927232=C0036572->*C0927232*<-C0021641<-C0020616<-C0011849|C1140097=C0036572->C0027765->*C1140097*<-C0021641<-C0014136|C1456590=C0036572->C2362500->*C1456590*<-C0021641<-C0014136
C0036690	C0013404	0.719126	0.419146	0.641703	0.200000	0.064883	0.962264	C0012634|C0035204|C1456590|C0549657		C0035204	C0549657=C0036690->C0021311->C0024115->*C0549657*<-C0013404|C0012634=C0036690->C0021311->*C0012634*<-C0013404<-C0035204|C1456590=C0036690->C0021311->*C1456590*<-C0013404<-C1457887|C0035204=C0036690->C0021311->C0024115->*C0035204*<-C0013404
C0028738	C0021167	0.758068	0.338694	0.468361	0.250000	0.044422	0.969697	C1457887		C1457887	C1457887=C0028738->C0235031->*C1457887*<-C0021167
C0036494	C0001962	0.719126	0.375017	0.513440	0.200000	0.052709	0.960000	C0012634		C0012634	C0012634=C0036494->C0017178->*C0012634*<-C0001962<-C0740858
C0013456	C0034880	0.808273	0.775457	0.953950	0.333333	0.347375	0.990654	C0013447		C0013447	C0013447=C0013456->*C0013447*<-C0034880
C0032064	C0008402	0.660406	0.337464	0.469393	0.142857	0.044166	0.941176	C0030660|C0549512		C0549512	C0030660=C0032064->C0021311->*C0030660*<-C0008402<-C0003072<-C1320237<-C0020517|C0549512=C0032064->C0021311->*C0549512*<-C0008402<-C0003072<-C1320237<-C0020517
C0001367	C0209227	0.808273	0.930301	0.990421	0.333333	0.720217	0.986667	C0376568|C1319305|C0003451|C1579418		C1319305	C1579418=C0001367->*C1579418*<-C0209227|C1319305=C0001367->*C1319305*<-C0209227|C0003451=C0001367->*C0003451*<-C0209227|C0376568=C0001367->*C0376568*<-C0209227
C0027497	C0027498	0.879034	0.994721	0.999380	0.500000	0.975446	0.992701	C0027498		C0027498	C0027498=C0027497->*C0027498
C0162275	C0159075	0.808273	0.614977	0.874208	0.333333	0.163159	0.968750	C0476338		C0476338	C0476338=C0162275->*C0476338*<-C0159075
C0009951	C0001962	0.719126	0.405740	0.578724	0.200000	0.060913	0.967742	C0000000|C0280950|C0012634|C1456590		C0280950	C0280950=C0009951->C0036572->*C0280950*<-C0001962<-C0740858|C0012634=C0009951->C0027765->*C0012634*<-C0001962<-C0740858|C1456590=C0009951->C1457887->*C1456590*<-C0001962<-C2362501|C0000000=C0009951->C0236101->*C0000000*<-C0001962<-C0678408
C0242723	C0024530	0.758068	0.635367	0.888000	0.250000	0.179601	0.980645	C0021311|C0030499		C0030499	C0021311=C0242723->C0030499->*C0021311*<-C0024530|C0030499=C0242723->*C0030499*<-C0024530<-C0033740
C0033687	C0011847	0.719126	0.362599	0.498747	0.200000	0.049715	0.960784	C0012634|C1140097|C0159135|C1333305		C1333305	C1333305=C0033687->C0042075->*C1333305*<-C0011847<-C0014130|C0159135=C0033687->C0033672->*C0159135*<-C0011847<-C0014130|C0012634=C0033687->C0042075->*C0012634*<-C0011847<-C1535127|C1140097=C0033687->C0042066->*C1140097*<-C0011847<-C0014130
C0017160	C0086073	0.660406	0.345406	0.479157	0.142857	0.045849	0.941176	C0000000|C0030660|C1456590|C0549512		C0549512	C0030660=C0017160->C0021311->*C0030660*<-C0086073<-C0360195<-C1320237<-C0020517|C0549512=C0017160->C0021311->*C0549512*<-C0086073<-C0360195<-C1320237<-C0020517|C1456590=C0017160->C0021311->*C1456590*<-C0086073<-C0282555<-C0013227<-C0013216|C0000000=C0017160->C0549614->*C0000000*<-C0086073<-C1268905<-C1579388<-C1579327
C0020639	C0020175	0.660406	0.330754	0.448037	0.142857	0.042792	0.938776	C1140097|C0682591|C0201682		C1140097	C0682591=C0020639->C0027720->C0042066->*C0682591*<-C0020175<-C0036658<-C0682647|C0201682=C0020639->C0597300->C0033684->*C0201682*<-C0020175<-C0013126<-C0278060|C1140097=C0020639->C0028715->*C1140097*<-C0020175<-C0036658<-C0027767<-C0027763
C0213771	C0073992	0.808273	0.468830	0.725277	0.333333	0.081985	0.970588	C0006280		C0006280	C0006280=C0213771->*C0006280*<-C0073992
C0162275	C0016410	0.687307	0.276302	0.270097	0.166667	0.033113	0.545455	C2362501		C2362501	C2362501=C0162275->C0028715->C0042842->C0162429->*C2362501*<-C0016410
C0021641	C0017687	0.879034	0.884140	0.981823	0.500000	0.579512	0.993939	C0021641		C0021641	C0021641=C0021641*<-C0017687
C0086543	C0043144	0.719126	0.249221	0.099338	0.200000	0.029149	0.500000	C1140145		C1140145	C1140145=C0086543->C0497531->*C1140145*<-C0043144<-C0497525
C0025605	C0040610	0.808273	0.499113	0.762786	0.333333	0.094550	0.972973	C0002772|C0002771|C0027415		C0027415	C0002771=C0025605->*C0002771*<-C0040610|C0027415=C0025605->*C0027415*<-C0040610|C0002772=C0025605->*C0002772*<-C0040610
