cui	code
C0000726	113345001
C0000726	277112006
C0001314	2704003
C0002940	134342004
C0002940	155425005
C0002940	155428007
C0002940	195292009
C0002940	362727005
C0002940	432119003
C0002940	85659009
C0003483	15825003
C0003483	261051005
C0003484	7832008
C0003893	239467002
C0003893	289931002
C0003893	367369001
C0003893	70805003
C0004144	155622000
C0004144	196142008
C0004144	266369005
C0004144	266409009
C0004144	308174005
C0004144	46621007
C0004454	261056000
C0004454	263957003
C0004454	34797008
C0004454	364715006
C0004454	422543003
C0004454	91470000
C0005388	57259009
C0005388	70150004
C0005400	28273000
C0007301	309312004
C0007301	61496007
C0008320	119917005
C0008320	149492003
C0008320	174500005
C0008320	38102005
C0008913	51299004
C0009194	64688005
C0009437	79741001
C0010709	12494005
C0010709	133846001
C0010709	264515009
C0010709	367643001
C0011164	107669003
C0011164	33359002
C0012634	64572001
C0012691	108367008
C0012691	157257005
C0012691	269324003
C0012691	87642003
C0013687	41699000
C0015811	261080001
C0015811	421235005
C0015811	71341001
C0016169	118622000
C0016169	361676009
C0016169	419351001
C0016169	428794004
C0016169	51711001
C0016504	56459004
C0016658	125605004
C0016658	157169007
C0016658	157255002
C0016658	208739000
C0016658	208744007
C0016658	217171007
C0016658	269102008
C0016658	269323009
C0016658	307182008
C0016658	367344001
C0016658	72704001
C0016734	55060009
C0018563	85562004
C0018670	69536005
C0018787	128427003
C0018787	80891009
C0018801	155374007
C0018801	155375008
C0018801	155377000
C0018801	195117009
C0018801	266248006
C0018801	266308000
C0018801	84114007
C0018802	155375008
C0018802	195108009
C0018802	266308000
C0018802	42343007
C0019552	24136001
C0019552	29836001
C0019552	304907005
C0019939	69221006
C0020162	157206006
C0020162	157210009
C0020162	208291001
C0020162	66308002
C0020164	68002001
C0020164	85050009
C0020295	155866001
C0020295	197791000
C0020295	43064006
C0022417	134313007
C0022417	39352004
C0022646	64033007
C0023216	127951001
C0023216	61685007
C0023221	45939007
C0023884	10200004
C0024109	264164005
C0024109	39607008
C0024228	111590001
C0024228	141342003
C0024228	155452000
C0024228	234087005
C0024228	266326002
C0024228	269044004
C0024228	3305006
C0024228	362971004
C0025066	264099006
C0025066	72410000
C0025526	36455000
C0025584	53884002
C0025589	182232001
C0025589	46658007
C0028784	31640002
C0029053	125149003
C0029053	87956004
C0029433	83323007
C0029453	156879002
C0029453	203889002
C0029453	312894000
C0029453	78441005
C0030797	12921003
C0030797	277113001
C0032227	155606001
C0032227	155608000
C0032227	196097001
C0032227	196101005
C0032227	266407006
C0032227	60046008
C0035561	113197003
C0036037	54735007
C0037004	16982005
