sct	MiniMayoSRS	Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	RADA	INTRINSIC_RADA	JACCARD	SOKAL	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
sct	MiniMayoSRS	42399005	42399005	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	42399005		42399005	42399005=42399005
sct	MiniMayoSRS	70317007	17369002	0.835728	0.798819	0.944901	0.500000	0.399168	0.985294	0.957403	0.895556	0.810866	0.933333	70317007		70317007	70317007=70317007*<-17369002
sct	MiniMayoSRS	80891009	74281007	0.671456	0.757990	0.933498	0.250000	0.331294	0.955882	0.942878	0.875289	0.778235	0.903226	80891009		80891009	80891009=80891009*<-74281007<-272657006<-119202000
sct	MiniMayoSRS	230690007	55641003	0.374558	0.237607	0.000000	0.071429	0.000000	0.808824	0.000000	0.000000	0.000000	0.133333	138875005		138875005	138875005=230690007->62914000->27550009->49601007->106063007->118234003->404684003->*138875005*<-55641003<-6574001<-37782003<-49755003<-118956008<-123037004
sct	MiniMayoSRS	48500005	58214004	0.671456	0.469604	0.658317	0.250000	0.088815	0.955882	0.709661	0.490665	0.325087	0.727273	74732009		74732009	74732009=48500005->*74732009*<-58214004<-69322001
sct	MiniMayoSRS	125369001	415582006	0.575363	0.349420	0.460840	0.166667	0.051312	0.926471	0.476775	0.299410	0.176062	0.615385	49755003		49755003	49755003=125369001->18115005->128490007->*49755003*<-415582006<-25659002
sct	MiniMayoSRS	128462008	443961001	0.739635	0.527392	0.705589	0.333333	0.115624	0.970588	0.783543	0.545104	0.374669	0.857143	363346000		363346000	363346000=128462008->*363346000*<-443961001
sct	MiniMayoSRS	42343007	19242006	0.538830	0.384164	0.538323	0.142857	0.060131	0.911765	0.557665	0.368292	0.225709	0.700000	118946009|399902003		118946009	118946009=42343007->415991003->56265001->49483002->*118946009*<-19242006<-19829001|399902003=42343007->415991003->56265001->49483002->*399902003*<-19242006<-19829001
sct	MiniMayoSRS	51615001	126713003	0.739635	0.544362	0.782552	0.333333	0.124937	0.970588	0.801788	0.642780	0.473601	0.888889	19829001		19829001	19829001=51615001->*19829001*<-126713003
sct	MiniMayoSRS	373421000	51197009	0.479270	0.267619	0.227108	0.111111	0.035322	0.882353	0.227108	0.128100	0.068433	0.428571	118234003		118234003	118234003=373421000->111407006->414027002->362965005->123946008->*118234003*<-51197009<-55300003<-106028002
sct	MiniMayoSRS	79619009	49436004	0.538830	0.443256	0.661234	0.142857	0.078750	0.911765	0.668936	0.493913	0.327945	0.750000	56265001		56265001	56265001=79619009->44241007->128599005->*56265001*<-49436004<-40593004<-44808001
sct	MiniMayoSRS	254935002	1386000	0.739635	0.374395	0.455124	0.333333	0.057508	0.970588	0.536200	0.294602	0.172747	0.833333	399902003		399902003	399902003=254935002->*399902003*<-1386000
sct	MiniMayoSRS	255631004	106190000	0.479270	0.266734	0.000000	0.111111	0.000000	0.882353	0.000000	0.000000	0.000000	0.200000	138875005		138875005	138875005=255631004->278471000->312416005->373873005->*138875005*<-106190000<-420134006<-64572001<-404684003
sct	MiniMayoSRS	59282003	22298006	0.575363	0.307727	0.310538	0.166667	0.042419	0.926471	0.361150	0.183809	0.101206	0.615385	123946008		123946008	123946008=59282003->312593004->128121009->*123946008*<-22298006<-123397009
sct	MiniMayoSRS	57406009	396275006	0.479270	0.316457	0.335654	0.111111	0.044144	0.882353	0.387215	0.201673	0.112145	0.555556	123946008|362965005		362965005	362965005=57406009->230627003->302226006->386033004->118940003->*362965005*<-396275006<-399269003<-928000|123946008=57406009->230627003->118947000->128605003->*123946008*<-396275006<-399269003<-928000<-362965005
sct	MiniMayoSRS	69896004	200936003	0.538830	0.316997	0.320088	0.142857	0.044253	0.911765	0.388795	0.190539	0.105301	0.571429	123946008		123946008	123946008=69896004->3723001->363169009->363170005->*123946008*<-200936003<-105969002
sct	MiniMayoSRS	11381005	61968008	0.392121	0.241300	0.000000	0.076923	0.000000	0.823529	0.000000	0.000000	0.000000	0.142857	138875005		138875005	138875005=11381005->3441005->238714008->128598002->106077005->118234003->404684003->*138875005*<-61968008<-63653004<-272181003<-49062001<-260787004
sct	MiniMayoSRS	73211009	38341003	0.507184	0.338890	0.360009	0.125000	0.048904	0.897059	0.449617	0.219519	0.123292	0.588235	362965005		362965005	362965005=73211009->17346000->362969004->*362965005*<-38341003<-359557001<-27550009<-49601007
