Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
C0156543	C0000786	0.843562	0.892839	0.978808	0.500000	0.609142	0.952381	C0156543		C0156543	C0156543=C0156543*<-C0000786
C0018787	C0027061	0.843562	0.785862	0.950476	0.500000	0.371371	0.979592	C0018787		C0018787	C0018787=C0018787*<-C0027061
C0038454	C0021308	0.595614	0.451445	0.669034	0.166667	0.079064	0.848485	C0042373|C0728936		C0042373	C0042373=C0038454->C0007820->*C0042373*<-C0021308<-C0022116<-C0232352|C0728936=C0038454->C0007820->C0042373->*C0728936*<-C0021308<-C0022116
C0011253	C0036341	0.636763	0.223717	0.000000	0.200000	0.000000	0.333333	C0000000		C0000000	C0000000=C0011253->C1456786->*C0000000*<-C0036341<-C0221520
C1265880	C0009814	0.595614	0.307459	0.350747	0.166667	0.040618	0.666667	C0332447		C0332447	C0332447=C1265880->C0006663->C0008519->*C0332447*<-C0009814<-C0332463
C0006826	C0001418	0.843562	0.722805	0.902580	0.500000	0.277415	0.967742	C0006826		C0006826	C0006826=C0006826*<-C0001418
C0018802	C0034063	0.560824	0.407132	0.603431	0.142857	0.064410	0.769231	C0039978|C1302710		C0039978	C0039978=C0018802->C1562298->C0018799->C0025061->*C0039978*<-C0034063<-C0024115|C1302710=C0018802->C1562298->C0018799->C0025061->*C1302710*<-C0034063<-C0024115
C0034069	C0242379	0.687124	0.573307	0.817611	0.250000	0.138930	0.903226	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
C0011991	C0344375	0.560824	0.299732	0.329336	0.142857	0.039192	0.666667	C1290906		C1290906	C1290906=C0011991->C0476288->C0426573->*C1290906*<-C0344375<-C0026821<-C0424722
C0026269	C0004238	0.636763	0.458998	0.697514	0.200000	0.081876	0.866667	C0018799		C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
C0006118	C0151699	0.687124	0.488215	0.711931	0.250000	0.093724	0.909091	C1302710|C0006111|C0007682|C1290856		C0006111	C0007682=C0006118->C0085136->*C0007682*<-C0151699|C1290856=C0006118->C0006111->*C1290856*<-C0151699|C0006111=C0006118->*C0006111*<-C0151699<-C0007820|C1302710=C0006118->C1527390->*C1302710*<-C0151699
C0003232	C0020517	0.595614	0.247244	0.000000	0.166667	0.000000	0.285714	C0000000		C0000000	C0000000=C0003232->C0457591->C0729762->*C0000000*<-C0020517<-C0700625
C0034065	C0027051	0.636763	0.446728	0.663771	0.200000	0.077358	0.875000	C0042373		C0042373	C0042373=C0034065->C0013922->*C0042373*<-C0027051<-C0151744
C0007286	C0029408	0.636763	0.349952	0.457949	0.200000	0.049441	0.833333	C0158370		C0158370	C0158370=C0007286->C0410013->*C0158370*<-C0029408<-C1285232
C0003873	C0409974	0.752052	0.582433	0.824531	0.333333	0.144920	0.900000	C0004364		C0004364	C0004364=C0003873->*C0004364*<-C0409974
C0702166	C0039142	0.504104	0.241716	0.063616	0.111111	0.029967	0.333333	C1256741		C1256741	C1256741=C0702166->C0036502->C0037274->C0175166->C0012674->*C1256741*<-C0039142<-C0014674<-C0002784
C0011849	C0020538	0.595614	0.375268	0.484811	0.166667	0.055583	0.814815	C0000000|C0012674|C1285159		C1285159	C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0042373<-C0007222|C1285159=C0011849->C0014130->*C1285159*<-C0020538<-C0042373<-C0007222|C0000000=C0011849->C0271633->C1263961->*C0000000*<-C0020538<-C0085580
C0010137	C0086511	0.480325	0.230724	0.055912	0.100000	0.028481	0.307692	C2720507		C2720507	C2720507=C0010137->C0003209->C0002771->C0013227->*C2720507*<-C0086511<-C0188002<-C1285451<-C1285152<-C0184661
C0206698	C0009378	0.458814	0.213800	0.000000	0.090909	0.000000	0.166667	C0000000		C0000000	C0000000=C0206698->C0750952->C0346617->C0153472->*C0000000*<-C0009378<-C0079278<-C0014245<-C0199219<-C0031809<-C0031811
C0333997	C0007107	0.530687	0.340919	0.443179	0.125000	0.047418	0.758621	C0000000|C1290853|C0012674|C1285159		C1285159	C0012674=C0333997->C0024228->C0018981->*C0012674*<-C0007107<-C0023055<-C0023051<-C0029896|C1285159=C0333997->C0024228->*C1285159*<-C0007107<-C0153506<-C3164456<-C3164513<-C0035204|C1290853=C0333997->C0024228->C1285159->*C1290853*<-C0007107<-C0746787<-C0018671<-C1290833|C0000000=C0333997->C0497156->C0272394->C0155799->*C0000000*<-C0007107<-C0153506<-C0346939
C0003615	C0029456	0.530687	0.338817	0.440662	0.125000	0.046959	0.758621	C0000000|C1290853|C0012634|C0263978|C0012674|C1285159		C1285159	C0012674=C0003615->C0017160->C0017178->C0012242->*C0012674*<-C0029456<-C0005940<-C0026857|C1285159=C0003615->C0017160->C0017178->C0012242->*C1285159*<-C0029456<-C0005940<-C0026857|C0012634=C0003615->C1112209->C0578491->C1290853->*C0012634*<-C0029456<-C0005944<-C0025517|C1290853=C0003615->C1112209->C0578491->*C1290853*<-C0029456<-C0005940<-C0026857<-C1285159|C0263978=C0003615->C1112209->C1290864->*C0263978*<-C0029456<-C0005940<-C0026857<-C0158370|C0000000=C0003615->C0578878->C0029512->*C0000000*<-C0029456<-C0005940<-C0263660<-C0041785
C0011581	C0007642	0.595614	0.347594	0.415713	0.166667	0.048904	0.736842	C0012634|C0000000		C0012634	C0012634=C0011581->C0525045->C0004936->*C0012634*<-C0007642<-C1290884|C0000000=C0011581->C0868892->*C0000000*<-C0007642<-C1290884<-C0277538
C0020473	C0006826	0.530687	0.397348	0.475807	0.125000	0.061560	0.666667	C0012634		C0012634	C0012634=C0020473->C0242339->C0154251->C0025517->*C0012634*<-C0006826<-C1882062<-C1302761
C0026769	C0033975	0.595614	0.340512	0.407378	0.166667	0.047328	0.736842	C0012634		C0012634	C0012634=C0026769->C0011302->C1285162->*C0012634*<-C0033975<-C0004936
C0030920	C0027092	0.560824	0.277581	0.231416	0.142857	0.035375	0.500000	C0012674		C0012674	C0012674=C0030920->C0017178->C0012242->*C0012674*<-C0027092<-C0034951<-C0015397
C0034887	C0003483	0.480325	0.214561	0.000000	0.100000	0.000000	0.181818	C0000000		C0000000	C0000000=C0034887->C0347944->C0375556->*C0000000*<-C0003483<-C1284327<-C0226004<-C0007226<-C0002807<-C1256741
C0042345	C0224701	0.530687	0.215777	0.000000	0.125000	0.000000	0.222222	C0000000		C0000000	C0000000=C0042345->C1135335->*C0000000*<-C0224701<-C1269073<-C1254044<-C1269079<-C1720201
C0043352	C0023891	0.560824	0.311058	0.378373	0.142857	0.041300	0.400000	C0266806		C0266806	C0266806=C0043352->C0036093->C0560921->*C0266806*<-C0023891<-C0023890<-C0023895
