Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0006949	C0031507	0.055435				
C0878544	C0000970	0.029729				
C0009186	C0019655	0.203569				
C0023413	C0025677	0.049772				
C0002962	C0070166	0.041431				
C0242339	C0004153	0.215174				
C0035435	C0920289	0.163073				
C0061851	C0022046	0.017051				
C0028738	C0021167	0.191272				
C0013911	C0079083	0.190003				
C0001367	C0209227	0.081167				
C0021641	C0289313	0.012036				
C0009090	C0233576	0.322665				
C0027497	C0027498	0.293684				
C0162275	C0159075	0.136137				
C0009951	C0001962	0.026966				
C0242723	C0024530	0.000000				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.041576				
C0020639	C0020175	0.279684				
C0021641	C0017687	0.069143				
C2004489	C0081876	0.023428				
C0086543	C0014544	0.106580				
C0086543	C0043144	0.115920				
C0025605	C0040610	0.035504				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.000000				
C0032617	C0159075	0.114332				
C0033860	C0025287	0.157699				
C0042755	C0013132	0.257836				
C0033860	C0003864	0.140804				
C0041296	C0149651	0.128855				
C0030305	C0011847	0.000000				
C0043031	C0042878	0.077809				
C0497327	C0033860	0.150001				
C0031154	C0239779	0.223618				
C0002871	C0060277	0.065134				
C0014038	C0025287	0.156089				
C0015300	C0020550	0.167696				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.147147				
C0032285	C0007561	0.112752				
C0114873	C0076107	0.127974				
C0086543	C0025598	0.082388				
C0036572	C0006949	0.070734				
C0858529	C0017887	0.000000				
C0086543	C0021641	0.059942				
C0002871	C0206160	0.026951				
C0009951	C0006949	0.031440				
C0885057	C0016157	0.006293				
C0242339	C0016157	0.042275				
C0684275	C0019079	0.185692				
C0017887	C0026549	0.025425				
C0232197	C0002962	0.157909				
C0007557	C0007561	0.073701				
C0011847	C0021641	0.000000				
C0030232	C0004057	0.044840				
C0013456	C0233212	0.273310				
C0019340	C0008370	0.000000				
C0878544	C0026196	0.054723				
C0004093	C1883552	0.349946				
C0002600	C0016365	0.074104				
C0242339	C0008402	0.118281				
C0034494	C0702166	0.184093				
C0032064	C0001416	0.000000				
C0159075	C0232955	0.043794				
C0001975	C0012772	0.028689				
C0009214	C0027358	0.051674				
C0858529	C0023870	0.000000				
C0043031	C0004057	0.036655				
C0042313	C0017642	0.038821				
C0854467	C0008168	0.040348				
C1623038	C0019270	0.000000				
C0001824	C0023530	0.274371				
C0016293	C0012010	0.050938				
C0020517	C0019134	0.075990				
C0009187	C0025289	0.189543				
C0002940	C0029456	0.084450				
C0029456	C0087086	0.087429				
C0036396	C0246719	0.024436				
C0004153	C0022116	0.154541				
C0232197	C0087086	0.098914				
C0040034	C0036396	0.178844				
C0014038	C0025289	0.182579				
C0152447	C0040822	0.211644				
C0001924	C0019134	0.034640				
C0032617	C0021641	0.071300				
C0037384	C0038450	0.219728				
C0033860	C0054836	0.047752				
C0019112	C0021359	0.157789				
C0014544	C0031412	0.072257				
C0014544	C0001975	0.030377				
C0037384	C0023992	0.141959				
C0004093	C0006625	0.229391				
C0036572	C0085208	0.044784				
C0032285	C0036690	0.153681				
C0015300	C0019214	0.177274				
C0019270	C0497327	0.124118				
C0040165	C0023660	0.023326				
C0032285	C0013404	0.158369				
C0741439	C0025287	0.065358				
C0017601	C0232197	0.159594				
C0036494	C0007297	0.346637				
C0003862	C0149651	0.135169				
C0001047	C0000970	0.025141				
C0398623	C0040038	0.174466				
C0018021	C0020740	0.043326				
C0684275	C0017642	0.055180				
C0271397	C1698636	0.000000				
C0013428	C0070166	0.056832				
C0231236	C0042755	0.279850				
C0002940	C0947651	0.000000				
C0009262	C0032950	0.043865				
C0019270	C0006982	0.034022				
C1257763	C0036572	0.198216				
C0086543	C0030305	0.116558				
C0001962	C0001975	0.054198				
C0020550	C0036572	0.181435				
C0016410	C0014563	0.015708				
C0116569	C0002598	0.079468				
C0021359	C0079083	0.138303				
C0040822	C0006982	0.048175				
C0011847	C0009214	0.000000				
C0043031	C0995182	0.000000				
C0030305	C0021641	0.072839				
C0017160	C0021641	0.066131				
C0019655	C0032950	0.043640				
C0149651	C0013404	0.141376				
C0018991	C0070166	0.053642				
C0026946	C0286651	0.012396				
C0035435	C0009262	0.133975				
C0013404	C0220892	0.000000				
C1623038	C0018926	0.000000				
C0877781	C0018681	0.215414				
C0004153	C0018834	0.169727				
C0920289	C0015672	0.181894				
C0878544	C0039070	0.166310				
C0003129	C0036572	0.000000				
C0036494	C0001962	0.068242				
C0242339	C0060277	0.100823				
C0039730	C0040822	0.182554				
C0009951	C0085208	0.019987				
C0002962	C0028351	0.050394				
C0010592	C0032950	0.026310				
C0037763	C0036396	0.182612				
C0003128	C0152149	0.301864				
C0022116	C0995182	0.000000				
C0006277	C0298130	0.011911				
C0286651	C0024027	0.156065				
C0032285	C1883552	0.096865				
C0037763	C0016860	0.070477				
C0040485	C0014806	0.056254				
C0011603	C0020517	0.168295				
C0947651	C0022614	0.000000				
