Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.020668				
C0006949	C0031507	0.028998				
C0878544	C0000970	0.001695				
C0019340	C0020550	0.008527				
C0036494	C0027497	0.098169				
C0009186	C0019655	0.047020				
C0002962	C0070166	0.008147				
C0061851	C0022046	0.007948				
C0036572	C0021641	0.003886				
C0036690	C0013404	0.012940				
C0028738	C0021167	0.033734				
C0036494	C0001962	0.004649				
C0013456	C0034880	0.038787				
C0032064	C0008402	0.007683				
C0001367	C0209227	0.058717				
C0027497	C0027498	0.024145				
C0162275	C0159075	0.134730				
C0009951	C0001962	0.003519				
C0242723	C0024530	0.022384				
C0033687	C0011847	0.025364				
C0017160	C0086073	0.005094				
C0020639	C0020175	0.021399				
C0213771	C0073992	0.011793				
C0162275	C0016410	0.002526				
C0021641	C0017687	0.037655				
C0086543	C0043144	0.027277				
C0025605	C0040610	0.008881				
C0011847	C0033860	0.013643				
C0948786	C0030232	0.680699				
C0232471	C0016860	0.003046				
C0031763	C0003564	0.029769				
C0032617	C0159075	0.024516				
C0033860	C0025287	0.017180				
C0042755	C0013132	0.025558				
C0009421	C0019158	0.008895				
C0917801	C0085631	0.028758				
C0442874	C0025598	0.008902				
C0033860	C0003864	0.014223				
C0041296	C0149651	0.017572				
C0028754	C0011847	0.019498				
C0040038	C0019079	0.010939				
C0032285	C0007561	0.011070				
C0114873	C0076107	0.044806				
C0086543	C0025598	0.007212				
C1623038	C0301532	0.000835				
C0036572	C0006949	0.006632				
C0086543	C0021641	0.003988				
C0002871	C0206160	0.011551				
C0009951	C0006949	0.008774				
C0029456	C0032950	0.003479				
C0036572	C0031507	0.006631				
C0885057	C0016157	0.001913				
C0242339	C0016157	0.015460				
C0232197	C0002962	0.020365				
C0007557	C0007561	0.018615				
C0011053	C0004134	0.014681				
C0220892	C0007546	0.011076				
C0011847	C0021641	0.008819				
C0018995	C0003126	0.020026				
C0022116	C0152149	0.038291				
C0030232	C0004057	0.003926				
C0013456	C0233212	0.044950				
C0019340	C0008370	0.017288				
C0242339	C0008402	0.011307				
C0034494	C0702166	0.026908				
C0032064	C0001416	0.015004				
C0159075	C0232955	0.028014				
C0001975	C0012772	0.008481				
C0009214	C0027358	0.014508				
C0043031	C0004057	0.007216				
C0042313	C0017642	0.009945				
C0009187	C0025289	0.027287				
C0030232	C0043031	0.008589				
C0002940	C0029456	0.015174				
C0022116	C0025859	0.006665				
C0016204	C0017687	0.006554				
C0007546	C0007716	0.033068				
C0029456	C0087086	0.015202				
C0014038	C0025289	0.022344				
C0684275	C0040038	0.012516				
C0003864	C0003862	0.038525				
C0152447	C0040822	0.031747				
C0003128	C0079083	0.006802				
C0001924	C0019134	0.007912				
C0032617	C0021641	0.005775				
C0037384	C0038450	0.029491				
C0033860	C0054836	0.005520				
C0019112	C0021359	0.015599				
C0014544	C0031412	0.005205				
C0014544	C0001975	0.005720				
C0033860	C0037763	0.015546				
C0037384	C0023992	0.009362				
C0003850	C0008402	0.007360				
C0854467	C0037384	0.007866				
C0032285	C0036690	0.017285				
C0019270	C0497327	0.020614				
C0018926	C0027498	0.028667				
C0003862	C0030193	0.026331				
C0040165	C0023660	0.003516				
C0032285	C0013404	0.009964				
C0741439	C0025287	0.015938				
C0017601	C0232197	0.020668				
C0036494	C0007297	0.162921				
C0003862	C0149651	0.034638				
C0684275	C0017642	0.005635				
C0013428	C0070166	0.005982				
C0231236	C0042755	0.056478				
C0002940	C0947651	0.001179				
C0009262	C0032950	0.009750				
C0019270	C0006982	0.005561				
C1257763	C0036572	0.022660				
C0086543	C0030305	0.021651				
C0001962	C0001975	0.018158				
C0020550	C0036572	0.027790				
C0116569	C0002598	0.013959				
C0021359	C0079083	0.005176				
C0003862	C0027796	0.039705				
C0003129	C0033487	0.008511				
C0012833	C0004147	0.009977				
C0030305	C0021641	0.005211				
C0017160	C0021641	0.004737				
C0023530	C0007537	0.011824				
C0019655	C0032950	0.004465				
C0442874	C0009806	0.015544				
C0149651	C0013404	0.023968				
C0018991	C0070166	0.008588				
C0026946	C0286651	0.004197				
C0035435	C0009262	0.006986				
C0013404	C0220892	0.003974				
C1623038	C0018926	0.014429				
C0877781	C0018681	0.142503				
C0023992	C0005632	0.008133				
C0920289	C0015672	0.015371				
C0878544	C0039070	0.022754				
C0003129	C0036572	0.013971				
C0036494	C0001962	0.004649				
C0242339	C0060277	0.003362				
C0039730	C0040822	0.020742				
C0009951	C0085208	0.008610				
C0002962	C0028351	0.005694				
C0027121	C0025815	0.004828				
C0003128	C0152149	0.039844				
C0013456	C0002645	0.004784				
C0022116	C0995182	0.002610				
C0006277	C0298130	0.006543				
C0286651	C0024027	0.034534				
C0032285	C1883552	0.009105				
C0037763	C0016860	0.008115				
C0040485	C0014806	0.005073				
C0011603	C0020517	0.012586				
C0947651	C0022614	0.001803				
C0003850	C0022116	0.023097				
C0018995	C0032617	0.018108				
C0025587	C0040460	0.028863				
C0011175	C0038187	0.018419				
C0009319	C0014544	0.022260				
C0011847	C0085602	0.018886				
C0162275	C0038187	0.016448				
C0036572	C0042291	0.005563				
C0018081	C0070166	0.007063				
C0301532	C0039840	0.064447				
C0020676	C1883552	0.016482				
C0039730	C0019045	0.035607				
C0206160	C0004057	0.002691				
C0026946	C0079083	0.004447				
C0026946	C0025289	0.025132				
C0030232	C0060277	0.003186				
C0332566	C0332573	0.016855				
C0018834	C0020740	0.004821				
C0995182	C0020264	0.000800				
C0009214	C0011816	0.023695				
C0001047	C0001443	0.049782				
C0086073	C0032950	0.003814				
C0037763	C0151818	0.039035				
C0011991	C0007537	0.008677				
C0007559	C0007561	0.032477				
C0030193	C0026549	0.006796				
C0027358	C0015846	0.012874				
C0042384	C0018991	0.021706				
C0009262	C0033209	0.033600				
C0126174	C0216784	0.033873				
C1623038	C0002871	0.008908				
C0055003	C0004899	0.004115				
C0037354	C0042214	0.049052				
C0038187	C0152149	0.037873				
C0031763	C0011603	0.027180				
C0011777	C0246719	0.003858				
C0019158	C0000970	0.002059				
C0022116	C0013132	0.031294				
C0019270	C0013456	0.026721				
C0018021	C0011644	0.012339				
C0004134	C0001962	0.002622				
C0043528	C0004576	0.042014				
C0035508	C0034642	0.100503				
C0557875	C0004147	0.013108				
C0004153	C0002962	0.024191				
C0019158	C0018926	0.013644				
C0027358	C0026549	0.020499				
C0011991	C0009262	0.007189				
C0027121	C0026848	0.040565				
C0006277	C0023992	0.007678				
C0013428	C0008809	0.004855				
C0282386	C0536495	0.045753				
C0034880	C0005740	0.007202				
C0008168	C0007561	0.008224				
C0007537	C0007557	0.034988				
C0014806	C0023660	0.006479				
C0020676	C0021359	0.026771				
C0081876	C0006681	0.003751				
C0007398	C0023380	0.047686				
C0036323	C0114873	0.007943				
C0085602	C0032617	0.032316				
C1623038	C0286651	0.002510				
C0038450	C0037384	0.029491				
C0004147	C0016860	0.010992				
C0242453	C0008809	0.008259				
C0011175	C0013369	0.015785				
C0014025	C0065374	0.036981				
C0235250	C0079083	0.008429				
C0206160	C0018926	0.015997				
C0041948	C0751229	0.021231				
C0026848	C0234369	0.055790				
C0021359	C0232197	0.030600				
C0162275	C0021641	0.004540				
C0005716	C0036572	0.017915				
C0006840	C0392071	0.060386				
C0019134	C0033603	0.013779				
C0878544	C0034642	0.032781				
C0026946	C0030193	0.012646				
C0033687	C0026196	0.008074				
C0002962	C0013404	0.010408				
C0004610	C0376288	0.040214				
C0242339	C0286651	0.006677				
C0041948	C0013911	0.026172				
C0029456	C0878544	0.017983				
C0235250	C0027497	0.028543				
C0242723	C0858529	0.013820				
C0442874	C0021641	0.004280				
C0036494	C0149651	0.055884				
C0060277	C0060277	1.000000				
C0858529	C0023992	0.006058				
C0035435	C0000970	0.001975				
C0006309	C0043528	0.039487				
C0004147	C0025859	0.032499				
C0013911	C0006625	0.037047				
C0003564	C0152149	0.049639				
C0038187	C0003123	0.020224				
C0005747	C0043031	0.008429				
C0002680	C0002645	0.020898				
C0002962	C0011991	0.010626				
C0016860	C0024730	0.007621				
C0041948	C0553735	0.036322				
C0021167	C0016860	0.008715				
C0040038	C0019134	0.026037				
C0015300	C0242453	0.030108				
C0041948	C0004057	0.003996				
C0006982	C0018242	0.010487				
C0020517	C0004899	0.003250				
C0019270	C0018021	0.017358				
C0011175	C0039070	0.014259				
C0231851	C0032617	0.048117				
C0003864	C0035435	0.023710				
C0021359	C0003128	0.046358				
C0006277	C0073992	0.007028				
C0026946	C0019655	0.038036				
C0086543	C0011847	0.020634				
C1257763	C0162429	0.055154				
C0009951	C0014544	0.058657				
C0010520	C0016410	0.003590				
C0021359	C0005747	0.023361				
C0442874	C0011847	0.026350				
C0014806	C0002144	0.008136				
C0018834	C0081876	0.009649				
