Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.000000				
C0006949	C0031507	0.063084				
C0878544	C0000970	0.019927				
C0019340	C0020550	0.000000				
C0036494	C0027497	0.048561				
C0009186	C0019655	0.125028				
C0002962	C0070166	0.010956				
C0061851	C0022046	0.057028				
C0036572	C0021641	0.013203				
C0036690	C0013404	0.049631				
C0028738	C0021167	0.000000				
C0036494	C0001962	0.015709				
C0013456	C0034880	0.083846				
C0032064	C0008402	0.036344				
C0001367	C0209227	0.067146				
C0027497	C0027498	0.000000				
C0162275	C0159075	0.000000				
C0009951	C0001962	0.013982				
C0242723	C0024530	0.083365				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.024440				
C0020639	C0020175	0.044700				
C0213771	C0073992	0.041007				
C0162275	C0016410	0.014489				
C0021641	C0017687	0.102091				
C0086543	C0043144	0.024186				
C0025605	C0040610	0.025632				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.047945				
C0032617	C0159075	0.000000				
C0033860	C0025287	0.081893				
C0042755	C0013132	0.050362				
C0009421	C0019158	0.081574				
C0917801	C0085631	0.050502				
C0442874	C0025598	0.000000				
C0033860	C0003864	0.078963				
C0041296	C0149651	0.000000				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.079845				
C0032285	C0007561	0.030021				
C0114873	C0076107	0.011459				
C0086543	C0025598	0.027599				
C1623038	C0301532	0.000000				
C0036572	C0006949	0.023638				
C0086543	C0021641	0.011294				
C0002871	C0206160	0.053834				
C0009951	C0006949	0.016481				
C0029456	C0032950	0.015944				
C0036572	C0031507	0.019912				
C0885057	C0016157	0.000000				
C0242339	C0016157	0.047478				
C0232197	C0002962	0.000000				
C0007557	C0007561	0.057165				
C0011053	C0004134	0.000000				
C0220892	C0007546	0.025977				
C0011847	C0021641	0.000000				
C0018995	C0003126	0.052941				
C0022116	C0152149	0.000000				
C0030232	C0004057	0.021728				
C0013456	C0233212	0.000000				
C0019340	C0008370	0.000000				
C0242339	C0008402	0.038641				
C0034494	C0702166	0.000000				
C0032064	C0001416	0.052419				
C0159075	C0232955	0.000000				
C0001975	C0012772	0.036418				
C0009214	C0027358	0.054914				
C0043031	C0004057	0.053572				
C0042313	C0017642	0.050061				
C0009187	C0025289	0.080355				
C0030232	C0043031	0.033561				
C0002940	C0029456	0.067711				
C0022116	C0025859	0.028180				
C0016204	C0017687	0.029343				
C0007546	C0007716	0.096894				
C0029456	C0087086	0.050952				
C0014038	C0025289	0.103319				
C0684275	C0040038	0.000000				
C0003864	C0003862	0.102931				
C0152447	C0040822	0.000000				
C0003128	C0079083	0.022076				
C0001924	C0019134	0.025228				
C0032617	C0021641	0.017944				
C0037384	C0038450	0.063434				
C0033860	C0054836	0.010489				
C0019112	C0021359	0.075372				
C0014544	C0031412	0.021888				
C0014544	C0001975	0.019379				
C0033860	C0037763	0.082347				
C0037384	C0023992	0.039440				
C0003850	C0008402	0.037971				
C0854467	C0037384	0.000000				
C0032285	C0036690	0.048083				
C0019270	C0497327	0.068664				
C0018926	C0027498	0.000000				
C0003862	C0030193	0.087347				
C0040165	C0023660	0.038971				
C0032285	C0013404	0.075133				
C0741439	C0025287	0.000000				
C0017601	C0232197	0.000000				
C0036494	C0007297	0.469861				
C0003862	C0149651	0.000000				
C0684275	C0017642	0.000000				
C0013428	C0070166	0.011205				
C0231236	C0042755	0.000000				
C0002940	C0947651	0.000000				
C0009262	C0032950	0.053520				
C0019270	C0006982	0.036592				
C1257763	C0036572	0.063390				
C0086543	C0030305	0.058596				
C0001962	C0001975	0.055355				
C0020550	C0036572	0.060606				
C0116569	C0002598	0.012930				
C0021359	C0079083	0.019653				
C0003862	C0027796	0.095240				
C0003129	C0033487	0.019739				
C0012833	C0004147	0.036775				
C0030305	C0021641	0.018204				
C0017160	C0021641	0.017394				
C0023530	C0007537	0.046117				
C0019655	C0032950	0.017362				
C0442874	C0009806	0.000000				
C0149651	C0013404	0.000000				
C0018991	C0070166	0.009299				
C0026946	C0286651	0.013173				
C0035435	C0009262	0.024787				
C0013404	C0220892	0.016813				
C1623038	C0018926	0.050884				
C0877781	C0018681	0.704396				
C0023992	C0005632	0.043927				
C0920289	C0015672	0.000000				
C0878544	C0039070	0.058085				
C0003129	C0036572	0.037189				
C0036494	C0001962	0.015709				
C0242339	C0060277	0.004005				
C0039730	C0040822	0.061146				
C0009951	C0085208	0.019794				
C0002962	C0028351	0.029879				
C0027121	C0025815	0.027628				
C0003128	C0152149	0.000000				
C0013456	C0002645	0.032926				
C0022116	C0995182	0.000000				
C0006277	C0298130	0.012385				
C0286651	C0024027	0.028377				
C0032285	C1883552	0.000000				
C0037763	C0016860	0.034200				
C0040485	C0014806	0.020014				
C0011603	C0020517	0.072789				
C0947651	C0022614	0.000000				
C0003850	C0022116	0.070639				
C0018995	C0032617	0.082960				
C0025587	C0040460	0.077235				
C0011175	C0038187	0.071752				
C0009319	C0014544	0.066779				
C0011847	C0085602	0.000000				
C0162275	C0038187	0.055907				
C0036572	C0042291	0.018782				
C0018081	C0070166	0.010952				
C0301532	C0039840	0.000000				
C0020676	C1883552	0.000000				
C0039730	C0019045	0.101046				
C0206160	C0004057	0.016713				
C0026946	C0079083	0.020286				
C0026946	C0025289	0.080712				
C0030232	C0060277	0.004103				
C0332566	C0332573	0.000000				
C0018834	C0020740	0.025182				
C0995182	C0020264	0.000000				
C0009214	C0011816	0.054176				
C0001047	C0001443	0.121508				
C0086073	C0032950	0.025042				
C0037763	C0151818	0.000000				
C0011991	C0007537	0.044234				
C0007559	C0007561	0.054205				
C0030193	C0026549	0.027326				
C0027358	C0015846	0.056125				
C0042384	C0018991	0.068465				
C0009262	C0033209	0.054201				
C0126174	C0216784	0.029711				
C1623038	C0002871	0.048332				
C0055003	C0004899	0.006696				
C0037354	C0042214	0.128384				
C0038187	C0152149	0.000000				
C0031763	C0011603	0.069321				
C0011777	C0246719	0.029917				
C0019158	C0000970	0.021881				
C0022116	C0013132	0.048714				
C0019270	C0013456	0.075062				
C0018021	C0011644	0.048661				
C0004134	C0001962	0.021556				
C0043528	C0004576	0.070614				
C0035508	C0034642	0.486166				
C0557875	C0004147	0.000000				
C0004153	C0002962	0.088172				
C0019158	C0018926	0.083830				
C0027358	C0026549	0.083051				
C0011991	C0009262	0.027308				
C0027121	C0026848	0.097324				
C0006277	C0023992	0.034883				
C0013428	C0008809	0.028667				
C0282386	C0536495	0.007163				
C0034880	C0005740	0.015535				
C0008168	C0007561	0.042050				
C0007537	C0007557	0.075894				
C0014806	C0023660	0.072788				
C0020676	C0021359	0.077633				
C0081876	C0006681	0.016417				
C0007398	C0023380	0.112759				
C0036323	C0114873	0.023236				
C0085602	C0032617	0.072684				
C1623038	C0286651	0.007714				
C0038450	C0037384	0.063434				
C0004147	C0016860	0.054233				
C0242453	C0008809	0.028542				
C0011175	C0013369	0.069142				
C0014025	C0065374	0.111657				
C0235250	C0079083	0.000000				
C0206160	C0018926	0.056844				
C0041948	C0751229	0.053472				
C0026848	C0234369	0.000000				
C0021359	C0232197	0.000000				
C0162275	C0021641	0.012053				
C0005716	C0036572	0.058917				
C0006840	C0392071	0.000000				
C0019134	C0033603	0.038517				
C0878544	C0034642	0.032155				
C0026946	C0030193	0.065047				
C0033687	C0026196	0.036018				
C0002962	C0013404	0.082540				
C0004610	C0376288	0.050051				
C0242339	C0286651	0.013623				
C0041948	C0013911	0.085861				
C0029456	C0878544	0.066652				
C0235250	C0027497	0.000000				
C0242723	C0858529	0.000000				
C0442874	C0021641	0.000000				
C0036494	C0149651	0.000000				
C0060277	C0060277	1.000000				
C0858529	C0023992	0.000000				
C0035435	C0000970	0.020541				
C0006309	C0043528	0.065706				
C0004147	C0025859	0.101450				
C0013911	C0006625	0.130324				
C0003564	C0152149	0.000000				
C0038187	C0003123	0.082603				
C0005747	C0043031	0.032757				
C0002680	C0002645	0.088213				
C0002962	C0011991	0.082144				
C0016860	C0024730	0.050106				
C0041948	C0553735	0.000000				
C0021167	C0016860	0.000000				
C0040038	C0019134	0.026306				
C0015300	C0242453	0.089319				
C0041948	C0004057	0.019990				
C0006982	C0018242	0.060884				
C0020517	C0004899	0.037873				
C0019270	C0018021	0.078434				
C0011175	C0039070	0.055568				
C0231851	C0032617	0.000000				
C0003864	C0035435	0.073633				
C0021359	C0003128	0.080618				
C0006277	C0073992	0.018855				
C0026946	C0019655	0.120330				
C0086543	C0011847	0.000000				
