Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
C0156543	C0000786	0.000000	0.374555	0.000000	0.000000	0.000000	0.000000				
C0018787	C0027061	0.812098	0.728008	0.923807	0.500000	0.287518	0.909091	C0018787		C0018787	C0018787=C0018787*<-C0027061
C0038454	C0021308	0.404365	0.327817	0.390004	0.111111	0.045939	0.428571	C0012674		C0012674	C0012674=C0038454->C0007820->C0042373->C0007222->*C0012674*<-C0021308<-C0027540<-C0030660<-C0039058
C0011253	C0036341	0.436295	0.349847	0.469915	0.125000	0.050819	0.461538	C1256749		C1256749	C1256749=C0011253->C0004941->C0004927->C0004928->*C1256749*<-C0036341<-C0525046<-C0004936
C1265880	C0009814	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000				
C0006826	C0001418	0.000000	0.393587	0.000000	0.000000	0.000000	0.000000				
C0018802	C0034063	0.436295	0.311375	0.371419	0.125000	0.042604	0.461538	C0012674		C0012674	C0012674=C0018802->C0018801->C0018799->C0007222->*C0012674*<-C0034063<-C0024115<-C0035242
C0034069	C0242379	0.624196	0.494581	0.743030	0.250000	0.098647	0.769231	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
C0011991	C0344375	0.000000	0.365280	0.000000	0.000000	0.000000	0.000000				
C0026269	C0004238	0.563705	0.443800	0.670763	0.200000	0.078165	0.714286	C0018799		C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
C0006118	C0151699	0.624196	0.454448	0.654819	0.250000	0.082074	0.800000	C0006111		C0006111	C0006111=C0006118->*C0006111*<-C0151699<-C0007820
C0003232	C0020517	0.000000	0.402974	0.000000	0.000000	0.000000	0.000000				
C0034065	C0027051	0.514281	0.452650	0.676591	0.166667	0.081401	0.666667	C0042373		C0042373	C0042373=C0034065->C0013922->C0085307->*C0042373*<-C0027051<-C0151744
C0007286	C0029408	0.436295	0.315653	0.376214	0.125000	0.043448	0.461538	C0012674		C0012674	C0012674=C0007286->C0035127->C0038048->C0043251->*C0012674*<-C0029408<-C0035435<-C0026857
C0003873	C0409974	0.000000	0.367136	0.000000	0.000000	0.000000	0.000000				
C0702166	C0039142	0.000000	0.362477	0.000000	0.000000	0.000000	0.000000				
C0011849	C0020538	0.514281	0.352920	0.419125	0.166667	0.051540	0.545455	C0012674		C0012674	C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0042373<-C0007222
C0010137	C0086511	0.326379	0.230692	0.057188	0.083333	0.029436	0.266667	C0000000|C1256741		C1256741	C0000000=C0010137->C0003209->C1258064->C0600511->C0600512->*C0000000*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784<-C1256741|C1256741=C0010137->C0003209->C1258064->C0600511->C0600505->C0007995->*C1256741*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784
C0206698	C0009378	0.284591	0.226446	0.056117	0.071429	0.028869	0.235294	C1256741		C1256741	C1256741=C0206698->C0001418->C0007097->C0027660->C0027652->C0027651->C0012674->*C1256741*<-C0009378<-C0079278<-C0079277<-C0038898<-C0543467<-C0002784
C0333997	C0007107	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0003615	C0029456	0.404365	0.324870	0.386643	0.111111	0.045323	0.428571	C0012674		C0012674	C0012674=C0003615->C0017160->C0017178->C0012242->*C0012674*<-C0029456<-C0005944<-C0005940<-C0026857
C0011581	C0007642	0.404365	0.233944	0.058021	0.111111	0.029878	0.333333	C1256741		C1256741	C1256741=C0011581->C0525045->C0004936->C1256749->*C1256741*<-C0007642<-C0009782<-C0175166<-C0012674
C0020473	C0006826	0.000000	0.374273	0.000000	0.000000	0.000000	0.000000				
C0026769	C0033975	0.375804	0.233832	0.057993	0.100000	0.029862	0.307692	C0000000|C1256741		C1256741	C0000000=C0026769->C0751873->C0751871->C0751872->*C0000000*<-C0033975<-C0525046<-C0004936<-C1256749<-C1256741|C1256741=C0026769->C0751873->C0751871->C0027765->C0012674->*C1256741*<-C0033975<-C0525046<-C0004936<-C1256749
C0030920	C0027092	0.472493	0.335332	0.398633	0.142857	0.047548	0.500000	C0012674		C0012674	C0012674=C0030920->C0017178->C0012242->*C0012674*<-C0027092<-C0034951<-C0015397
C0034887	C0003483	0.000000	0.365280	0.000000	0.000000	0.000000	0.000000				
C0042345	C0224701	0.000000	0.360225	0.000000	0.000000	0.000000	0.000000				
C0043352	C0023891	0.404365	0.311098	0.371110	0.111111	0.042550	0.428571	C0012674		C0012674	C0012674=C0043352->C0036093->C0026636->C0038368->*C0012674*<-C0023891<-C0023890<-C0023895<-C0012242
