Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078	C0035078	C0035078	C0035078=C0035078
C0392535	C0000786	0.017699	0.404365	0.241271	0.059943	0.111111	0.030898	0.333333	C1256741	C1256741	C1256741	C1256741=C0392535->C0038906->C0543467->C0002784->*C1256741*<-C0000786<-C0032962<-C1720765<-C0012674
C0018787	C0027061	0.925711	0.812098	0.728008	0.923807	0.500000	0.287518	0.909091	C0018787	C0018787	C0018787	C0018787=C0018787*<-C0027061
C0038454	C0021308	0.251501	0.404365	0.327817	0.390004	0.111111	0.045939	0.428571	C0012674	C0012674	C0012674	C0012674=C0038454->C0007820->C0042373->C0007222->*C0012674*<-C0021308<-C0027540<-C0030660<-C0039058
C0011253	C0036341	0.349222	0.436295	0.349847	0.469915	0.125000	0.050819	0.461538	C1256749	C1256749	C1256749	C1256749=C0011253->C0004941->C0004927->C0004928->*C1256749*<-C0036341<-C0525046<-C0004936
C0006660	C1261287	0.016217	0.375804	0.230813	0.057219	0.100000	0.029452	0.307692	C1256741	C1256741	C1256741	C1256741=C0006660->C0018271->C0031845->C2350828->C2930671->*C1256741*<-C1261287<-C0752135<-C0039058<-C0012674
C0006826	C0001418	0.000000	0.000000	0.393587	0.000000	0.000000	0.000000	0.000000				
C0018802	C0034063	0.000000	0.436295	0.311375	0.371419	0.125000	0.042604	0.461538	C0012674	C0012674	C0012674	C0012674=C0018802->C0018801->C0018799->C0007222->*C0012674*<-C0034063<-C0024115<-C0035242
C0034069	C0242379	0.000000	0.624196	0.494581	0.743030	0.250000	0.098647	0.769231	C0024115	C0024115	C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
C0011991	C0038354	0.293304	0.436295	0.339083	0.402968	0.125000	0.048373	0.461538	C0012674	C0012674	C0012674	C0012674=C0011991->C0037089->C0037088->C0039058->*C0012674*<-C0038354<-C0017178<-C0012242
C0026269	C0004238	0.605195	0.563705	0.443800	0.670763	0.200000	0.078165	0.714286	C0018799	C0018799	C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
C0006118	C0151699	0.692267	0.624196	0.454448	0.654819	0.250000	0.082074	0.800000	C0006111	C0006111	C0006111	C0006111=C0006118->*C0006111*<-C0151699<-C0007820
C0003232	C0020517	0.000000	0.000000	0.402974	0.000000	0.000000	0.000000	0.000000				
C0034065	C0027051	0.626219	0.514281	0.452650	0.676591	0.166667	0.081401	0.666667	C0042373	C0042373	C0042373	C0042373=C0034065->C0013922->C0085307->*C0042373*<-C0027051<-C0151744
C0007286	C0029408	0.244366	0.436295	0.315653	0.376214	0.125000	0.043448	0.461538	C0012674	C0012674	C0012674	C0012674=C0007286->C0035127->C0038048->C0043251->*C0012674*<-C0029408<-C0035435<-C0026857
C0003873	C0024141	0.804865	0.702183	0.519802	0.767766	0.333333	0.110734	0.833333	C0004364	C0004364	C0004364	C0004364=C0003873->*C0004364*<-C0024141
C0001144	C0039142	0.015242	0.404365	0.227928	0.056488	0.111111	0.029065	0.333333	C1256741	C1256741	C1256741	C1256741=C0001144->C0036502->C0037274->C0175166->C0012674->*C1256741*<-C0039142<-C0014674<-C0002784
