Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.000000	0.000000	0.379853	0.000000	0.000000	0.000000	0.000000				
C0006949	C0031507	0.754907	0.702183	0.501606	0.728797	0.333333	0.101875	0.888889	C0003286	C0003286	C0003286	C0003286=C0006949->*C0003286*<-C0031507
C0878544	C0000970	0.017589	0.349966	0.263176	0.066064	0.090909	0.034161	0.285714	C0000000|C1256741	C1256741	C1256741	C0000000=C0878544->C0018799->C0007222->C0012674->C1256741->*C0000000*<-C0000970<-C0003419<-C1258063<-C0600511<-C0600512|C1256741=C0878544->C0018799->C0007222->C0012674->*C1256741*<-C0000970<-C0003419<-C1258063<-C0600511<-C0600505<-C0007995
C0019340	C0020550	0.000000	0.000000	0.364483	0.000000	0.000000	0.000000	0.000000				
C0036494	C0027497	0.000000	0.563705	0.382058	0.551323	0.200000	0.058902	0.714286	C0037088	C0037088	C0037088	C0037088=C0036494->C0026603->*C0037088*<-C0027497<-C0037089
C0009186	C0019655	0.693104	0.702183	0.541660	0.800682	0.333333	0.122400	0.833333	C0026946	C0026946	C0026946	C0026946=C0009186->*C0026946*<-C0019655
C0002962	C0070166	0.000000	0.404365	0.215067	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=C0002962->C0008031->C0030193->C0027854->C0422837->*C0000000*<-C0070166<-C0032177<-C0032188
C0061851	C0022046	0.538357	0.563705	0.374775	0.535334	0.200000	0.056969	0.800000	C0017173|C0007680|C0004382	C0017173	C0017173	C0007680=C0061851->C0003297->*C0007680*<-C0022046<-C0013973|C0017173=C0061851->C0003297->*C0017173*<-C0022046<-C0013973|C0004382=C0061851->C0003297->*C0004382*<-C0022046<-C0013973
C0036572	C0021641	0.000000	0.404365	0.248307	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=C0036572->C0027854->C0422837->*C0000000*<-C0021641<-C0020616<-C1258063<-C0600511<-C0600512
C0036690	C0013404	0.000000	0.000000	0.361007	0.000000	0.000000	0.000000	0.000000				
C0028738	C0021167	0.000000	0.000000	0.385261	0.000000	0.000000	0.000000	0.000000				
C0036494	C0001962	0.000000	0.375804	0.266937	0.067174	0.100000	0.034754	0.307692	C1256741	C1256741	C1256741	C1256741=C0036494->C0026603->C0037088->C0039058->C0012674->*C1256741*<-C0001962<-C0001975<-C0029224<-C0007995
C0013456	C0034880	0.586651	0.624196	0.454701	0.689486	0.250000	0.082170	0.769231	C0013447	C0013447	C0013447	C0013447=C0013456->*C0013447*<-C0034880<-C0260662
C0032064	C0008402	0.014351	0.284591	0.227391	0.056353	0.071429	0.028994	0.235294	C1256741	C1256741	C1256741	C1256741=C0032064->C0043407->C0014347->C0085423->C0004623->C0004615->C0012674->*C1256741*<-C0008402<-C0032604<-C0032167<-C0032521<-C1449655<-C0007995
C0001367	C0209227	0.554399	0.702183	0.439360	0.632002	0.333333	0.076591	0.888889	C0003451	C0003451	C0003451	C0003451=C0001367->*C0003451*<-C0209227
C0027497	C0027498	0.000000	0.000000	0.361861	0.000000	0.000000	0.000000	0.000000				
C0162275	C0159075	0.000000	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0009951	C0001962	0.000000	0.375804	0.266937	0.067174	0.100000	0.034754	0.307692	C0000000|C1256741	C1256741	C1256741	C0000000=C0009951->C0036572->C0027854->C0422837->*C0000000*<-C0001962<-C0001975<-C0029224<-C0007995<-C1256741|C1256741=C0009951->C0036572->C0027854->C0027765->C0012674->*C1256741*<-C0001962<-C0001975<-C0029224<-C0007995
C0242723	C0024530	0.666604	0.624196	0.482116	0.722687	0.250000	0.093170	0.727273	C0030499	C0030499	C0030499	C0030499=C0242723->*C0030499*<-C0024530<-C0033740
C0033687	C0011847	0.000000	0.000000	0.362477	0.000000	0.000000	0.000000	0.000000				
C0017160	C0086073	0.000000	0.404365	0.229887	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=C0017160->C0017178->C0012242->C0012674->C1256741->*C0000000*<-C0086073<-C0012694<-C0010347
C0020639	C0020175	0.014751	0.375804	0.226152	0.056043	0.100000	0.028830	0.307692	C1256741	C1256741	C1256741	C1256741=C0020639->C0005830->C0018939->C0018981->C0012674->*C1256741*<-C0020175<-C1720791<-C2350828<-C2930671
C0213771	C0073992	0.558381	0.702183	0.442451	0.668332	0.333333	0.077684	0.900000	C0006280	C0006280	C0006280	C0006280=C0213771->*C0006280*<-C0073992
C0162275	C0016410	0.000000	0.304681	0.248202	0.061818	0.076923	0.031895	0.250000	C1256741	C1256741	C1256741	C1256741=C0162275->C0022638->C0001122->C0001118->C0025517->C0028715->C0012674->*C1256741*<-C0016410<-C0033992<-C1571592<-C0005515<-C0007995
C0021641	C0017687	0.788362	0.563705	0.474053	0.669645	0.200000	0.089790	0.750000	C0033665	C0033665	C0033665	C0033665=C0021641->C0033362->*C0033665*<-C0017687<-C0072092
C0086543	C0043144	0.000000	0.404365	0.345755	0.410728	0.111111	0.049875	0.428571	C0012674	C0012674	C0012674	C0012674=C0086543->C0023308->C0015397->*C0012674*<-C0043144<-C0035234<-C0037090<-C0037088<-C0039058
C0025605	C0040610	0.719718	0.702183	0.526756	0.761982	0.333333	0.114319	0.909091	C0002772|C0027415	C0027415	C0027415	C0027415=C0025605->*C0027415*<-C0040610|C0002772=C0025605->*C0002772*<-C0040610
C0011847	C0033860	0.000000	0.000000	0.363650	0.000000	0.000000	0.000000	0.000000				
C0948786	C0030232	0.000000	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0232471	C0016860	0.000000	0.000000	0.366015	0.000000	0.000000	0.000000	0.000000				
C0031763	C0003564	0.000000	0.514281	0.232022	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=C0031763->*C0000000*<-C0003564<-C0042940<-C0027854<-C0422837
C0032617	C0159075	0.000000	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0033860	C0025287	0.208828	0.436295	0.314108	0.374480	0.125000	0.043141	0.461538	C0012674	C0012674	C0012674	C0012674=C0033860->C0162818->C0037274->C0175166->*C0012674*<-C0025287<-C0027854<-C0027765
C0042755	C0013132	0.000000	0.000000	0.370866	0.000000	0.000000	0.000000	0.000000				
C0009421	C0019158	0.276268	0.375804	0.329117	0.391491	0.100000	0.046213	0.400000	C0012674	C0012674	C0012674	C0012674=C0009421->C0041657->C0009792->C0525041->C0027854->C0027765->*C0012674*<-C0019158<-C0023895<-C0012242
C0917801	C0085631	0.000000	0.436295	0.401879	0.594913	0.125000	0.064503	0.631579	C0027854	C0027854	C0027854	C0027854=C0917801->C0021603->C0752287->C0700201->C0851578->*C0027854*<-C0085631<-C0013384
C0442874	C0025598	0.000000	0.000000	0.366556	0.000000	0.000000	0.000000	0.000000				
C0033860	C0003864	0.288317	0.436295	0.342999	0.407516	0.125000	0.049249	0.461538	C0012674	C0012674	C0012674	C0012674=C0033860->C0162818->C0037274->C0175166->*C0012674*<-C0003864<-C0022408<-C0026857
C0041296	C0149651	0.000000	0.000000	0.382948	0.000000	0.000000	0.000000	0.000000				
C0028754	C0011847	0.000000	0.000000	0.362660	0.000000	0.000000	0.000000	0.000000				
