Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.560824	0.279460	0.233023	0.142857	0.035684	0.500000	C0012674		C0012674	C0012674=C0017601->C0015397->*C0012674*<-C0232197<-C0003811<-C0018799<-C0007222
C0006949	C0031507	0.752052	0.463348	0.687322	0.333333	0.083540	0.900000	C0003286		C0003286	C0003286=C0006949->*C0003286*<-C0031507
C0878544	C0000970	0.504104	0.263573	0.070126	0.111111	0.033155	0.333333	C1256741		C1256741	C1256741=C0878544->C0018799->C0007222->C0012674->*C1256741*<-C0000970<-C0003419<-C0013227<-C0007995
C0019340	C0020550	0.000000	0.367989	0.000000	0.000000	0.000000	0.000000				
C0036494	C0027497	0.752052	0.808388	0.960522	0.333333	0.412156	0.900000	C0027497		C0027497	C0027497=C0036494->C0026603->*C0027497
C0009186	C0019655	0.752052	0.513422	0.768482	0.333333	0.105315	0.900000	C0026946		C0026946	C0026946=C0009186->*C0026946*<-C0019655
C0002962	C0070166	0.560824	0.213974	0.000000	0.142857	0.000000	0.250000	C0000000		C0000000	C0000000=C0002962->C0151744->C0155670->*C0000000*<-C0070166<-C0032177<-C0032178
C0061851	C0022046	0.687124	0.291612	0.308802	0.250000	0.037747	0.823529	C1320237		C1320237	C1320237=C0061851->C0360055->*C1320237*<-C0022046
C0036572	C0021641	0.560824	0.261655	0.064234	0.142857	0.032863	0.400000	C2720507		C2720507	C2720507=C0036572->C0027854->C0037088->*C2720507*<-C0021641<-C0935929<-C0013227
C0036690	C0013404	0.530687	0.348732	0.434798	0.125000	0.049163	0.695652	C0012674|C1290853		C1290853	C0012674=C0036690->C0243026->C0021311->C0004615->*C0012674*<-C0013404<-C0035204<-C0035242|C1290853=C0036690->C0243026->C2316160->C0578491->*C1290853*<-C0013404<-C0035204<-C1285159
C0028738	C0021167	0.480325	0.303665	0.298323	0.100000	0.039911	0.526316	C0012674|C0037088		C0037088	C0012674=C0028738->C0028850->C0015397->*C0012674*<-C0021167<-C0231360<-C0424449<-C0427350<-C0037088<-C0039058|C0037088=C0028738->C0028850->C0042790->C0036659->C0027854->*C0037088*<-C0021167<-C0231360<-C0424449<-C0427350
C0036494	C0001962	0.560824	0.257199	0.062965	0.142857	0.032192	0.400000	C2720507		C2720507	C2720507=C0036494->C0026603->C0037088->*C2720507*<-C0001962<-C0358214<-C0013227
C0013456	C0034880	0.752052	0.524526	0.785642	0.333333	0.110865	0.941176	C0013447		C0013447	C0013447=C0013456->*C0013447*<-C0034880
C0032064	C0008402	0.458814	0.213325	0.000000	0.090909	0.000000	0.166667	C0000000		C0000000	C0000000=C0032064->C0043407->C0014347->C0374996->*C0000000*<-C0008402<-C0304522<-C0003367<-C0007220<-C0013227<-C2720507
C0001367	C0209227	0.752052	0.720363	0.924994	0.333333	0.274299	0.916667	C0003451|C1319305		C1319305	C0003451=C0001367->*C0003451*<-C0209227|C1319305=C0001367->*C1319305*<-C0209227
