"cg","con","Concept.1","Concept.2","PAGERANK","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"msh","MiniMayoSRS_mesh","D051437","D051437",1,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D000028","D000022",1e-06,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D006321","D009206",0.433393,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D020521","D007238",0.004127,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D003702","D012559",0.001284,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D002113","D003251",0.000848,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D009369","D000230",0.019899,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D006333","D011654",0.004454,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D011658","D008175",0.097662,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D003967","D013272",0.001872,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D008946","D001281",0.011736,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D001932","D020300",0.004422,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D000900","D006967",2.4e-05,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D011655","D009203",0.005172,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D002349","D010003",0.000787,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D001172","D008180",0.051304,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D000152","D013594",1.8e-05,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D003920","D006973",0.008377,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D003348","D019645",1e-06,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D018281","D003113",0,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D019310","D007822",0.007435,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D001064","D010024",0.001437,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D003866","D002481",0.000731,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D006949","D009369",0.001103,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D009103","D011618",0.002015,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D010437","D009216",0.060695,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D003111","D001011",0.000404,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D014648","D007717",0.00143,NA,NA,NA,NA
"msh","MiniMayoSRS_mesh","D014987","D008104",0.000818,NA,NA,NA,NA
