"cg","con","Concept.1","Concept.2","LIN","LCH","INTRINSIC_LCH","INTRINSIC_LIN","PATH","INTRINSIC_PATH","WUPALMER","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"msh","MiniMayoSRS_mesh","D051437","D051437",1,1,1,1,1,1,1,"D051437","D051437","D051437","D051437=D051437"
"msh","MiniMayoSRS_mesh","D000028","D000022",0,0.448182,0.22685,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D000028->D013513->D013514->*C0000000*<-D000022<-D011248<-D005261"
"msh","MiniMayoSRS_mesh","D006321","D009206",0.923193,0.803438,0.716238,0.916713,0.5,0.27352,0.857143,"D006321","D006321","D006321","D006321=D006321*<-D009206"
"msh","MiniMayoSRS_mesh","D020521","D007238",0,0.376914,0.218888,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D020521->D002561->D014652->D002318->*C0000000*<-D007238<-D009336<-D010335<-D013568"
"msh","MiniMayoSRS_mesh","D003702","D012559",0,0.410315,0.218888,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D003702->D001526->D001519->D001520->*C0000000*<-D012559<-D019967<-D001523"
"msh","MiniMayoSRS_mesh","D002113","D003251",0,0.410315,0.220451,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D002113->D048788->D055705->D010829->*C0000000*<-D003251<-D020763<-D013568"
"msh","MiniMayoSRS_mesh","D009369","D000230",0.742604,0.543598,0.60213,0.787297,0.2,0.162401,0.5,"D009369","D009369","D009369","D009369=D009369*<-D000230<-D002277<-D009375<-D009370"
"msh","MiniMayoSRS_mesh","D006333","D011654",0,0.448182,0.221945,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D006333->D006331->D002318->*C0000000*<-D011654<-D008171<-D012140"
"msh","MiniMayoSRS_mesh","D011658","D008175",0.707748,0.688457,0.504171,0.745296,0.333333,0.103807,0.75,"D008171","D008171","D008171","D008171=D011658->*D008171*<-D008175"
"msh","MiniMayoSRS_mesh","D003967","D013272",0,0.410315,0.235211,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D003967->D012817->D012816->D013568->*C0000000*<-D013272<-D005767<-D004066"
"msh","MiniMayoSRS_mesh","D008946","D001281",0.595299,0.543598,0.426146,0.638277,0.2,0.072681,0.6,"D006331","D006331","D006331","D006331=D008946->D006349->*D006331*<-D001281<-D001145"
"msh","MiniMayoSRS_mesh","D001932","D020300",0.683286,0.606877,0.447717,0.651727,0.25,0.080208,0.727273,"D001927","D001927","D001927","D001927=D001932->*D001927*<-D020300<-D002561"
