c0311394 C0311394:1
c0035450 C0035450:1
c0409162 C0409162:1
c0011849 C0011849:1
c0020541 C0020541:1
c0018802 C0018802:1
c0085649 C0085649:1
c0022650 C0022650:1
c0004604 C0004604:1
c1956089 C1956089:1
c0003873 C0003873:1
c0009871 C0009871:1
c0020971 C0020971:1
c0026848 C0026848:1
c0360714 C0360714:1
c0004093 C0004093:1
c0013404 C0013404:1
c0034065 C0034065:1
c0029408 C0029408:1
c0231736 C0231736:1
c0332536 C0332536:1
c0458343 C0458343:1
c0457086 C0457086:1
c0038454 C0038454:1
c0006121 C0006121:1
c0011167 C0011167:1
c0011168 C0011168:1
c0429103 C0429103:1
c1510420 C1510420:1
c0027627 C0027627:1
c1956391 C1956391:1
c0003243 C0003243:1
c0034735 C0034735:1
c0011644 C0011644:1
c0032285 C0032285:1
c0020877 C0020877:1
c0030472 C0030472:1
c0003873 C0003873:1
c0027540 C0027540:1
c0011991 C0011991:1
c0013395 C0013395:1
c0009676 C0009676:1
c0018524 C0018524:1
c0038362 C0038362:1
c0034065 C0034065:1
c0003873 C0003873:1
c1533685 C1533685:1
c0042164 C0042164:1
c0042384 C0042384:1
c0243026 C0243026:1
c0042109 C0042109:1
c0017196 C0017196:1
c0013604 C0013604:1
c0009378 C0009378:1
c0010137 C0010137:1
c0003507 C0003507:1
c0024530 C0024530:1
c0442874 C0442874:1
c0036572 C0036572:1
c0333997 C0333997:1
c0036202 C0036202:1
c0023223 C0023223:1
c0080331 C0080331:1
c0030326 C0030326:1
c0003811 C0003811:1
c0019054 C0019054:1
c0013378 C0013378:1
c0013394 C0013394:1
c0030842 C0030842:1
c0023418 C0023418:1
c0376358 C0376358:1
c0224498 C0224498:1
c0037473 C0037473:1
c0033706 C0033706:1
c0026764 C0026764:1
c0011849 C0011849:1
c0220982 C0220982:1
c0040583 C0040583:1
c0037199 C0037199:1
c0267809 C0267809:1
c0018801 C0018801:1
c0034887 C0034887:1
c0162595 C0162595:1
c0233651 C0233651:1
c0005587 C0005587:1
c0026269 C0026269:1
c0035222 C0035222:1
c0037926 C0037926:1
c0158280 C0158280:1
c0241910 C0241910:1
c0917996 C0917996:1
c0149925 C0149925:1
c0018926 C0018926:1
c0010043 C0010043:1
c0013404 C0013404:1
c0024117 C0024117:1
c0029408 C0029408:1
c0262538 C0262538:1
c0034069 C0034069:1
c0007286 C0007286:1
c0041834 C0041834:1
c0231685 C0231685:1
c0034079 C0034079:1
c0333286 C0333286:1
c0032584 C0032584:1
c0027962 C0027962:1
c0020541 C0020541:1
c0034063 C0034063:1
c0041956 C0041956:1
c0037944 C0037944:1
c0018862 C0018862:1
c0035450 C0035450:1
c1444657 C1444657:1
c0021051 C0021051:1
c0011633 C0011633:1
c0020473 C0020473:1
c0442874 C0442874:1
c0231835 C0231835:1
c0019079 C0019079:1
c0221434 C0221434:1
c0231749 C0231749:1
c0024796 C0024796:1
c0016053 C0016053:1
c0003873 C0003873:1
c0018989 C0018989:1
c1269897 C1269897:1
c0031133 C0031133:1
c0679317 C0679317:1
c0027051 C0027051:1
c0041296 C0041296:1
c0205699 C0205699:1
c0018681 C0018681:1
c0443146 C0443146:1
c0022116 C0022116:1
c0036421 C0036421:1
c0332448 C0332448:1
c0010346 C0010346:1
c1306459 C1306459:1
c1396859 C1396859:1
c1547030 C1547030:1
c0009319 C0009319:1
c0030920 C0030920:1
c0011253 C0011253:1
c0033975 C0033975:1
c0149745 C0149745:1
c0032285 C0032285:1
c0003904 C0003904:1
c1253936 C1253936:1
c0019740 C0019740:1
c0040053 C0040053:1
c0020649 C0020649:1
c0277942 C0277942:1
c0162429 C0162429:1
c0017654 C0017654:1
c0032584 C0032584:1
c1563292 C1563292:1
c0006660 C0006660:1
c0002438 C0002438:1
c0522224 C0522224:1
c0018681 C0018681:1
c0043352 C0043352:1
c0042866 C0042866:1
c0042345 C0042345:1
c0432601 C0432601:1
c0023798 C0023798:1
c0026264 C0026264:1
c1561562 C1561562:1
c0011167 C0011167:1
c0029965 C0029965:1
c0020517 C0020517:1
c0038250 C0038250:1
c0001109 C0001109:1
c0029408 C0029408:1
c0024485 C0024485:1
c0039142 C0039142:1
c0011581 C0011581:1
c0035450 C0035450:1
c0409974 C0409974:1
c0007102 C0007102:1
c0442041 C0442041:1
c0376180 C0376180:1
c0033975 C0033975:1
c0023055 C0023055:1
c0702166 C0702166:1
c1527356 C1527356:1
c0232208 C0232208:1
c0030920 C0030920:1
c0007642 C0007642:1
c0886052 C0886052:1
c0023891 C0023891:1
c0022876 C0022876:1
c0034065 C0034065:1
c0011860 C0011860:1
c0043352 C0043352:1
c0011127 C0011127:1
c0231528 C0231528:1
c0018520 C0018520:1
c0392525 C0392525:1
c0040479 C0040479:1
c0003615 C0003615:1
c0549493 C0549493:1
c0029456 C0029456:1
