Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
D003920	D011127	0.004064				
D006975	D009508	0.003678				
D006333	D006975	0.002003				
D007669	D014517	0.066583				
D001416	D013130	0.001483				
D001172	D012218	0.854310				
D007114	D007153	0.000011				
D009135	D003882	0.070409				
D019161	D006949	0.000042				
D004417	D059246	0.400528				
D011655	D006469	0.112520				
D061028	D005356	0.002361				
D020521	D010291	0.004902				
D003679	D010528	0.312754				
D009362	D002277	0.001529				
D013700	D006261	0.002302				
D011928	D007511	0.022458				
D012594	D012595	0.262324				
D007079	D003424	0.068099				
D003967	D003092	0.001491				
D004415	D010437	0.002746				
D003221	D003702	0.052164				
D006212	D011618	0.001956				
D013280	D019226	0.202700				
D011655	D011014	0.054339				
D001172	D001182	0.000011				
D007267	D006833	0.000007				
D014605	D015796	0.000000				
D014657	D013927	0.039694				
D018805	D007022	0.002276				
D005774	D044342	0.000002				
D004487	D005919	0.000208				
D003113	D011127	0.000007				
D001024	D002113	0.000100				
D008288	D000562	0.116820				
D012640	D006261	0.006979				
D012507	D014807	0.000002				
D007871	D014648	0.450439				
D015434	D008067	0.012252				
D001145	D008943	0.000635				
D004408	D003679	0.000018				
D010406	D006967	0.000009				
D007938	D013234	0.000045				
D011471	D000135	0.000005				
D012964	D008279	0.000000				
D011516	D013594	0.000044				
D009101	D003866	0.000201				
D003920	D012218	0.004843				
D014135	D003110	0.002833				
D006333	D011618	0.000792				
D008946	D010437	0.001249				
D012128	D002481	0.006014				
D019693	D007752	0.001062				
D002532	D011655	0.009474				
D055752	D003924	0.000553				
D006396	D014987	0.001020				
D003320	D003668	0.026177				
D029424	D006209	0.000321				
D010003	D053040	0.003182				
D011658	D001064	0.002049				
D004890	D010024	0.014735				
