Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
D051437	D051437	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	D051437	D051437	D051437	D051437=D051437
D000028	D000022	0.000000	0.448182	0.226850	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D000028->D013513->D013514->*C0000000*<-D000022<-D011248<-D005261
D006321	D009206	0.923193	0.803438	0.716238	0.916713	0.500000	0.273520	0.857143	D006321	D006321	D006321	D006321=D006321*<-D009206
D020521	D007238	0.000000	0.376914	0.218888	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D020521->D002561->D014652->D002318->*C0000000*<-D007238<-D009336<-D010335<-D013568
D003702	D012559	0.000000	0.410315	0.218888	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D003702->D001526->D001519->D001520->*C0000000*<-D012559<-D019967<-D001523
D002113	D003251	0.000000	0.410315	0.220451	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D002113->D048788->D055705->D010829->*C0000000*<-D003251<-D020763<-D013568
D009369	D000230	0.742604	0.543598	0.602130	0.787297	0.200000	0.162401	0.500000	D009369	D009369	D009369	D009369=D009369*<-D000230<-D002277<-D009375<-D009370
D006333	D011654	0.000000	0.448182	0.221945	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006333->D006331->D002318->*C0000000*<-D011654<-D008171<-D012140
D011658	D008175	0.707748	0.688457	0.504171	0.745296	0.333333	0.103807	0.750000	D008171	D008171	D008171	D008171=D011658->*D008171*<-D008175
D003967	D013272	0.000000	0.410315	0.235211	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D003967->D012817->D012816->D013568->*C0000000*<-D013272<-D005767<-D004066
D008946	D001281	0.595299	0.543598	0.426146	0.638277	0.200000	0.072681	0.600000	D006331	D006331	D006331	D006331=D008946->D006349->*D006331*<-D001281<-D001145
D001932	D020300	0.683286	0.606877	0.447717	0.651727	0.250000	0.080208	0.727273	D001927	D001927	D001927	D001927=D001932->*D001927*<-D020300<-D002561
D000900	D006967	0.000000	0.410315	0.307842	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D000900->D000890->D045506->D020228->D020164->*C0000000*<-D006967<-D007154
D011655	D009203	0.615734	0.491896	0.452766	0.673659	0.166667	0.082080	0.545455	D014652	D014652	D014652	D014652=D011655->D004617->D016769->*D014652*<-D009203<-D017202
D002349	D010003	0.000000	0.410315	0.217047	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D002349->D012090->D013180->D014947->*C0000000*<-D010003<-D012216<-D009140
D001172	D008180	0.799343	0.688457	0.522666	0.768726	0.333333	0.112960	0.750000	D001327	D001327	D001327	D001327=D001172->*D001327*<-D008180
D000152	D013594	0.000000	0.448182	0.213961	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D000152->D012625->D012871->D017437->*C0000000*<-D013594<-D004864
D003920	D006973	0.000000	0.491896	0.242815	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D003920->D004700->*C0000000*<-D006973<-D014652<-D002318
D003348	D019645	0.000000	0.347036	0.218013	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D003348->D000893->D045506->D020228->D020164->*C0000000*<-D019645<-D019643<-D019919<-D013514
D018281	D003113	0.000000	0.295334	0.214659	0.000000	0.083333	0.000000	0.153846	C0000000	C0000000	C0000000	C0000000=D018281->D000230->D002277->D009375->D009370->D009369->*C0000000*<-D003113<-D016099<-D016145<-D013505<-D013514
D019310	D007822	0.000000	0.448182	0.213556	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D019310->D008206->D006425->*C0000000*<-D007822<-D007818<-D010038
D001064	D010024	0.000000	0.376914	0.223114	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D001064->D059413->D007239->D001423->*C0000000*<-D010024<-D001851<-D001847<-D009140
D003866	D002481	0.000000	0.448182	0.221323	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D003866->D019964->D001523->*C0000000*<-D002481<-D003240<-D017437
D006949	D009369	0.000000	0.448182	0.279697	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006949->D050171->D052439->D008659->D009750->*C0000000*<-D009369
D009103	D011618	0.000000	0.410315	0.219848	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D009103->D020278->D003711->D009422->*C0000000*<-D011618<-D019967<-D001523
D010437	D009216	0.000000	0.448182	0.232166	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D010437->D005767->D004066->*C0000000*<-D009216<-D012030<-D005128
D003111	D001011	0.000000	0.347036	0.216910	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D003111->D007417->D011127->D020763->D013568->*C0000000*<-D001011<-D001158<-D001808<-D002319
D014648	D007717	0.000000	0.410315	0.216341	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D014648->D014652->D002318->*C0000000*<-D007717<-D035002<-D005121<-D001829
D014987	D008104	0.000000	0.376914	0.214386	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D014987->D012466->D009059->D009057->*C0000000*<-D008104<-D008108<-D008107<-D004066
