Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.000000	0.359058	0.000000	0.000000	0.000000	0.000000				
C0035450	C0034079	0.000000	0.359979	0.000000	0.000000	0.000000	0.000000				
C0409162	C0333286	0.458023	0.227744	0.057531	0.100000	0.029516	0.307692	C2720507		C2720507	C2720507=C0409162->C2315138->C0204861->C1828028->C1285536->C0184661->*C2720507*<-C0333286<-C0019080<-C0037088
C0011849	C0032584	0.578260	0.316638	0.279966	0.166667	0.044276	0.615385	C0012634		C0012634	C0012634=C0011849->C1257958->C0149670->C0025517->*C0012634*<-C0032584
C0020541	C0027962	0.510546	0.279382	0.245679	0.125000	0.037356	0.533333	C0012634		C0012634	C0012634=C0020541->C0585130->C0007222->C1285159->C1290853->*C0012634*<-C0027962<-C1302761
C0018802	C0020541	0.578260	0.373374	0.524138	0.166667	0.057355	0.736842	C0007222		C0007222	C0007222=C0018802->C1562298->C0018799->*C0007222*<-C0020541<-C0585130
C0085649	C0034063	0.673698	0.528393	0.780509	0.250000	0.116328	0.869565	C1290849		C1290849	C1290849=C0085649->*C1290849*<-C0034063<-C0578541
C0022650	C0041956	0.621175	0.478350	0.714242	0.200000	0.092586	0.857143	C1971734|C0042075|C1302710|C1290864		C1971734	C1971734=C0022650->C0022658->*C1971734*<-C0041956<-C0403608|C1290864=C0022650->C0022658->*C1290864*<-C0041956<-C0403608|C1302710=C0022650->C0022658->*C1302710*<-C0041956<-C0403608|C0042075=C0022650->C0451641->*C0042075*<-C0041956<-C0178879
C0004604	C0037944	0.578260	0.413842	0.593611	0.166667	0.068984	0.736842	C0575156		C0575156	C0575156=C0004604->C0575266->*C0575156*<-C0037944<-C0037933<-C0575161
C1956089	C0018862	0.482823	0.320798	0.398096	0.111111	0.045125	0.555556	C0426779		C0426779	C0426779=C1956089->C0015302->C0020492->C0005940->C0427191->*C0426779*<-C0018862<-C0575037<-C0427210
C0003873	C0035450	0.578260	0.380222	0.526623	0.166667	0.059175	0.736842	C1285333		C1285333	C1285333=C0003873->C0003864->C1285339->*C1285333*<-C0035450<-C0406388
C0009871	C1444657	0.541977	0.251056	0.063779	0.142857	0.032828	0.400000	C2720507		C2720507	C2720507=C0009871->C0013227->*C2720507*<-C1444657<-C0565964<-C0565961<-C1285164
C0020971	C0021051	0.482823	0.297143	0.078117	0.111111	0.040509	0.333333	C2720507		C2720507	C2720507=C0020971->C0150270->C1443302->C0184661->*C2720507*<-C0021051<-C1532237<-C0012634<-C0037088
C0026848	C0011633	0.673698	0.560445	0.771559	0.250000	0.134644	0.800000	C0026848		C0026848	C0026848=C0026848*<-C0011633<-C0085655<-C0027121
C0360714	C0020473	0.458023	0.254219	0.064676	0.100000	0.033305	0.307692	C2720507		C2720507	C2720507=C0360714->C0014432->C0013227->*C2720507*<-C0020473<-C0342830<-C0268195<-C0025517<-C0012634<-C0037088
C0004093	C0442874	0.435590	0.311981	0.220394	0.090909	0.043346	0.375000	C0037088		C0037088	C0037088=C0004093->C0015672->C1282984->C0424575->C1287406->*C0037088*<-C0442874<-C0027765<-C1285159<-C1290853<-C0012634
C0013404	C0231835	0.578260	0.522007	0.755283	0.166667	0.112989	0.705882	C0577969		C0577969	C0577969=C0013404->C1287669->*C0577969*<-C0231835<-C0577970<-C1291003
C0034065	C0019079	0.621175	0.400908	0.576420	0.200000	0.065031	0.777778	C0035204		C0035204	C0035204=C0034065->C0178272->*C0035204*<-C0019079<-C0235560
C0029408	C0221434	0.435590	0.243030	0.061557	0.090909	0.031648	0.285714	C2720507		C2720507	C2720507=C0029408->C1285232->C1285162->C0012634->C0037088->*C2720507*<-C0221434<-C1265981<-C0332447<-C1260954<-C1268086
C0231736	C0231749	0.673698	0.485359	0.730443	0.250000	0.095594	0.857143	C0576085		C0576085	C0576085=C0231736->C0576150->*C0576085*<-C0231749
C0332536	C0024796	0.482823	0.257053	0.178883	0.111111	0.033739	0.428571	C0037088		C0037088	C0037088=C0332536->C0332529->C0700329->C2711906->*C0037088*<-C0024796<-C0410787<-C0019247<-C0012634
C0458343	C0016053	0.482823	0.227647	0.057506	0.111111	0.029503	0.333333	C2720507		C2720507	C2720507=C0458343->C0459112->C2711400->C1268086->*C2720507*<-C0016053<-C1300028<-C0012634<-C0037088
C0457086	C0003873	0.541977	0.373436	0.511938	0.142857	0.057372	0.666667	C0427210		C0427210	C0427210=C0457086->C0162298->C0574961->*C0427210*<-C0003873<-C0003864<-C0574941
C0038454	C0018989	0.510546	0.315756	0.341841	0.125000	0.044099	0.631579	C1285159		C1285159	C1285159=C0038454->C0007820->C0042373->C0007222->*C1285159*<-C0018989<-C0007682<-C0027765
C0006121	C1269897	0.510546	0.364853	0.455944	0.125000	0.055169	0.631579	C0229983		C0229983	C0229983=C0006121->C0459385->C0445620->C0504215->*C0229983*<-C1269897<-C1280541<-C1280836
C0011167	C0031133	0.673698	0.457641	0.686164	0.250000	0.084240	0.769231	C0012238		C0012238	C0012238=C0011167->C1268925->*C0012238*<-C0031133
C0011168	C0679317	0.000000	0.370595	0.000000	0.000000	0.000000	0.000000				
C0429103	C0027051	0.415109	0.239011	0.060473	0.083333	0.031073	0.266667	C2720507		C2720507	C2720507=C0429103->C0428732->C1285812->C1285810->C1274016->C1285578->*C2720507*<-C0027051<-C1264235<-C0175677<-C0012634<-C0037088
C1510420	C0041296	0.458023	0.256806	0.065419	0.100000	0.033701	0.307692	C2720507		C2720507	C2720507=C1510420->C0333010->C0332447->C1260954->C1268086->*C2720507*<-C0041296<-C0456953<-C0282354<-C1285164
C0027627	C0205699	0.000000	0.363033	0.000000	0.000000	0.000000	0.000000				
C1956391	C0018681	0.621175	0.345646	0.438180	0.200000	0.050541	0.777778	C1320354		C1320354	C1320354=C1956391->C1285337->C1290856->*C1320354*<-C0018681
C0003243	C0443146	0.396269	0.241217	0.061066	0.076923	0.031387	0.250000	C2720507		C2720507	C2720507=C0003243->C0004358->C1291906->C0003241->C0021054->C2979985->C0439861->*C2720507*<-C0443146<-C0030660<-C1444750<-C0449234<-C0332280
C0034735	C0022116	0.458023	0.286615	0.257837	0.100000	0.038609	0.470588	C1290906|C0037088		C1290906	C0037088=C0034735->C0575816->C0311392->C0424449->C0427350->*C0037088*<-C0022116<-C1276288<-C0425560<-C1290906|C1290906=C0034735->C0575816->C0575800->C0575514->C0579141->C0578533->*C1290906*<-C0022116<-C1276288<-C0425560
C0011644	C0036421	0.000000	0.373576	0.000000	0.000000	0.000000	0.000000				
C0032285	C0332448	0.415109	0.247998	0.062923	0.083333	0.032373	0.266667	C2720507		C2720507	C2720507=C0032285->C1285331->C1285332->C1290884->C0012634->C0037088->*C2720507*<-C0332448<-C0333010<-C0332447<-C1260954<-C1268086
C0020877	C0010346	0.621175	0.489961	0.728022	0.200000	0.097622	0.818182	C1290888		C1290888	C1290888=C0020877->C0014335->*C1290888*<-C0010346<-C0021390
C0030472	C1306459	0.578260	0.355186	0.318682	0.166667	0.052789	0.615385	C0012634		C0012634	C0012634=C0030472->*C0012634*<-C1306459<-C1288351<-C0027651<-C1302761
C0003873	C1396859	0.000000	0.378241	0.000000	0.000000	0.000000	0.000000				
C0027540	C1547030	0.000000	0.417609	0.000000	0.000000	0.000000	0.000000				
C0011991	C0009319	0.510546	0.355562	0.461746	0.125000	0.052879	0.588235	C0426573		C0426573	C0426573=C0011991->C0476288->*C0426573*<-C0009319<-C0578878<-C1290888<-C1298758<-C0012242
C0013395	C0030920	0.541977	0.377038	0.528130	0.142857	0.058322	0.666667	C1261141		C1261141	C1261141=C0013395->C0577113->C0577078->*C1261141*<-C0030920<-C1290613<-C0017178
C0009676	C0011253	0.362586	0.277184	0.193296	0.066667	0.036984	0.300000	C0037088		C0037088	C0037088=C0009676->C0029227->C0004936->C0012634->*C0037088*<-C0011253<-C1314756<-C0233666<-C0233632<-C0423972<-C0564672<-C1272788<-C1291705<-C0574125<-C0427350
