"cg","con","Concept.1","Concept.2","PAGERANK","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"sct-umls","UMNSRS_similarity","C0017601","C0232197",0.159594,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0006949","C0031507",0.055435,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0878544","C0000970",0.029729,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0019340","C0020550",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0036494","C0027497",0.228239,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0009186","C0019655",0.203569,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0002962","C0070166",0.041431,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0061851","C0022046",0.017051,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0036572","C0021641",0.072888,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0036690","C0013404",0.17271,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0028738","C0021167",0.191272,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0036494","C0001962",0.068242,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0013456","C0034880",0.217314,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0032064","C0008402",0.091272,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0001367","C0209227",0.081167,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0027497","C0027498",0.293684,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0162275","C0159075",0.136137,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0009951","C0001962",0.026966,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0242723","C0024530",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0033687","C0011847",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0017160","C0086073",0.041576,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0020639","C0020175",0.279684,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0213771","C0073992",0.0319,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0162275","C0016410",0.017755,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0021641","C0017687",0.069143,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0086543","C0043144",0.11592,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0025605","C0040610",0.035504,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0011847","C0033860",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0948786","C0030232",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0232471","C0016860",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0031763","C0003564",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0032617","C0159075",0.114332,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0033860","C0025287",0.157699,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0042755","C0013132",0.257836,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0009421","C0019158",0.177289,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0917801","C0085631",0.230065,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0442874","C0025598",0.117847,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0033860","C0003864",0.140804,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0041296","C0149651",0.128855,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0028754","C0011847",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0040038","C0019079",0.147147,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0032285","C0007561",0.112752,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0114873","C0076107",0.127974,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0086543","C0025598",0.082388,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C1623038","C0301532",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0036572","C0006949",0.070734,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0086543","C0021641",0.059942,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0002871","C0206160",0.026951,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0009951","C0006949",0.03144,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0029456","C0032950",0.044755,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0036572","C0031507",0.112837,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0885057","C0016157",0.006293,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0242339","C0016157",0.042275,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0232197","C0002962",0.157909,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0007557","C0007561",0.073701,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0011053","C0004134",0.111514,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0220892","C0007546",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0011847","C0021641",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0018995","C0003126",0.190149,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0022116","C0152149",0.205576,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0030232","C0004057",0.04484,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0013456","C0233212",0.27331,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0019340","C0008370",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0242339","C0008402",0.118281,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0034494","C0702166",0.184093,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0032064","C0001416",0,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0159075","C0232955",0.043794,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0001975","C0012772",0.028689,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0009214","C0027358",0.051674,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0043031","C0004057",0.036655,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0042313","C0017642",0.038821,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0009187","C0025289",0.189543,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0030232","C0043031",0.119309,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0002940","C0029456",0.08445,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0022116","C0025859",0.059318,NA,NA,NA,NA
"sct-umls","UMNSRS_similarity","C0016204","C0017687",0.094315,NA,NA,NA,NA
