Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
D051437	D051437	1.000000				
D000028	D000022	0.000001				
D006321	D009206	0.433393				
D020521	D007238	0.004127				
D003702	D012559	0.001284				
D002113	D003251	0.000848				
D009369	D000230	0.019899				
D006333	D011654	0.004454				
D011658	D008175	0.097662				
D003967	D013272	0.001872				
D008946	D001281	0.011736				
D001932	D020300	0.004422				
D000900	D006967	0.000024				
D011655	D009203	0.005172				
D002349	D010003	0.000787				
D001172	D008180	0.051304				
D000152	D013594	0.000018				
D003920	D006973	0.008377				
D003348	D019645	0.000001				
D018281	D003113	0.000000				
D019310	D007822	0.007435				
D001064	D010024	0.001437				
D003866	D002481	0.000731				
D006949	D009369	0.001103				
D009103	D011618	0.002015				
D010437	D009216	0.060695				
D003111	D001011	0.000404				
D014648	D007717	0.001430				
D014987	D008104	0.000818				
