Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.000000				
C0035450	C0034079	0.000000				
C0409162	C0333286	0.000000				
C0011849	C0032584	0.072615				
C0020541	C0027962	0.077392				
C0018802	C0020541	0.049665				
C0085649	C0034063	0.000000				
C0022650	C0041956	0.091493				
C0004604	C0037944	0.081114				
C1956089	C0018862	0.000000				
C0003873	C0035450	0.115281				
C0009871	C1444657	0.000000				
C0020971	C0021051	0.035947				
C0026848	C0011633	0.064556				
C0360714	C0020473	0.039777				
C0004093	C0442874	0.000000				
C0013404	C0231835	0.119105				
C0034065	C0019079	0.102976				
C0029408	C0221434	0.000000				
C0231736	C0231749	0.000000				
C0332536	C0024796	0.000000				
C0458343	C0016053	0.060934				
C0457086	C0003873	0.000000				
C0038454	C0018989	0.050372				
C0006121	C1269897	0.000000				
C0011167	C0031133	0.136410				
C0011168	C0679317	0.000000				
C0429103	C0027051	0.000000				
C1510420	C0041296	0.000000				
C0027627	C0205699	0.046156				
C1956391	C0018681	0.045095				
C0003243	C0443146	0.000000				
C0034735	C0022116	0.049520				
C0011644	C0036421	0.073767				
C0032285	C0332448	0.000000				
C0020877	C0010346	0.086098				
C0030472	C1306459	0.000000				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.000000				
C0011991	C0009319	0.078293				
C0013395	C0030920	0.079737				
C0009676	C0011253	0.078032				
C0018524	C0033975	0.055218				
C0038362	C0149745	0.117313				
C0034065	C0032285	0.105125				
C0003873	C0003904	0.043659				
C1533685	C1253936	0.042224				
C0042164	C0019740	0.038926				
C0042384	C0040053	0.079943				
C0243026	C0020649	0.072187				
C0042109	C0277942	0.000000				
C0017196	C0162429	0.049791				
C0013604	C0017654	0.048577				
C0009378	C0032584	0.049597				
C0010137	C1563292	0.000000				
C0003507	C0006660	0.045477				
C0024530	C0002438	0.113930				
C0442874	C0522224	0.000000				
C0036572	C0018681	0.051874				
C0333997	C0043352	0.000000				
C0036202	C0042866	0.034920				
C0023223	C0042345	0.082337				
C0080331	C0432601	0.000000				
C0030326	C0023798	0.070335				
C0003811	C0026264	0.059706				
C0019054	C1561562	0.000000				
C0013378	C0011167	0.049869				
C0013394	C0029965	0.000000				
C0030842	C0020517	0.023141				
C0023418	C0038250	0.055872				
C0376358	C0001109	0.022760				
C0224498	C0029408	0.000000				
C0037473	C0024485	0.033932				
C0033706	C0039142	0.024053				
C0026764	C0011581	0.075103				
C0011849	C0035450	0.081013				
C0220982	C0409974	0.000000				
C0040583	C0007102	0.056625				
C0037199	C0442041	0.000000				
C0267809	C0376180	0.000000				
C0018801	C0033975	0.073747				
C0034887	C0023055	0.000000				
C0162595	C0702166	0.000000				
C0233651	C1527356	0.000000				
C0005587	C0232208	0.000000				
C0026269	C0030920	0.082685				
C0035222	C0007642	0.074149				
C0037926	C0886052	0.000000				
C0158280	C0023891	0.000000				
C0241910	C0022876	0.082138				
C0917996	C0034065	0.047522				
C0149925	C0011860	0.085357				
C0018926	C0043352	0.090138				
C0010043	C0011127	0.091104				
C0013404	C0231528	0.000000				
C0024117	C0018520	0.086490				
C0029408	C0392525	0.078703				
C0262538	C0040479	0.000000				
C0034069	C0003615	0.078189				
C0007286	C0549493	0.000000				
C0041834	C0029456	0.067751				
