Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.752052	0.607019	0.853584	0.333333	0.162376	0.909091	C0575081		C0575081	C0575081=C0311394->*C0575081*<-C0231685
C0035450	C0034079	0.000000	0.355162	0.000000	0.000000	0.000000	0.000000				
C0409162	C0333286	0.480325	0.224137	0.054280	0.100000	0.027627	0.307692	C2720507		C2720507	C2720507=C0409162->C1292887->C1292883->C1293051->C1285152->C0184661->*C2720507*<-C0333286<-C0019080<-C0037088
C0011849	C0032584	0.636763	0.352728	0.421795	0.200000	0.050080	0.777778	C0012634		C0012634	C0012634=C0011849->C1257958->C0025517->*C0012634*<-C0032584
C0020541	C0027962	0.560824	0.314003	0.376799	0.142857	0.041866	0.700000	C0012634|C0000000|C0012674		C0012634	C0012674=C0020541->C0585130->C0007222->*C0012674*<-C0027962<-C0086692<-C0027651|C0012634=C0020541->C0023895->C1302710->C1290853->*C0012634*<-C0027962<-C1302761|C0000000=C0020541->C0023895->C0266806->*C0000000*<-C0027962<-C0281981<-C0159037
C0018802	C0020541	0.595614	0.402535	0.596538	0.166667	0.063055	0.827586	C0007222		C0007222	C0007222=C0018802->C1562298->C0018799->*C0007222*<-C0020541<-C0585130
C0085649	C0034063	0.687124	0.554149	0.815095	0.250000	0.127147	0.869565	C0013604|C1290849		C1290849	C1290849=C0085649->*C1290849*<-C0034063<-C0578541|C0013604=C0085649->*C0013604*<-C0034063<-C0578541
C0022650	C0041956	0.636763	0.510524	0.766925	0.200000	0.103912	0.875000	C1971734|C0042075|C1302710|C1290864		C1971734	C1290864=C0022650->C0022658->*C1290864*<-C0041956<-C0403608|C1971734=C0022650->C0022658->*C1971734*<-C0041956<-C0403608|C0042075=C0022650->C0022658->*C0042075*<-C0041956<-C0403608|C1302710=C0022650->C0022658->*C1302710*<-C0041956<-C0403608
C0004604	C0037944	0.595614	0.406816	0.602009	0.166667	0.064317	0.782609	C0575156		C0575156	C0575156=C0004604->C0575266->*C0575156*<-C0037944<-C0037933<-C1444784
C1956089	C0018862	0.560824	0.361730	0.516255	0.142857	0.052209	0.800000	C0026857|C0159135|C0426779		C0026857	C0159135=C1956089->C1442903->C1285159->*C0159135*<-C0018862<-C0575037<-C0311392|C0426779=C1956089->C0035435->C0026857->*C0426779*<-C0018862<-C0575037<-C0427210|C0026857=C1956089->C0035435->*C0026857*<-C0018862<-C0575829<-C0158234<-C0022408
C0003873	C0035450	0.843562	0.749790	0.938208	0.500000	0.314297	0.967742	C0003873		C0003873	C0003873=C0003873*<-C0035450
C0009871	C1444657	0.560824	0.257818	0.063140	0.142857	0.032284	0.400000	C2720507		C2720507	C2720507=C0009871->C0013227->*C2720507*<-C1444657<-C0565964<-C0565961<-C1285164
C0020971	C0021051	0.530687	0.267052	0.071219	0.125000	0.033693	0.363636	C1256741		C1256741	C1256741=C0020971->C0021060->C0026214->C0002784->*C1256741*<-C0021051<-C0021053<-C0012674
C0026848	C0011633	0.752052	0.632457	0.863740	0.333333	0.182652	0.941176	C0026848		C0026848	C0026848=C0026848*<-C0011633<-C0027121
C0360714	C0020473	0.480325	0.247868	0.060386	0.100000	0.030832	0.307692	C2720507		C2720507	C2720507=C0360714->C0014432->C0013227->*C2720507*<-C0020473<-C0242339<-C0154251<-C0025517<-C0012634<-C0037088
C0004093	C0442874	0.595614	0.323326	0.272882	0.166667	0.043712	0.545455	C0012674		C0012674	C0012674=C0004093->C0037088->C0039058->*C0012674*<-C0442874<-C0027765
C0013404	C0231835	0.752052	0.526623	0.779502	0.333333	0.111946	0.923077	C0037090|C0035204		C0037090	C0035204=C0013404->*C0035204*<-C0231835|C0037090=C0013404->*C0037090*<-C0231835
C0034065	C0019079	0.752052	0.506837	0.759684	0.333333	0.102155	0.933333	C0024115		C0024115	C0024115=C0034065->*C0024115*<-C0019079
C0029408	C0221434	0.458814	0.234566	0.056886	0.090909	0.028992	0.285714	C2720507		C2720507	C2720507=C0029408->C1285232->C1285162->C0012634->C0037088->*C2720507*<-C0221434<-C1265981<-C0332447<-C1260954<-C1268086
C0231736	C0231749	0.687124	0.604905	0.860938	0.250000	0.160795	0.930233	C0576085		C0576085	C0576085=C0231736->C0576150->*C0576085*<-C0231749
C0332536	C0024796	0.530687	0.212426	0.000000	0.125000	0.000000	0.222222	C0000000		C0000000	C0000000=C0332536->C0332529->C0577312->C0449576->*C0000000*<-C0024796<-C0410787<-C0041785
C0458343	C0016053	0.530687	0.223951	0.058758	0.125000	0.027603	0.363636	C1256741		C1256741	C1256741=C0458343->C0005898->C0002807->*C1256741*<-C0016053<-C1533847<-C0026857<-C0012674
