Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
42399005	42399005	1.000000				
70317007	17369002	0.296745				
80891009	74281007	0.018121				
230690007	55641003	0.000000				
48500005	58214004	0.084876				
125369001	415582006	0.003994				
128462008	443961001	0.033710				
42343007	19242006	0.000431				
51615001	126713003	0.010418				
373421000	51197009	0.000049				
79619009	49436004	0.001272				
254935002	1386000	0.021282				
255631004	106190000	0.000000				
59282003	22298006	0.001868				
57406009	396275006	0.001588				
69896004	200936003	0.000805				
11381005	61968008	0.000000				
73211009	38341003	0.001180				
32498003	179344006	0.000000				
70179006	73761001	0.000000				
128863005	126692004	0.000541				
74400008	64859006	0.000159				
35489007	128045006	0.001146				
55822004	128462008	0.000028				
24700007	69322001	0.000478				
13200003	57190000	0.000123				
39772007	15825003	0.000000				
12856003	244568009	0.000000				
87715008	420054005	0.004980				
