Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.154653				
C0018787	C0027061	0.092031				
C0038454	C0021308	0.143678				
C0011253	C0036341	0.189389				
C1265880	C0009814	0.146230				
C0006826	C0001418	0.115929				
C0018802	C0034063	0.176451				
C0034069	C0242379	0.114908				
C0011991	C0344375	0.186304				
C0026269	C0004238	0.170409				
C0006118	C0151699	0.117456				
C0003232	C0020517	0.016325				
C0034065	C0027051	0.107961				
C0007286	C0029408	0.104952				
C0003873	C0409974	0.158804				
C0702166	C0039142	0.019600				
C0011849	C0020538	0.144611				
C0010137	C0086511	0.046197				
C0206698	C0009378	0.028943				
C0333997	C0007107	0.095094				
C0003615	C0029456	0.175969				
C0011581	C0007642	0.172480				
C0020473	C2939419	0.104253				
C0026769	C0033975	0.209686				
C0030920	C0027092	0.157438				
C0034887	C0003483	0.068012				
C0042345	C0224701	0.041656				
C0043352	C0023891	0.223072				
