Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
C0156543	C0000786	0.836849	0.801139	0.946291	0.500000	0.403674	0.941176	C0156543		C0156543	C0156543=C0156543*<-C0000786
C0018787	C0027061	0.673698	0.758977	0.934737	0.250000	0.333045	0.909091	C0018787		C0018787	C0018787=C0018787*<-C0027061<-C0446987<-C1268110
C0038454	C0021308	0.378825	0.252360	0.064147	0.071429	0.033024	0.235294	C2720507		C2720507	C2720507=C0038454->C0007820->C0042373->C0263978->C1290853->C0012634->C0037088->*C2720507*<-C0021308<-C0027540<-C0010957<-C0332447<-C1260954<-C1268086
C0011253	C0036341	0.362586	0.285482	0.199504	0.066667	0.038410	0.300000	C0037088		C0037088	C0037088=C0011253->C1314756->C0233666->C0233632->C0423972->C0564672->C1272788->C1291705->C0574125->C0427350->*C0037088*<-C0036341<-C0033975<-C0004936<-C0012634
C1265880	C0009814	0.578260	0.303824	0.331981	0.166667	0.041762	0.666667	C0332447		C0332447	C0332447=C1265880->C0006663->C0008519->*C0332447*<-C0009814<-C0332463
C0006826	C0001418	0.836849	0.593280	0.790424	0.500000	0.156399	0.956522	C0006826		C0006826	C0006826=C0006826*<-C0001418
C0018802	C0034063	0.541977	0.384764	0.542365	0.142857	0.060414	0.727273	C0039978|C1302710		C0039978	C0039978=C0018802->C1562298->C0018799->C0025061->*C0039978*<-C0034063<-C0024115|C1302710=C0018802->C1562298->C0018799->C0025061->*C1302710*<-C0034063<-C0024115
C0034069	C0242379	0.673698	0.528182	0.768800	0.250000	0.116216	0.857143	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
C0011991	C0344375	0.541977	0.275473	0.247860	0.142857	0.036696	0.571429	C1290906		C1290906	C1290906=C0011991->C0476288->C0426573->*C1290906*<-C0344375<-C0026821<-C0426779
C0026269	C0004238	0.541977	0.445018	0.664415	0.142857	0.079526	0.769231	C0018799		C0018799	C0018799=C0026269->C0264878->C1290384->*C0018799*<-C0004238<-C0232197<-C0264886
C0006118	C0151699	0.673698	0.446871	0.627828	0.250000	0.080201	0.842105	C0007682|C1302710|C1290856		C0007682	C0007682=C0006118->C0006111->*C0007682*<-C0151699|C1302710=C0006118->C1527390->*C1302710*<-C0151699|C1290856=C0006118->C0006111->*C1290856*<-C0151699
C0003232	C0020517	0.541977	0.310351	0.214095	0.142857	0.043025	0.500000	C1285164		C1285164	C1285164=C0003232->C0457591->C0332307->C1264636->*C1285164*<-C0020517<-C0441712
C0034065	C0027051	0.578260	0.312343	0.323559	0.166667	0.043417	0.666667	C1290853		C1290853	C1290853=C0034065->C0729946->C1290837->*C1290853*<-C0027051<-C1264235
C0007286	C0029408	0.510546	0.320524	0.346981	0.125000	0.045068	0.631579	C0012634|C1290853|C1285159		C1285159	C0012634=C0007286->C0410013->C0263978->C1290853->*C0012634*<-C0029408<-C1285232<-C1285162|C1285159=C0007286->C0700251->C0031117->C0027765->*C1285159*<-C0029408<-C1285232<-C0026857|C1290853=C0007286->C0410013->C0263978->*C1290853*<-C0029408<-C1285232<-C0026857<-C1285159
C0003873	C0409974	0.541977	0.319246	0.330810	0.142857	0.044806	0.625000	C1290853		C1290853	C1290853=C0003873->C0003864->C1285331->C1285332->*C1290853*<-C0409974<-C0009782
C0702166	C0039142	0.396269	0.254064	0.064632	0.076923	0.033282	0.250000	C2720507		C2720507	C2720507=C0702166->C0036502->C0037272->C1290011->C1291044->C1290906->C0037088->*C2720507*<-C0039142<-C0025080<-C0441065<-C0699733<-C0347997
C0011849	C0020538	0.510546	0.340067	0.368473	0.125000	0.049271	0.631579	C1285159		C1285159	C1285159=C0011849->C0271633->C0014130->*C1285159*<-C0020538<-C0852949<-C0042373<-C0007222
C0010137	C0086511	0.435590	0.234092	0.059171	0.090909	0.030384	0.285714	C2720507		C2720507	C2720507=C0010137->C0017710->C0001617->C0360511->C0013227->*C2720507*<-C0086511<-C0188002<-C1285451<-C1285152<-C0184661
C0206698	C0009378	0.362586	0.228632	0.057757	0.066667	0.029636	0.222222	C2720507		C2720507	C2720507=C0206698->C1306459->C1288351->C0027651->C1302761->C0012634->C0037088->*C2720507*<-C0009378<-C0192890<-C0192653<-C0031150<-C0014245<-C1285536<-C0184661
C0333997	C0007107	0.510546	0.318701	0.345012	0.125000	0.044695	0.631579	C1290853|C1285159		C1285159	C1285159=C0333997->C0024228->*C1285159*<-C0007107<-C0153506<-C3164456<-C3164513<-C0035204|C1290853=C0333997->C0024228->C1285159->*C1290853*<-C0007107<-C0746787<-C0027533<-C0558385
C0003615	C0029456	0.482823	0.307910	0.318951	0.111111	0.042548	0.555556	C1290853		C1290853	C1290853=C0003615->C0578878->C1285331->C1285332->*C1290853*<-C0029456<-C0005940<-C0263660<-C0009782
C0011581	C0007642	0.578260	0.326637	0.289698	0.166667	0.046343	0.615385	C0012634		C0012634	C0012634=C0011581->C0525045->C0004936->*C0012634*<-C0007642<-C1290884
C0020473	C2939419	0.482823	0.333743	0.296748	0.111111	0.047869	0.500000	C0012634		C0012634	C0012634=C0020473->C0342830->C0268195->C0025517->*C0012634*<-C2939419<-C1288351<-C0027651<-C1302761
C0026769	C0033975	0.578260	0.311968	0.275498	0.166667	0.043343	0.615385	C0012634		C0012634	C0012634=C0026769->C0011302->C1285162->*C0012634*<-C0033975<-C0004936
C0030920	C0027092	0.458023	0.306927	0.332435	0.100000	0.042358	0.571429	C0012634|C1285159		C1285159	C0012634=C0030920->C0237938->C0041582->*C0012634*<-C0027092<-C0034951<-C0339670<-C0042790<-C1285159<-C1290853|C1285159=C0030920->C1290613->C0017178->C2700612->C0012242->*C1285159*<-C0027092<-C0034951<-C0339670<-C0042790
C0034887	C0003483	0.396269	0.231780	0.058568	0.076923	0.030065	0.250000	C2720507		C2720507	C2720507=C0034887->C0949059->C0021846->C0032584->C0012634->C0037088->*C2720507*<-C0003483<-C1282389<-C0442005<-C0441986<-C0587374<-C1285164
