Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0006949	C0031507	0.673698	0.511000	0.755027	0.250000	0.107456	0.857143	C0003286		C0003286	C0003286=C0006949->*C0003286*<-C0031507<-C0020208
C0878544	C0000970	0.435590	0.269410	0.069156	0.090909	0.035695	0.285714	C2720507		C2720507	C2720507=C0878544->C0018799->C0577785->C1320355->C1290906->C0037088->*C2720507*<-C0000970<-C0280004<-C0003419<-C0013227
C0009186	C0019655	0.621175	0.507654	0.735758	0.200000	0.105828	0.750000	C0026946		C0026946	C0026946=C0009186->C0276697->*C0026946*<-C0019655<-C0276698
C0023413	C0025677	0.621175	0.611258	0.857874	0.200000	0.169767	0.800000	C0033991		C0033991	C0033991=C0023413->C0033992->*C0033991*<-C0025677<-C1320163
C0002962	C0070166	0.482823	0.232101	0.058652	0.111111	0.030109	0.333333	C2720507		C2720507	C2720507=C0002962->C1300028->C0012634->C0037088->*C2720507*<-C0070166<-C0085826<-C0018938<-C0013227
C0242339	C0004153	0.541977	0.270858	0.238276	0.142857	0.035932	0.571429	C0012634		C0012634	C0012634=C0242339->C0268195->C0025517->*C0012634*<-C0004153<-C0003850<-C1285162
C0035435	C0920289	0.000000	0.377940	0.000000	0.000000	0.000000	0.000000				
C0061851	C0022046	0.673698	0.336374	0.422984	0.250000	0.048447	0.823529	C1320237		C1320237	C1320237=C0061851->C0360055->*C1320237*<-C0022046
C0028738	C0021167	0.458023	0.293529	0.205675	0.100000	0.039846	0.400000	C0037088		C0037088	C0037088=C0028738->C0028850->C0042790->C0456753->C1290906->*C0037088*<-C0021167<-C0231360<-C0424449<-C0427350
C0013911	C0079083	0.435590	0.225937	0.057072	0.090909	0.029274	0.285714	C2720507		C2720507	C2720507=C0013911->C1287884->C0577601->C0574124->C0427350->C0037088->*C2720507*<-C0079083<-C1443631<-C0003392<-C0013227
C0001367	C0209227	0.741411	0.786883	0.952428	0.333333	0.378257	0.916667	C1319305|C0003451		C1319305	C1319305=C0001367->*C1319305*<-C0209227|C0003451=C0001367->*C0003451*<-C0209227
C0021641	C0289313	0.673698	0.555748	0.801220	0.250000	0.131789	0.842105	C0935929		C0935929	C0935929=C0021641->*C0935929*<-C0289313<-C1257987
C0009090	C0233576	0.458023	0.254518	0.177133	0.100000	0.033351	0.400000	C0037088		C0037088	C0037088=C0009090->C1291741->C1291740->C0422837->*C0037088*<-C0233576<-C0474393<-C0004927<-C0574125<-C0427350
C0027497	C0027498	0.836849	0.849364	0.970356	0.500000	0.503003	0.933333	C0027497		C0027497	C0027497=C0027497*<-C0027498
C0162275	C0159075	0.673698	0.452404	0.683228	0.250000	0.082251	0.769231	C0426391		C0426391	C0426391=C0162275->*C0426391*<-C0159075<-C0235639
C0009951	C0001962	0.000000	0.381694	0.000000	0.000000	0.000000	0.000000				
C0242723	C0024530	0.000000	0.370556	0.000000	0.000000	0.000000	0.000000				
C0033687	C0011847	0.000000	0.388654	0.000000	0.000000	0.000000	0.000000				
C0017160	C0086073	0.415109	0.239047	0.060482	0.083333	0.031078	0.266667	C2720507		C2720507	C2720507=C0017160->C0017152->C1285331->C1285332->C1290884->C0012634->C0037088->*C2720507*<-C0086073<-C0360195<-C0282555<-C0013227
C0020639	C0020175	0.482823	0.258534	0.179913	0.111111	0.033967	0.428571	C0037088		C0037088	C0037088=C0020639->C0025517->C0012634->*C0037088*<-C0020175<-C0566580<-C0559899<-C0574125<-C0427350
C0021641	C0017687	0.741411	0.726926	0.926481	0.333333	0.287744	0.923077	C0030292		C0030292	C0030292=C0021641->*C0030292*<-C0017687
C2004489	C0081876	0.458023	0.233700	0.059068	0.100000	0.030329	0.307692	C2720507		C2720507	C2720507=C2004489->C0426573->C1290906->C0037088->*C2720507*<-C0081876<-C0358591<-C0353838<-C0017173<-C0013227
C0086543	C0014544	0.541977	0.400496	0.530543	0.142857	0.064909	0.727273	C1320354|C1290856		C1290856	C1320354=C0086543->C0154777->C0015397->C0423216->*C1320354*<-C0014544<-C0576471|C1290856=C0086543->C0154777->C0015397->C1269791->*C1290856*<-C0014544<-C0006111
C0086543	C0043144	0.458023	0.269746	0.187864	0.100000	0.035750	0.400000	C0037088		C0037088	C0037088=C0086543->C0154777->C1285162->C0012634->*C0037088*<-C0043144<-C1287665<-C0577960<-C1290911<-C1290907
C0025605	C0040610	0.578260	0.446168	0.654615	0.166667	0.079944	0.761905	C0002771|C0013227		C0002771	C0002771=C0025605->C0360472->C0242402->*C0002771*<-C0040610<-C0242937|C0013227=C0025605->C1629845->*C0013227*<-C0040610<-C0242937<-C0002771
C0011847	C0033860	0.000000	0.385430	0.000000	0.000000	0.000000	0.000000				
C0948786	C0030232	0.000000	0.359058	0.000000	0.000000	0.000000	0.000000				
C0232471	C0016860	0.000000	0.365731	0.000000	0.000000	0.000000	0.000000				
C0031763	C0003564	0.000000	0.366697	0.000000	0.000000	0.000000	0.000000				
C0032617	C0159075	0.621175	0.453564	0.684474	0.200000	0.082687	0.714286	C0426391		C0426391	C0426391=C0032617->C0577197->*C0426391*<-C0159075<-C0235639
C0033860	C0025287	0.458023	0.291269	0.262087	0.100000	0.039438	0.470588	C1290906|C0037088		C1290906	C0037088=C0033860->C1960691->C1960690->C1719883->C0012634->*C0037088*<-C0025287<-C0576482<-C0422878<-C1290906|C1290906=C0033860->C1302732->C0475811->C0037274->C0455205->C1291044->*C1290906*<-C0025287<-C0576482<-C0422878
C0042755	C0013132	0.435590	0.262764	0.182880	0.090909	0.034629	0.375000	C0037088		C0037088	C0037088=C0042755->C1626920->C0427350->*C0037088*<-C0013132<-C0576989<-C0426533<-C1827135<-C0426480<-C0426573<-C1290906
C0033860	C0003864	0.482823	0.331788	0.294798	0.111111	0.047445	0.500000	C0012634		C0012634	C0012634=C0033860->C1960691->C1960690->C1719883->*C0012634*<-C0003864<-C1285331<-C1285332<-C1290884
C0041296	C0149651	0.458023	0.248830	0.063155	0.100000	0.032496	0.307692	C2720507		C2720507	C2720507=C0041296->C0456953->C0282354->C1285164->*C2720507*<-C0149651<-C1265981<-C0332447<-C1260954<-C1268086
C0030305	C0011847	0.000000	0.375015	0.000000	0.000000	0.000000	0.000000				
C0043031	C0042878	0.621175	0.332737	0.418737	0.200000	0.047650	0.777778	C1320237		C1320237	C1320237=C0043031->C0010206->*C1320237*<-C0042878<-C0027388
C0497327	C0033860	0.510546	0.302928	0.266986	0.125000	0.041592	0.533333	C0012634		C0012634	C0012634=C0497327->C0029227->C0004936->*C0012634*<-C0033860<-C1960691<-C1960690<-C1719883
C0031154	C0239779	0.510546	0.304192	0.315116	0.125000	0.041833	0.588235	C1290853		C1290853	C1290853=C0031154->C0009782->*C1290853*<-C0239779<-C0026650<-C0549469<-C0027765<-C1285159
C0002871	C0060277	0.415109	0.265714	0.068039	0.083333	0.035098	0.266667	C2720507		C2720507	C2720507=C0002871->C0221016->C1533163->C0012634->C0037088->*C2720507*<-C0060277<-C1298637<-C0302583<-C0018928<-C0018938<-C0013227
C0014038	C0025287	0.621175	0.418445	0.594522	0.200000	0.070447	0.800000	C0007682		C0007682	C0007682=C0014038->C0178264->*C0007682*<-C0025287<-C0154728
C0015300	C0020550	0.510546	0.318914	0.345242	0.125000	0.044739	0.631579	C1290853|C1285159		C1285159	C1285159=C0015300->C1299547->C1269791->C0042790->*C1285159*<-C0020550<-C0040128<-C0014130|C1290853=C0015300->C1299547->C1269791->C1290856->*C1290853*<-C0020550<-C0040128<-C0558385
C0028754	C0011847	0.000000	0.382893	0.000000	0.000000	0.000000	0.000000				
C0040038	C0019079	0.578260	0.335518	0.422426	0.166667	0.048259	0.705882	C0333010		C0333010	C0333010=C0040038->C1704212->*C0333010*<-C0019079<-C0235560<-C0019080
C0032285	C0007561	0.378825	0.249764	0.063416	0.071429	0.032635	0.235294	C2720507		C2720507	C2720507=C0032285->C1285331->C1285332->C1290884->C0012634->C0037088->*C2720507*<-C0007561<-C0304320<-C2266959<-C0026458<-C0279516<-C0003204<-C0013227
C0114873	C0076107	0.741411	0.674699	0.900559	0.333333	0.226745	0.923077	C0304512		C0304512	C0304512=C0114873->*C0304512*<-C0076107
C0086543	C0025598	0.415109	0.243443	0.061670	0.083333	0.031708	0.266667	C2720507		C2720507	C2720507=C0086543->C0154777->C1285162->C0012634->C0037088->*C2720507*<-C0025598<-C1627747<-C0359086<-C0020616<-C0935929<-C0013227
C0036572	C0006949	0.482823	0.263234	0.067299	0.111111	0.034703	0.333333	C2720507		C2720507	C2720507=C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0006949<-C0003286<-C0007680<-C0013227
C0858529	C0017887	0.000000	0.371795	0.000000	0.000000	0.000000	0.000000				
C0086543	C0021641	0.482823	0.245106	0.062124	0.111111	0.031949	0.333333	C2720507		C2720507	C2720507=C0086543->C0154777->C1285162->C0012634->C0037088->*C2720507*<-C0021641<-C0935929<-C0013227
C0002871	C0206160	0.482823	0.299664	0.210480	0.111111	0.040977	0.428571	C0037088		C0037088	C0037088=C0002871->C0221016->C1533163->C0012634->*C0037088*<-C0206160<-C0580380<-C1292123<-C2711906
C0009951	C0006949	0.000000	0.367467	0.000000	0.000000	0.000000	0.000000				
C0885057	C0016157	0.482823	0.311885	0.369688	0.111111	0.043327	0.636364	C0013227		C0013227	C0013227=C0885057->C1445146->C1445102->C0440016->*C0013227*<-C0016157<-C0354657<-C0003367<-C0007220
C0242339	C0016157	0.435590	0.226812	0.057294	0.090909	0.029391	0.285714	C2720507		C2720507	C2720507=C0242339->C0268195->C0025517->C0012634->C0037088->*C2720507*<-C0016157<-C0354657<-C0003367<-C0007220<-C0013227
C0684275	C0019079	0.510546	0.271781	0.189338	0.125000	0.036083	0.461538	C0037088		C0037088	C0037088=C0684275->C0272315->C0005779->C0012634->*C0037088*<-C0019079<-C0235560<-C0019080
C0017887	C0026549	0.673698	0.355834	0.445956	0.250000	0.052945	0.823529	C1320237		C1320237	C1320237=C0017887->C0360716->*C1320237*<-C0026549
C0232197	C0002962	0.621175	0.457137	0.677703	0.200000	0.084046	0.833333	C0018799		C0018799	C0018799=C0232197->C0264886->*C0018799*<-C0002962<-C0151744
C0007557	C0007561	0.621175	0.609087	0.857489	0.200000	0.168093	0.857143	C2266959		C2266959	C2266959=C0007557->C0304319->*C2266959*<-C0007561<-C0304320
C0011847	C0021641	0.000000	0.375503	0.000000	0.000000	0.000000	0.000000				
C0030232	C0004057	0.435590	0.236773	0.059877	0.090909	0.030757	0.285714	C2720507		C2720507	C2720507=C0030232->C0678215->C1287497->C0424449->C0427350->C0037088->*C2720507*<-C0004057<-C0085826<-C0018938<-C0013227
C0013456	C0233212	0.435590	0.256645	0.178601	0.090909	0.033676	0.375000	C0037088		C0037088	C0037088=C0013456->C0578044->C0423477->C0455931->C1290906->*C0037088*<-C0233212<-C0233179<-C0559565<-C0425961<-C0427350
C0019340	C0008370	0.000000	0.369607	0.000000	0.000000	0.000000	0.000000				
C0878544	C0026196	0.458023	0.253417	0.064448	0.100000	0.033184	0.307692	C2720507		C2720507	C2720507=C0878544->C0018799->C0577785->C1320355->C1290906->C0037088->*C2720507*<-C0026196<-C1443798<-C0013227
C0004093	C1883552	0.435590	0.228068	0.057613	0.090909	0.029560	0.285714	C2720507		C2720507	C2720507=C0004093->C0015672->C1282984->C0424575->C1287406->C0037088->*C2720507*<-C1883552<-C0442795<-C0442719<-C1285164
C0002600	C0016365	0.673698	0.337728	0.424570	0.250000	0.048748	0.823529	C1320237		C1320237	C1320237=C0002600->C0003290->*C1320237*<-C0016365
C0242339	C0008402	0.435590	0.226236	0.057148	0.090909	0.029314	0.285714	C2720507		C2720507	C2720507=C0242339->C0268195->C0025517->C0012634->C0037088->*C2720507*<-C0008402<-C0032604<-C1689977<-C0520510<-C0439861
C0034494	C0702166	0.458023	0.321845	0.348413	0.100000	0.045341	0.571429	C1290853|C1285159		C1285159	C1285159=C0034494->C0348165->C0007684->C0007682->C0027765->*C1285159*<-C0702166<-C0036502<-C0037272<-C1290011|C1290853=C0034494->C0348165->C0729529->C0578491->*C1290853*<-C0702166<-C0036502<-C0037272<-C1290011<-C1285159
C0032064	C0001416	0.000000	0.366058	0.000000	0.000000	0.000000	0.000000				
C0159075	C0232955	0.458023	0.254518	0.177133	0.100000	0.033351	0.400000	C0037088		C0037088	C0037088=C0159075->C0235639->C0426391->C2711906->*C0037088*<-C0232955<-C0232950<-C0025345<-C1263764<-C0012634
C0001975	C0012772	0.578260	0.386649	0.483011	0.166667	0.060936	0.736842	C1320237		C1320237	C1320237=C0001975->*C1320237*<-C0012772<-C1627760<-C0038776<-C0300973
C0009214	C0027358	0.541977	0.329150	0.389104	0.142857	0.046877	0.700000	C0013227		C0013227	C0013227=C0009214->C0031368->C0376196->C0007680->*C0013227*<-C0027358<-C1629845
C0858529	C0023870	0.000000	0.366058	0.000000	0.000000	0.000000	0.000000				
C0043031	C0004057	0.621175	0.346632	0.435046	0.200000	0.050769	0.777778	C1320237		C1320237	C1320237=C0043031->C0010206->*C1320237*<-C0004057<-C0036075
C0042313	C0017642	0.541977	0.434617	0.647113	0.142857	0.075841	0.769231	C0279516		C0279516	C0279516=C0042313->C0162724->*C0279516*<-C0017642<-C0038766<-C0038761<-C0360390
C0854467	C0008168	0.482823	0.230738	0.058299	0.111111	0.029922	0.333333	C2720507		C2720507	C2720507=C0854467->C0427694->C1290906->C0037088->*C2720507*<-C0008168<-C0279516<-C0003204<-C0013227
C1623038	C0019270	0.000000	0.372256	0.000000	0.000000	0.000000	0.000000				
C0001824	C0023530	0.836849	0.931111	0.989288	0.500000	0.730335	0.947368	C0023530		C0023530	C0023530=C0001824->*C0023530
C0016293	C0012010	0.482823	0.317395	0.375835	0.111111	0.044430	0.636364	C0013227		C0013227	C0013227=C0016293->C0360298->C0003295->C0360293->*C0013227*<-C0012010<-C0053218<-C0003286<-C0007680
C0020517	C0019134	0.482823	0.288102	0.075079	0.111111	0.038872	0.333333	C2720507		C2720507	C2720507=C0020517->C0441712->C1285164->*C2720507*<-C0019134<-C0360593<-C0003280<-C0018938<-C0013227
C0009187	C0025289	0.482823	0.318833	0.282084	0.111111	0.044722	0.500000	C0012634		C0012634	C0012634=C0009187->C0033740->C0030499->C0009450->*C0012634*<-C0025289<-C1285331<-C1285332<-C1290884
C0002940	C0029456	0.541977	0.344340	0.373259	0.142857	0.050240	0.666667	C1285159		C1285159	C1285159=C0002940->C0007222->*C1285159*<-C0029456<-C0005940<-C0263661<-C0026857
C0029456	C0087086	0.396269	0.256460	0.065319	0.076923	0.033647	0.250000	C2720507		C2720507	C2720507=C0029456->C0005940->C0427191->C0426779->C1290906->C0037088->*C2720507*<-C0087086<-C0302148<-C0333010<-C0332447<-C1260954<-C1268086
C0036396	C0246719	0.435590	0.228555	0.057738	0.090909	0.029626	0.285714	C2720507		C2720507	C2720507=C0036396->C0031121->C0027796->C1300028->C0012634->C0037088->*C2720507*<-C0246719<-C0012544<-C0521941<-C0013227
C0004153	C0022116	0.578260	0.417119	0.608668	0.166667	0.070022	0.761905	C0042373		C0042373	C0042373=C0004153->C0003850->C0852949->*C0042373*<-C0022116<-C0232352
C0232197	C0087086	0.378825	0.249982	0.063478	0.071429	0.032668	0.235294	C2720507		C2720507	C2720507=C0232197->C0264886->C0018799->C0577785->C1320355->C1290906->C0037088->*C2720507*<-C0087086<-C0302148<-C0333010<-C0332447<-C1260954<-C1268086
C0040034	C0036396	0.541977	0.288725	0.253983	0.142857	0.038983	0.571429	C0012634		C0012634	C0012634=C0040034->C0005779->*C0012634*<-C0036396<-C0031121<-C0027796<-C1300028
C0014038	C0025289	0.741411	0.657497	0.875358	0.333333	0.209632	0.900000	C0178264|C1285331		C0178264	C0178264=C0014038->*C0178264*<-C0025289|C1285331=C0014038->*C1285331*<-C0025289
C0152447	C0040822	0.435590	0.275255	0.191875	0.090909	0.036660	0.375000	C0037088		C0037088	C0037088=C0152447->C0426398->C1291662->C0577118->C0579140->C0578533->C1290906->*C0037088*<-C0040822<-C0427086<-C1689949
C0001924	C0019134	0.741411	0.344529	0.432563	0.333333	0.050284	0.875000	C1320237		C1320237	C1320237=C0001924->*C1320237*<-C0019134
C0032617	C0021641	0.510546	0.234794	0.059355	0.125000	0.030481	0.363636	C2720507		C2720507	C2720507=C0032617->C0025517->C0012634->C0037088->*C2720507*<-C0021641<-C0935929<-C0013227
C0037384	C0038450	0.673698	0.559917	0.814533	0.250000	0.134320	0.823529	C1291004		C1291004	C1291004=C0037384->*C1291004*<-C0038450<-C1287665
C0033860	C0054836	0.415109	0.242050	0.061291	0.083333	0.031507	0.266667	C2720507		C2720507	C2720507=C0033860->C1960691->C1960690->C1719883->C0012634->C0037088->*C2720507*<-C0054836<-C0304515<-C0001645<-C0004382<-C0013227
C0019112	C0021359	0.435590	0.266415	0.185473	0.090909	0.035211	0.375000	C0037088		C0037088	C0037088=C0019112->C0459146->C0263978->C1290853->C0012634->*C0037088*<-C0021359<-C0577274<-C1291680<-C0574125<-C0427350
C0014544	C0031412	0.435590	0.249863	0.063444	0.090909	0.032650	0.285714	C2720507		C2720507	C2720507=C0014544->C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0031412<-C0360117<-C0003286<-C0007680<-C0013227
C0014544	C0001975	0.435590	0.286370	0.074511	0.090909	0.038566	0.285714	C2720507		C2720507	C2720507=C0014544->C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0001975<-C0029224<-C0729761<-C0729759<-C0439861
C0037384	C0023992	0.482823	0.228386	0.057695	0.111111	0.029603	0.333333	C2720507		C2720507	C2720507=C0037384->C0037090->C1689949->C0037088->*C2720507*<-C0023992<-C0003292<-C0017173<-C0013227
C0004093	C0006625	0.458023	0.354171	0.479316	0.100000	0.052545	0.526316	C0424449		C0424449	C0424449=C0004093->C0015672->C1290919->*C0424449*<-C0006625<-C1288053<-C0424630<-C1287842<-C1287632<-C0577997
C0036572	C0085208	0.510546	0.261661	0.066835	0.125000	0.034455	0.363636	C2720507		C2720507	C2720507=C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0085208<-C1629845<-C0013227
C0032285	C0036690	0.510546	0.340402	0.353600	0.125000	0.049346	0.588235	C1290853		C1290853	C1290853=C0032285->C1285331->C1285332->*C1290853*<-C0036690<-C0243026<-C2316160<-C0578491
C0015300	C0019214	0.482823	0.303320	0.328634	0.111111	0.041667	0.600000	C1290853|C1285159		C1285159	C1285159=C0015300->C1299547->C1269791->C0042790->*C1285159*<-C0019214<-C0038002<-C0037997<-C0024228|C1290853=C0015300->C1299547->C1269791->C1290856->*C1290853*<-C0019214<-C0019209<-C0023895<-C1302710
C0019270	C0497327	0.415109	0.244050	0.061835	0.083333	0.031795	0.266667	C2720507		C2720507	C2720507=C0019270->C0333056->C0333010->C0332447->C1260954->C1268086->*C2720507*<-C0497327<-C0029227<-C0004936<-C0012634<-C0037088
C0040165	C0023660	0.482823	0.348405	0.425871	0.111111	0.051181	0.636364	C1532646|C0013227		C1532646	C1532646=C0040165->C0040135->C1320237->*C1532646*<-C0023660<-C0360090<-C0002934<-C1532651<-C1532650|C0013227=C0040165->C0279175->C0019928->C0360511->*C0013227*<-C0023660<-C0360090<-C0002934<-C0002932
C0032285	C0013404	0.541977	0.436566	0.585484	0.142857	0.076518	0.625000	C0425442		C0425442	C0425442=C0032285->C1290890->C0577910->*C0425442*<-C0013404<-C1287669<-C0577969
C0741439	C0025287	0.458023	0.255301	0.177672	0.100000	0.033470	0.400000	C0037088		C0037088	C0037088=C0741439->C0151683->C0580316->C1292123->C2711906->*C0037088*<-C0025287<-C0576482<-C0422878<-C1290906
C0017601	C0232197	0.482823	0.320263	0.346699	0.111111	0.045015	0.600000	C1285159		C1285159	C1285159=C0017601->C0015397->C1269791->C0042790->*C1285159*<-C0232197<-C0264886<-C0018799<-C0025061
C0036494	C0007297	0.741411	0.841462	0.969877	0.333333	0.485194	0.888889	C0026603		C0026603	C0026603=C0036494->*C0026603*<-C0007297
