Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
42399005	42399005	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	42399005		42399005	42399005=42399005
70317007	17369002	0.835728	0.798819	0.944901	0.500000	0.399168	0.933333	70317007		70317007	70317007=70317007*<-17369002
80891009	74281007	0.671456	0.757990	0.933498	0.250000	0.331294	0.903226	80891009		80891009	80891009=80891009*<-74281007<-272657006<-119202000
230690007	55641003	0.374558	0.237607	0.000000	0.071429	0.000000	0.133333	138875005		138875005	138875005=230690007->62914000->27550009->49601007->106063007->118234003->404684003->*138875005*<-55641003<-6574001<-37782003<-49755003<-118956008<-123037004
48500005	58214004	0.671456	0.469604	0.658317	0.250000	0.088815	0.727273	74732009		74732009	74732009=48500005->*74732009*<-58214004<-69322001
125369001	415582006	0.575363	0.349420	0.460840	0.166667	0.051312	0.615385	49755003		49755003	49755003=125369001->18115005->128490007->*49755003*<-415582006<-25659002
128462008	443961001	0.739635	0.527392	0.705589	0.333333	0.115624	0.857143	363346000		363346000	363346000=128462008->*363346000*<-443961001
42343007	19242006	0.538830	0.384164	0.538323	0.142857	0.060131	0.700000	118946009|399902003		118946009	118946009=42343007->415991003->56265001->49483002->*118946009*<-19242006<-19829001|399902003=42343007->415991003->56265001->49483002->*399902003*<-19242006<-19829001
51615001	126713003	0.739635	0.544362	0.782552	0.333333	0.124937	0.888889	19829001		19829001	19829001=51615001->*19829001*<-126713003
373421000	51197009	0.479270	0.267619	0.227108	0.111111	0.035322	0.428571	118234003		118234003	118234003=373421000->111407006->414027002->362965005->123946008->*118234003*<-51197009<-55300003<-106028002
79619009	49436004	0.538830	0.443256	0.661234	0.142857	0.078750	0.750000	56265001		56265001	56265001=79619009->44241007->128599005->*56265001*<-49436004<-40593004<-44808001
254935002	1386000	0.739635	0.374395	0.455124	0.333333	0.057508	0.833333	399902003		399902003	399902003=254935002->*399902003*<-1386000
255631004	106190000	0.479270	0.266734	0.000000	0.111111	0.000000	0.200000	138875005		138875005	138875005=255631004->278471000->312416005->373873005->*138875005*<-106190000<-420134006<-64572001<-404684003
59282003	22298006	0.575363	0.307727	0.310538	0.166667	0.042419	0.615385	123946008		123946008	123946008=59282003->312593004->128121009->*123946008*<-22298006<-123397009
57406009	396275006	0.479270	0.316457	0.335654	0.111111	0.044144	0.555556	123946008|362965005		362965005	362965005=57406009->230627003->302226006->386033004->118940003->*362965005*<-396275006<-399269003<-928000|123946008=57406009->230627003->118947000->128605003->*123946008*<-396275006<-399269003<-928000<-362965005
69896004	200936003	0.538830	0.316997	0.320088	0.142857	0.044253	0.571429	123946008		123946008	123946008=69896004->3723001->363169009->363170005->*123946008*<-200936003<-105969002
11381005	61968008	0.392121	0.241300	0.000000	0.076923	0.000000	0.142857	138875005		138875005	138875005=11381005->3441005->238714008->128598002->106077005->118234003->404684003->*138875005*<-61968008<-63653004<-272181003<-49062001<-260787004
73211009	38341003	0.507184	0.338890	0.360009	0.125000	0.048904	0.588235	362965005		362965005	362965005=73211009->17346000->362969004->*362965005*<-38341003<-359557001<-27550009<-49601007
32498003	179344006	0.328544	0.213255	0.000000	0.058824	0.000000	0.111111	138875005		138875005	138875005=32498003->116616004->396458002->103036003->304275008->116566001->41175001->312415009->312413002->105590001->*138875005*<-179344006<-19063003<-188383006<-363320004<-362958002<-71388002
70179006	73761001	0.314998	0.216129	0.000000	0.055556	0.000000	0.105263	138875005		138875005	138875005=70179006->86049000->367651003->108369006->400177003->416939005->4147007->49755003->118956008->123037004->*138875005*<-73761001<-6019008<-69201005<-118155006<-423827005<-363691001<-71388002
128863005	126692004	0.507184	0.323867	0.343597	0.125000	0.045662	0.588235	123946008|362965005		362965005	362965005=128863005->111590001->414027002->*362965005*<-126692004<-126668007<-201060008<-50043002|123946008=128863005->111590001->414027002->362965005->*123946008*<-126692004<-60600009<-118939000
74400008	64859006	0.479270	0.304984	0.307747	0.111111	0.041891	0.500000	123946008		123946008	123946008=74400008->302168000->363169009->363170005->*123946008*<-64859006<-76069003<-312225001<-105969002
35489007	128045006	0.575363	0.339060	0.284283	0.166667	0.048942	0.545455	64572001		64572001	64572001=35489007->46206005->74732009->*64572001*<-128045006<-128139000
55822004	128462008	0.479270	0.344918	0.290042	0.111111	0.050268	0.428571	64572001		64572001	64572001=55822004->238037008->48286001->75934005->*64572001*<-128462008<-363346000<-55342001<-399981008
24700007	69322001	0.575363	0.308758	0.255733	0.166667	0.042619	0.545455	64572001		64572001	64572001=24700007->6118003->362975008->*64572001*<-69322001<-74732009
13200003	57190000	0.431712	0.307475	0.326166	0.090909	0.042370	0.500000	362965005		362965005	362965005=13200003->40845000->119292006->84410009->53619000->*362965005*<-57190000<-39021009<-72128008<-95677002<-128127008
39772007	15825003	0.358207	0.219746	0.000000	0.066667	0.000000	0.125000	138875005		138875005	138875005=39772007->399505005->254588001->441456002->64572001->404684003->*138875005*<-15825003<-3711007<-314237003<-59820001<-113343008<-91723000<-442083009<-123037004
12856003	244568009	0.358207	0.281806	0.263658	0.066667	0.037685	0.222222	123037004		123037004	123037004=12856003->399989005->25322007->107658001->49755003->118956008->*123037004*<-244568009<-43653007<-74135004<-61496007<-21793004<-85756007<-91723000<-442083009
87715008	420054005	0.479270	0.365846	0.515810	0.111111	0.055307	0.636364	76712006		76712006	76712006=87715008->78948009->10890000->283015002->*76712006*<-420054005<-425413006<-427399008<-235856003
