"cg","con","Concept.1","Concept.2","LCH","INTRINSIC_LCH","INTRINSIC_LIN","PATH","INTRINSIC_PATH","WUPALMER","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"sct-umls","UMNSRS_similarity","C0017601","C0232197",0.482823,0.320263,0.346699,0.111111,0.045015,0.6,"C1285159",NA,"C1285159","C1285159=C0017601->C0015397->C1269791->C0042790->*C1285159*<-C0232197<-C0264886<-C0018799<-C0025061"
"sct-umls","UMNSRS_similarity","C0006949","C0031507",0.673698,0.511,0.755027,0.25,0.107456,0.857143,"C0003286",NA,"C0003286","C0003286=C0006949->*C0003286*<-C0031507<-C0020208"
"sct-umls","UMNSRS_similarity","C0878544","C0000970",0.43559,0.26941,0.069156,0.090909,0.035695,0.285714,"C2720507",NA,"C2720507","C2720507=C0878544->C0018799->C0577785->C1320355->C1290906->C0037088->*C2720507*<-C0000970<-C0280004<-C0003419<-C0013227"
"sct-umls","UMNSRS_similarity","C0019340","C0020550",0,0.380061,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0036494","C0027497",0.741411,0.804409,0.957358,0.333333,0.40974,0.875,"C0027497",NA,"C0027497","C0027497=C0036494->C0026603->*C0027497"
"sct-umls","UMNSRS_similarity","C0009186","C0019655",0.621175,0.507654,0.735758,0.2,0.105828,0.75,"C0026946",NA,"C0026946","C0026946=C0009186->C0276697->*C0026946*<-C0019655<-C0276698"
"sct-umls","UMNSRS_similarity","C0002962","C0070166",0.482823,0.232101,0.058652,0.111111,0.030109,0.333333,"C2720507",NA,"C2720507","C2720507=C0002962->C1300028->C0012634->C0037088->*C2720507*<-C0070166<-C0085826<-C0018938<-C0013227"
"sct-umls","UMNSRS_similarity","C0061851","C0022046",0.673698,0.336374,0.422984,0.25,0.048447,0.823529,"C1320237",NA,"C1320237","C1320237=C0061851->C0360055->*C1320237*<-C0022046"
"sct-umls","UMNSRS_similarity","C0036572","C0021641",0.510546,0.268194,0.068786,0.125,0.035497,0.363636,"C2720507",NA,"C2720507","C2720507=C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0021641<-C0935929<-C0013227"
"sct-umls","UMNSRS_similarity","C0036690","C0013404",0.458023,0.315544,0.28504,0.1,0.044056,0.470588,"C1290906",NA,"C1290906","C1290906=C0036690->C0243026->C2316160->C2317548->C2316161->*C1290906*<-C0013404<-C1287669<-C0577969<-C0425442"
"sct-umls","UMNSRS_similarity","C0028738","C0021167",0.458023,0.293529,0.205675,0.1,0.039846,0.4,"C0037088",NA,"C0037088","C0037088=C0028738->C0028850->C0042790->C0456753->C1290906->*C0037088*<-C0021167<-C0231360<-C0424449<-C0427350"
"sct-umls","UMNSRS_similarity","C0036494","C0001962",0.510546,0.237597,0.060096,0.125,0.030873,0.363636,"C2720507",NA,"C2720507","C2720507=C0036494->C0026603->C1633746->C0037088->*C2720507*<-C0001962<-C1690586<-C0013227"
"sct-umls","UMNSRS_similarity","C0013456","C0034880",0.621175,0.435617,0.652904,0.2,0.076188,0.8,"C0423477",NA,"C0423477","C0423477=C0013456->C0578044->*C0423477*<-C0034880<-C0013447"
"sct-umls","UMNSRS_similarity","C0032064","C0008402",0.362586,0.230028,0.058116,0.066667,0.029825,0.222222,"C2720507",NA,"C2720507","C2720507=C0032064->C0043407->C0014347->C1319381->C0085423->C0004623->C0009450->C0012634->C0037088->*C2720507*<-C0008402<-C0032604<-C1689977<-C0520510<-C0439861"
"sct-umls","UMNSRS_similarity","C0001367","C0209227",0.741411,0.786883,0.952428,0.333333,0.378257,0.916667,"C1319305|C0003451",NA,"C1319305","C1319305=C0001367->*C1319305*<-C0209227|C0003451=C0001367->*C0003451*<-C0209227"
"sct-umls","UMNSRS_similarity","C0027497","C0027498",0.836849,0.849364,0.970356,0.5,0.503003,0.933333,"C0027497",NA,"C0027497","C0027497=C0027497*<-C0027498"
"sct-umls","UMNSRS_similarity","C0162275","C0159075",0.673698,0.452404,0.683228,0.25,0.082251,0.769231,"C0426391",NA,"C0426391","C0426391=C0162275->*C0426391*<-C0159075<-C0235639"
"sct-umls","UMNSRS_similarity","C0009951","C0001962",0,0.381694,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0242723","C0024530",0,0.370556,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0033687","C0011847",0,0.388654,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0017160","C0086073",0.415109,0.239047,0.060482,0.083333,0.031078,0.266667,"C2720507",NA,"C2720507","C2720507=C0017160->C0017152->C1285331->C1285332->C1290884->C0012634->C0037088->*C2720507*<-C0086073<-C0360195<-C0282555<-C0013227"
"sct-umls","UMNSRS_similarity","C0020639","C0020175",0.482823,0.258534,0.179913,0.111111,0.033967,0.428571,"C0037088",NA,"C0037088","C0037088=C0020639->C0025517->C0012634->*C0037088*<-C0020175<-C0566580<-C0559899<-C0574125<-C0427350"
"sct-umls","UMNSRS_similarity","C0213771","C0073992",0.673698,0.478389,0.716972,0.25,0.092602,0.869565,"C0006280",NA,"C0006280","C0006280=C0213771->*C0006280*<-C0073992<-C1272573"
"sct-umls","UMNSRS_similarity","C0162275","C0016410",0.458023,0.231421,0.058475,0.1,0.030016,0.307692,"C2720507",NA,"C2720507","C2720507=C0162275->C1290915->C2711906->C0037088->*C2720507*<-C0016410<-C0042849<-C0259754<-C0042890<-C0013227"
"sct-umls","UMNSRS_similarity","C0021641","C0017687",0.741411,0.726926,0.926481,0.333333,0.287744,0.923077,"C0030292",NA,"C0030292","C0030292=C0021641->*C0030292*<-C0017687"
"sct-umls","UMNSRS_similarity","C0086543","C0043144",0.458023,0.269746,0.187864,0.1,0.03575,0.4,"C0037088",NA,"C0037088","C0037088=C0086543->C0154777->C1285162->C0012634->*C0037088*<-C0043144<-C1287665<-C0577960<-C1290911<-C1290907"
