"con","cg1","cg2","p","intrinsic_lch1","intrinsic_lch2"
"UMNSRS_similarity","sct-msh","sct-umls",0.858394954149459,0.374135643878611,0.36495393683216
"UMNSRS_similarity","sct-msh","umls",0.0806965257028485,0.374135643878611,0.460012874863192
"UMNSRS_similarity","sct-umls","umls",0.0542197780870465,0.36495393683216,0.460012874863192
"UMNSRS_relatedness","sct-msh","sct-umls",0.809720721418405,0.311812079238843,0.299035853140697
"UMNSRS_relatedness","sct-msh","umls",0.146414981586942,0.311812079238843,0.386383204553133
"UMNSRS_relatedness","sct-umls","umls",0.0904368260400261,0.299035853140697,0.386383204553133
"MayoSRS","sct-msh","sct-umls",0.656691378406558,0.354028104357353,0.297289453118182
"MayoSRS","sct-msh","umls",0.472386613549706,0.354028104357353,0.440377422192653
"MayoSRS","sct-umls","umls",0.244794158104949,0.297289453118182,0.440377422192653
"MiniMayoSRS_Physicians","sct","sct-msh",0.865097776382871,0.493994550851335,0.528779374847452
"MiniMayoSRS_Physicians","sct","sct-umls",0.512930032896669,0.493994550851335,0.345095484105365
"MiniMayoSRS_Physicians","sct","umls",0.266120232282806,0.493994550851335,0.690941719807769
"MiniMayoSRS_Physicians","sct-msh","sct-umls",0.409842556257563,0.528779374847452,0.345095484105365
"MiniMayoSRS_Physicians","sct-msh","umls",0.346114255298755,0.528779374847452,0.690941719807769
"MiniMayoSRS_Physicians","sct-umls","umls",0.0773415339263294,0.345095484105365,0.690941719807769
"MiniMayoSRS_Coders","sct","sct-msh",0.975057615350724,0.614461258305525,0.609034981423937
"MiniMayoSRS_Coders","sct","sct-umls",0.401869708951892,0.614461258305525,0.449089010485703
"MiniMayoSRS_Coders","sct","umls",0.618358223800649,0.614461258305525,0.693271470157159
"MiniMayoSRS_Coders","sct-msh","sct-umls",0.419654410830696,0.609034981423937,0.449089010485703
"MiniMayoSRS_Coders","sct-msh","umls",0.59649730707733,0.609034981423937,0.693271470157159
"MiniMayoSRS_Coders","sct-umls","umls",0.181397265577445,0.449089010485703,0.693271470157159
"MiniMayoSRS_Combined","sct","sct-msh",0.843551544377455,0.536023705689414,0.573884116128444
"MiniMayoSRS_Combined","sct","sct-umls",0.477031645215921,0.536023705689414,0.381094920866545
"MiniMayoSRS_Combined","sct","umls",0.347025691003614,0.536023705689414,0.695934123464788
"MiniMayoSRS_Combined","sct-msh","sct-umls",0.363647085694789,0.573884116128444,0.381094920866545
"MiniMayoSRS_Combined","sct-msh","umls",0.457468708450586,0.573884116128444,0.695934123464788
"MiniMayoSRS_Combined","sct-umls","umls",0.0986448875567489,0.381094920866545,0.695934123464788
"UMNSRS_reduced_rel","sct-msh","sct-umls",0.787677143222477,0.318156120041987,0.301473986548867
"UMNSRS_reduced_rel","sct-msh","umls",0.187136613208062,0.318156120041987,0.396911286320224
"UMNSRS_reduced_rel","sct-umls","umls",0.112190176586362,0.301473986548867,0.396911286320224
