"cg","metric","con","spearman","p.value"
"sct-umls","LCH","UMNSRS_similarity",0.228830952777586,3.68670565777363e-08
"sct-umls","INTRINSIC_LCH","UMNSRS_similarity",0.36495393683216,2.84027803286257e-19
"sct-umls","INTRINSIC_LIN","UMNSRS_similarity",0.222262641610479,9.13800558050565e-08
"sct-umls","PATH","UMNSRS_similarity",0.228830952777586,3.68670565777363e-08
"sct-umls","INTRINSIC_PATH","UMNSRS_similarity",0.226825510623898,4.87837805032805e-08
"sct-umls","WUPALMER","UMNSRS_similarity",0.208505036740886,5.59684080365812e-07
"sct-umls","PAGERANK-ppr","UMNSRS_similarity",-0.000603345598809387,0.988572836317912
"sct-umls","PAGERANK-ppr-hier","UMNSRS_similarity",0.232641062343882,2.14998839909238e-08
"sct-umls","LCH","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_LCH","UMNSRS_relatedness",0.299035853140697,1.36592197415081e-13
"sct-umls","INTRINSIC_LIN","UMNSRS_relatedness",0.157250227677192,0.000130466575293448
"sct-umls","PATH","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_PATH","UMNSRS_relatedness",0.163356894326190,7.00465761158242e-05
"sct-umls","WUPALMER","UMNSRS_relatedness",0.139098347637156,0.000726589004807295
"sct-umls","PAGERANK-ppr","UMNSRS_relatedness",-0.00660206580721807,0.87318343074248
"sct-umls","PAGERANK-ppr-hier","UMNSRS_relatedness",0.166000300878664,5.31401998580764e-05
"sct-umls","LCH","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_LCH","MayoSRS",0.297289453118182,0.00253523286928781
"sct-umls","INTRINSIC_LIN","MayoSRS",0.0935628350561178,0.352042790828292
"sct-umls","PATH","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_PATH","MayoSRS",0.124072455183113,0.216393566106728
"sct-umls","WUPALMER","MayoSRS",0.0476049976004017,0.636400546198952
"sct-umls","PAGERANK-ppr","MayoSRS",0.00287014029915007,0.977274875771234
"sct-umls","PAGERANK-ppr-hier","MayoSRS",0.172612348229463,0.0843255301966255
"sct-umls","LCH","MiniMayoSRS_Physicians",0.378149755032775,0.0431110314586663
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.345095484105365,0.0667377061590012
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.409159620385984,0.0275264987555579
"sct-umls","PATH","MiniMayoSRS_Physicians",0.378149755032775,0.0431110314586663
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.345095484105365,0.0667377061590012
"sct-umls","WUPALMER","MiniMayoSRS_Physicians",0.441719834262303,0.0164417000145977
"sct-umls","LCH","MiniMayoSRS_Coders",0.541700065092115,0.00240524150448635
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Coders",0.493016013812843,0.00657995301184273
"sct-umls","PATH","MiniMayoSRS_Coders",0.541700065092115,0.00240524150448635
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","WUPALMER","MiniMayoSRS_Coders",0.555464506508832,0.00175979315455205
"sct-umls","LCH","MiniMayoSRS_Combined",0.439385429933101,0.0170879434522919
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Combined",0.381094920866545,0.0413814972475096
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Combined",0.449592373963472,0.0144096509902937
"sct-umls","PATH","MiniMayoSRS_Combined",0.439385429933101,0.0170879434522919
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Combined",0.381094920866545,0.0413814972475096
"sct-umls","WUPALMER","MiniMayoSRS_Combined",0.488923110505914,0.00711495164767878
"sct-umls","PAGERANK-ppr","MiniMayoSRS_Physicians",0.194444663632972,0.312138119498744
"sct-umls","PAGERANK-ppr","MiniMayoSRS_Coders",0.26201165513953,0.169740646323050
"sct-umls","PAGERANK-ppr","MiniMayoSRS_Combined",0.197272664919152,0.305013955210324
"sct-umls","PAGERANK-ppr-hier","MiniMayoSRS_Physicians",0.564635367102457,0.00141835484509166
"sct-umls","PAGERANK-ppr-hier","MiniMayoSRS_Coders",0.702664360391234,2.13946414862979e-05
"sct-umls","PAGERANK-ppr-hier","MiniMayoSRS_Combined",0.631826945984851,0.000236666863975245
"sct-umls","LCH","UMNSRS_reduced_rel",0.165064555088855,0.00058062715675628
"sct-umls","INTRINSIC_LCH","UMNSRS_reduced_rel",0.301473986548867,1.66047076578305e-10
"sct-umls","INTRINSIC_LIN","UMNSRS_reduced_rel",0.156123874214538,0.00114690888345969
"sct-umls","PATH","UMNSRS_reduced_rel",0.165064555088855,0.00058062715675628
"sct-umls","INTRINSIC_PATH","UMNSRS_reduced_rel",0.16097514892674,0.000796163132477077
"sct-umls","WUPALMER","UMNSRS_reduced_rel",0.133742251568684,0.00541914485047766
"sct-umls","PAGERANK-ppr","UMNSRS_reduced_rel",0.0264204310961655,0.584375305765994
"sct-umls","PAGERANK-ppr-hier","UMNSRS_reduced_rel",0.168317262034358,0.00044932555318122
"sct-msh","LCH","UMNSRS_similarity",0.297763328148077,4.72233892875913e-13
"sct-msh","INTRINSIC_LCH","UMNSRS_similarity",0.374135643878611,3.02173191366464e-20
"sct-msh","INTRINSIC_LIN","UMNSRS_similarity",0.319779541949614,6.3586999412455e-15
"sct-msh","PATH","UMNSRS_similarity",0.297763328148077,4.72233892875913e-13
"sct-msh","INTRINSIC_PATH","UMNSRS_similarity",0.321627355746778,4.35664907791085e-15
"sct-msh","WUPALMER","UMNSRS_similarity",0.301728922298716,2.23213374945694e-13
"sct-msh","PAGERANK-ppr","UMNSRS_similarity",0.0747456247529992,0.0755995532915158
"sct-msh","PAGERANK-ppr-hier","UMNSRS_similarity",0.332859697918903,4.13377972217337e-16
"sct-msh","LCH","UMNSRS_relatedness",0.201672638310911,8.37443900960038e-07
"sct-msh","INTRINSIC_LCH","UMNSRS_relatedness",0.311812079238843,1.05785668625343e-14
"sct-msh","INTRINSIC_LIN","UMNSRS_relatedness",0.223173360442023,4.63936755555722e-08
"sct-msh","PATH","UMNSRS_relatedness",0.201672638310911,8.37443900960038e-07
"sct-msh","INTRINSIC_PATH","UMNSRS_relatedness",0.232161470363435,1.2646629319867e-08
"sct-msh","WUPALMER","UMNSRS_relatedness",0.206873203085766,4.27571932604776e-07
"sct-msh","PAGERANK-ppr","UMNSRS_relatedness",0.0352166026395118,0.394393805394967
"sct-msh","PAGERANK-ppr-hier","UMNSRS_relatedness",0.228068677332262,2.30103828006145e-08
"sct-msh","LCH","MayoSRS",0.217761609283286,0.0287016632546627
"sct-msh","INTRINSIC_LCH","MayoSRS",0.354028104357353,0.000281209865902678
"sct-msh","INTRINSIC_LIN","MayoSRS",0.321704667332200,0.00103617793416414
"sct-msh","PATH","MayoSRS",0.217761609283286,0.0287016632546627
