Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.056635				
C0035450	C0034079	0.020899				
C0409162	C0333286	0.011521				
C0011849	C0032584	0.017253				
C0020541	C0027962	0.024376				
C0018802	C0020541	0.009782				
C0085649	C0034063	0.019133				
C0022650	C0041956	0.015757				
C0004604	C0037944	0.042905				
C1956089	C0018862	0.035589				
C0003873	C0035450	0.040629				
C0009871	C1444657	0.002522				
C0020971	C0021051	0.010462				
C0026848	C0011633	0.025698				
C0360714	C0020473	0.010358				
C0004093	C0442874	0.027342				
C0013404	C0231835	0.043449				
C0034065	C0019079	0.020784				
C0029408	C0221434	0.018376				
C0231736	C0231749	0.134171				
C0332536	C0024796	0.004558				
C0458343	C0016053	0.016939				
C0457086	C0003873	0.033666				
C0038454	C0018989	0.026999				
C0006121	C1269897	0.006760				
C0011167	C0031133	0.037731				
C0011168	C0679317	0.006377				
C0429103	C0027051	0.001963				
C1510420	C0041296	0.016840				
C0027627	C0205699	0.042917				
C1956391	C0018681	0.026636				
C0003243	C0443146	0.006930				
C0034735	C0022116	0.041005				
C0011644	C0036421	0.041042				
C0032285	C0332448	0.011585				
C0020877	C0010346	0.047753				
C0030472	C1306459	0.019257				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.001329				
C0011991	C0009319	0.020988				
C0013395	C0030920	0.020244				
C0009676	C0011253	0.035159				
C0018524	C0033975	0.039640				
C0038362	C0149745	0.053226				
C0034065	C0032285	0.014831				
C0003873	C0003904	0.005804				
C1533685	C1253936	0.008786				
C0042164	C0019740	0.008758				
C0042384	C0040053	0.021105				
C0243026	C0020649	0.011622				
C0042109	C0277942	0.041895				
C0017196	C0162429	0.010230				
C0013604	C0017654	0.006280				
C0009378	C0032584	0.013915				
C0010137	C1563292	0.002662				
C0003507	C0006660	0.015950				
C0024530	C0002438	0.034916				
C0442874	C0522224	0.031635				
C0036572	C0018681	0.029420				
C0333997	C0043352	0.020745				
C0036202	C0042866	0.004568				
C0023223	C0042345	0.021533				
C0080331	C0432601	0.008355				
C0030326	C0023798	0.020812				
C0003811	C0026264	0.011769				
C0019054	C1561562	0.008842				
C0013378	C0011167	0.017362				
C0013394	C0029965	0.013173				
C0030842	C0020517	0.010122				
C0023418	C0038250	0.004335				
C0376358	C0001109	0.003786				
C0224498	C0029408	0.003518				
C0037473	C0024485	0.007641				
C0033706	C0039142	0.003401				
C0026764	C0011581	0.007604				
C0011849	C0035450	0.022718				
C0220982	C0409974	0.045034				
C0040583	C0007102	0.014776				
C0037199	C0442041	0.001993				
C0267809	C0376180	0.005232				
C0018801	C0033975	0.016626				
C0034887	C0023055	0.024568				
C0162595	C0702166	0.007310				
C0233651	C1527356	0.087123				
C0005587	C0232208	0.074081				
C0026269	C0030920	0.018048				
C0035222	C0007642	0.022865				
C0037926	C0886052	0.007443				
C0158280	C0023891	0.039960				
C0241910	C0022876	0.025267				
C0917996	C0034065	0.014845				
C0149925	C0011860	0.007565				
C0018926	C0043352	0.021227				
C0010043	C0011127	0.027404				
C0013404	C0231528	0.020234				
C0024117	C0018520	0.026252				
C0029408	C0392525	0.015150				
C0262538	C0040479	0.024653				
C0034069	C0003615	0.022150				
C0007286	C0549493	0.016159				
C0041834	C0029456	0.020691				
