Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.808273	0.878740	0.981098	0.333333	0.564961	0.990566	C0575081		C0575081	C0575081=C0311394->*C0575081*<-C0231685
C0035450	C0034079	0.000000	0.349416	0.000000	0.000000	0.000000	0.000000				
C0409162	C0333286	0.598160	0.281541	0.301879	0.100000	0.033941	0.830189	C0184661		C0184661	C0184661=C0409162->C1292887->C1292883->C1293051->C1285152->*C0184661*<-C0333286<-C0019080<-C0200627<-C0022885
C0011849	C0032584	0.758068	0.358010	0.492355	0.250000	0.048652	0.969697	C0012634		C0012634	C0012634=C0011849->C0271633->*C0012634*<-C0032584
C0020541	C0027962	0.719126	0.337173	0.466682	0.200000	0.044105	0.960000	C0700276|C0012634|C0178784|C1140097		C0012634	C0178784=C0020541->C0023884->*C0178784*<-C0027962<-C1123023|C0012634=C0020541->C0007222->*C0012634*<-C0027962<-C1302761|C0700276=C0020541->C0023884->*C0700276*<-C0027962<-C1123023|C1140097=C0020541->C0007222->*C1140097*<-C0027962<-C0037272
C0018802	C0020541	0.808273	0.427817	0.661245	0.333333	0.067587	0.981132	C0007222		C0007222	C0007222=C0018802->*C0007222*<-C0020541
C0085649	C0034063	0.808273	0.822986	0.968046	0.333333	0.434509	0.987179	C0013604|C0549605		C0013604	C0013604=C0085649->*C0013604*<-C0034063|C0549605=C0085649->*C0549605*<-C0034063
C0022650	C0041956	0.758068	0.479312	0.739241	0.250000	0.086133	0.978102	C1456596|C0041951|C0042075|C0042066		C0041951	C0042075=C0022650->*C0042075*<-C0041956<-C0403608|C0041951=C0022650->C0451641->*C0041951*<-C0041956|C0042066=C0022650->*C0042066*<-C0041956<-C0041951|C1456596=C0022650->*C1456596*<-C0041956<-C0041954
C0004604	C0037944	0.808273	0.544088	0.814481	0.333333	0.116853	0.988636	C1456595|C0037949|C0927232		C0037949	C0037949=C0004604->*C0037949*<-C0037944|C0927232=C0004604->*C0927232*<-C0037944|C1456595=C0004604->*C1456595*<-C0037944
C1956089	C0018862	0.808273	0.987922	0.998566	0.333333	0.944713	0.991071	C1442903		C1442903	C1442903=C1956089->*C1442903*<-C0018862
C0003873	C0035450	0.879034	0.934756	0.991108	0.500000	0.735483	0.995633	C0003873		C0003873	C0003873=C0003873*<-C0035450
C0009871	C1444657	0.758068	0.260403	0.192954	0.250000	0.030725	0.842105	C1517500		C1517500	C1517500=C0009871->C0015895->*C1517500*<-C1444657
C0020971	C0021051	0.758068	0.377426	0.503265	0.250000	0.053310	0.955224	C0020962		C0020962	C0020962=C0020971->*C0020962*<-C0021051<-C0021053
