Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
D002220	D010672	0.008764				
D009202	D000082	0.000024				
D009041	D009325	0.034457				
D003047	D006660	0.703957				
D000787	C055162	0.000001				
D017294	D007486	0.005929				
D012640	D007328	0.000022				
D018805	D004417	0.001571				
D009041	D000431	0.000001				
D004433	D012001	0.107639				
D010930	D002792	0.000000				
D000212	C060590	0.001043				
D012640	D000431	0.000053				
D018512	D008288	0.038438				
D005759	D004205	0.000004				
D007019	D006815	0.000128				
C079890	C057823	0.005767				
D007662	D005492	0.000026				
D007328	D005934	0.007923				
D002386	D012135	0.001100				
D008691	D014147	0.051049				
D010787	D001044	0.002191				
D011565	D008580	0.010150				
D014770	D012798	0.002762				
D003128	D006505	0.000834				
D007319	D011595	0.002588				
D011565	D001168	0.174275				
D013923	D006469	0.005790				
D011014	D002443	0.000002				
D017292	C041226	0.354503				
D002386	D008687	0.000005				
D012640	D002220	0.000029				
D002386	D007328	0.000011				
D000740	D045262	0.001212				
D010024	D011239	0.000003				
D012640	D010672	0.000038				
D050171	D005395	0.000015				
D002440	D002443	0.138550				
D010406	D002437	0.026549				
D006432	D000857	0.000815				
D010167	D001241	0.000007				
D050171	D002792	0.000011				
D010930	D008199	0.009723				
D000438	D004221	0.002894				
D003061	D009270	0.018793				
D014859	D001241	0.003953				
D014640	D005913	0.000273				
D003048	D008581	0.006121				
D010167	D014859	0.000097				
D000783	D010024	0.005537				
D007511	D008790	0.000003				
D005414	D005934	0.000004				
D002437	D002506	0.104184				
D010024	D013927	0.002459				
D004660	D008581	0.154403				
D001168	D018771	0.049387				
D000858	D016190	0.000003				
D000418	D006493	0.003566				
D011141	D007328	0.000007				
D012913	D012135	0.839641				
D011565	C043211	0.000007				
D006484	D007246	0.008195				
D004827	D010634	0.000006				
D004827	D000438	0.000003				
D011565	D013035	0.007495				
D012913	D008139	0.000000				
D001161	D002792	0.000001				
D011014	D018805	0.025240				
D006547	D003704	0.004856				
D018771	D010146	0.586505				
D013974	D008012	0.003743				
D011014	D004417	0.014983				
D009041	D009041	1.000000				
D053159	C055162	0.000001				
D003078	D011239	0.002077				
D006547	D002230	0.000003				
D044343	D012640	0.018336				
D002386	D010195	0.002036				
D000431	D000438	0.063979				
D006980	D012640	0.007797				
C036604	D000638	0.005615				
D007246	D016190	0.000010				
D018771	D009437	0.151191				
D000860	D015742	0.000001				
D004244	D001262	0.000001				
D010195	D007328	0.000003				
D005759	D007328	0.000004				
D007970	D002433	0.000002				
D006660	D011239	0.000004				
D006429	C055162	0.000001				
D009181	C065179	0.000003				
D012216	D003078	0.000003				
D004417	D010406	0.000000				
D005355	D006396	0.006309				
D006261	D006261	1.000000				
D008139	D001726	0.002027				
D009202	D013575	0.003264				
D000860	D012640	0.004668				
D050171	C011819	0.000020				
D013789	D014202	0.001230				
D012640	D016642	0.000018				
D000787	D009638	0.000034				
D009220	D008775	0.000004				
D004433	D000658	0.000001				
D001991	C093875	0.000013				
C065179	D008148	0.003960				
D013035	D005665	0.000004				
D014103	D004917	0.000000				
D003872	D006967	0.044728				
D001161	D007511	0.010677				
D006432	D011141	0.001115				
D037061	D014098	0.117268				
D003681	D013217	0.005722				
D003092	D004827	0.004274				
D007662	D013217	0.003209				
D012640	D014635	0.000137				
D006069	C055162	0.000001				
D013789	D006453	0.508659				
D045262	D001241	0.000003				
D009181	D016190	0.000002				
D009181	D008581	0.066704				
D010167	C011819	0.000006				
D006356	D007052	0.000001				
D003061	D003915	0.081069				
D000111	D000241	0.000953				
D004205	D011239	0.003889				
D003967	D002433	0.000005				
D002442	D002443	0.104097				
D010146	D009020	0.000001				
D009270	D005283	0.008359				
D014657	D006429	0.002768				
D003078	D011339	0.006891				
D019808	C081489	0.074313				
D005355	D000740	0.002213				
C043266	D001505	0.000005				
D012899	D014615	0.742482				
D010787	D003872	0.057650				
D003907	C073008	0.001840				
D006505	D000082	0.000005				
D007511	D012798	0.002324				
D006547	D004433	0.004977				
D006042	D012594	0.004011				
D001259	D000431	0.000009				
D015047	D001404	0.095010				
D012135	D012135	1.000000				
D050197	D000787	0.011325				
D006505	D006396	0.001981				
D009270	D009020	0.038273				
D003967	D003078	0.000002				
D009220	D009135	0.163993				
D001991	D008139	0.000006				
D053159	D002939	0.000001				
D015242	C104727	0.001547				
D012001	D001761	0.000001				
D002701	D002443	0.019094				
D002433	D002440	0.196421				
D004917	D008012	0.002622				
D007037	D007246	0.002517				
C064276	D002119	0.001532				
D002389	D053609	0.330454				
D012552	D017292	0.000000				
D059606	D011141	0.054932				
D005355	C065179	0.000005				
D012135	D012913	0.839641				
D001262	D005665	0.024268				
D053448	D002939	0.000001				
D003681	D004403	0.002173				
D004656	D017706	0.124983				
D045262	D006396	0.013647				
D014511	D006970	0.000152				
D007662	D007328	0.000069				
D001759	D012640	0.001774				
D006493	D011479	0.044041				
D009202	D012135	0.003808				
D009181	D010146	0.003063				
D011507	D008914	0.000006				
D000787	D004417	0.004651				
D016470	D001766	0.000632				
D050171	C065179	0.000025				
D014511	D004614	0.002046				
D010024	D009202	0.007851				
C011819	C011819	1.000000				
D012216	D000082	0.000027				
D002006	D015047	0.048127				
D001262	D008790	0.125135				
D004614	D002100	0.718288				
D013217	D000855	0.000892				
D001764	D014859	0.000099				
D000667	D000658	0.236340				
D000787	D003967	0.002547				
D005665	D008353	0.011681				
D013923	D006493	0.000001				
D005094	D053448	0.001200				
D014511	D001241	0.000018				
D002230	D006118	0.001194				
D006967	D001505	0.000021				
D006547	D006042	0.006588				
D003681	D013575	0.003588				
D001168	D012216	0.202851				
D007246	D000858	0.012235				
D001991	C057823	0.000013				
D009181	D006660	0.839174				
D044343	D044342	0.286154				
D012640	D004827	0.131191				
D003490	D005492	0.000005				
D007246	D001764	0.001090				
D004917	D000493	0.002226				
D006356	C064276	0.000001				
D007037	D013974	0.000040				
D005094	D013974	0.000007				
D004244	D014717	0.040027				
D050171	D000787	0.000582				
D005873	D001361	0.001566				
D020280	D005473	0.060628				
D010538	D001259	0.001855				
C073008	D019386	0.087164				
C055162	C065179	0.001108				
D004837	D009638	0.136603				
D003248	D003967	0.177674				
D001168	D005355	0.005389				
D008581	D014376	0.014915				
D004244	D000431	0.000002				
D002386	D009270	0.000002				
D011595	D009020	0.000007				
D000857	D001044	0.013594				
D012798	D002230	0.000006				
D005355	D008727	0.000006				
D005901	D006261	0.002142				
D010959	D013300	0.059501				
D017963	D002939	0.004976				
D002389	D009270	0.000001				
D018771	D000082	0.000003				
D001764	D053206	0.000614				
D008581	D006261	0.000894				
D005905	C089730	0.000597				
D019851	D006469	0.006247				
D009765	C055122	0.000003				
D005913	D007052	0.007788				
D050197	D007251	0.000934				
D000857	D004077	0.000002				
D008581	D014640	0.000000				
D006970	D012913	0.003688				
D005414	D006209	0.740396				
D005483	C011819	0.000010				
D006432	D001168	0.000897				
D012585	D007052	0.000001				
D001991	D011014	0.096461				
D002177	D008775	0.000010				
D012913	D000431	0.000001				
