Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0035450	C0034079	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0409162	C0333286	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000				
C0011849	C0032584	0.514281	0.338538	0.402337	0.166667	0.048252	0.545455	C0012674		C0012674	C0012674=C0011849->C0014130->*C0012674*<-C0032584<-C0752135<-C0039058
C0020541	C0027962	0.404365	0.324425	0.386136	0.111111	0.045230	0.428571	C0012674		C0012674	C0012674=C0020541->C0023895->C0012242->*C0012674*<-C0027962<-C0027960<-C0206769<-C0027652<-C0027651
C0018802	C0020541	0.436295	0.314772	0.375225	0.125000	0.043273	0.461538	C0012674		C0012674	C0012674=C0018802->C0018801->C0018799->C0007222->*C0012674*<-C0020541<-C0023895<-C0012242
C0085649	C0034063	0.000000	0.360225	0.000000	0.000000	0.000000	0.000000				
C0022650	C0041956	0.514281	0.475795	0.718742	0.166667	0.090509	0.705882	C0042075		C0042075	C0042075=C0022650->C0392525->C0022658->*C0042075*<-C0041956<-C0041954
C0004604	C0037944	0.404365	0.312682	0.372881	0.111111	0.042860	0.428571	C0012674		C0012674	C0012674=C0004604->C0030193->C0037088->C0039058->*C0012674*<-C0037944<-C0037933<-C0005940<-C0026857
C1956089	C0018862	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0003873	C0035450	0.812098	0.870850	0.977041	0.500000	0.553295	0.933333	C0003873		C0003873	C0003873=C0003873*<-C0035450
C0009871	C1444657	0.000000	0.429773	0.000000	0.000000	0.000000	0.000000				
C0020971	C0021051	0.436295	0.255061	0.063729	0.125000	0.032914	0.363636	C1256741		C1256741	C1256741=C0020971->C0021060->C0026214->C0002784->*C1256741*<-C0021051<-C0021053<-C0012674
C0026848	C0011633	0.702183	0.618981	0.845557	0.333333	0.174450	0.857143	C0026848		C0026848	C0026848=C0026848*<-C0011633<-C0027121
C0360714	C0020473	0.304681	0.250163	0.062359	0.076923	0.032183	0.250000	C1256741		C1256741	C1256741=C0360714->C0014432->C1258062->C0600511->C0600505->C0007995->*C1256741*<-C0020473<-C0242339<-C0154251<-C0025517<-C0028715<-C0012674
C0004093	C0442874	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000				
C0013404	C0231835	0.702183	0.605283	0.856359	0.333333	0.163836	0.857143	C0037090|C0035204		C0037090	C0035204=C0013404->*C0035204*<-C0231835|C0037090=C0013404->*C0037090*<-C0231835
C0034065	C0019079	0.702183	0.493796	0.742267	0.333333	0.098293	0.833333	C0024115		C0024115	C0024115=C0034065->*C0024115*<-C0019079
C0029408	C0221434	0.000000	0.365590	0.000000	0.000000	0.000000	0.000000				
C0231736	C0231749	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000				
C0332536	C0024796	0.000000	0.361972	0.000000	0.000000	0.000000	0.000000				
C0458343	C0016053	0.436295	0.225870	0.055973	0.125000	0.028792	0.363636	C1256741		C1256741	C1256741=C0458343->C0005898->C0002807->*C1256741*<-C0016053<-C0035435<-C0026857<-C0012674
C0457086	C0003873	0.000000	0.367136	0.000000	0.000000	0.000000	0.000000				
C0038454	C0018989	0.436295	0.365547	0.491526	0.125000	0.054610	0.533333	C0027765		C0027765	C0027765=C0038454->C0007820->C0006111->C0007682->*C0027765*<-C0018989<-C0030552<-C0027854
C0006121	C1269897	0.000000	0.388172	0.000000	0.000000	0.000000	0.000000				
C0011167	C0031133	0.624196	0.673064	0.903428	0.250000	0.223517	0.800000	C1720892		C1720892	C1720892=C0011167->*C1720892*<-C0031133<-C0017184
C0011168	C0679317	0.000000	0.374102	0.000000	0.000000	0.000000	0.000000				
C0429103	C0027051	0.000000	0.365857	0.000000	0.000000	0.000000	0.000000				
C1510420	C0041296	0.000000	0.382948	0.000000	0.000000	0.000000	0.000000				
C0027627	C0205699	0.472493	0.396459	0.576482	0.142857	0.062921	0.571429	C0027651		C0027651	C0027651=C0027627->C0027671->*C0027651*<-C0205699<-C0007097<-C0027660<-C0027652
C1956391	C0018681	0.436295	0.348941	0.471475	0.125000	0.050608	0.533333	C0027765		C0027765	C0027765=C1956391->C0039483->C0751878->C0751871->*C0027765*<-C0018681<-C0030193<-C0027854
C0003243	C0443146	0.000000	0.366293	0.000000	0.000000	0.000000	0.000000				
C0034735	C0022116	0.404365	0.316212	0.376843	0.111111	0.043559	0.428571	C0012674		C0012674	C0012674=C0034735->C0034734->C0085096->C0042373->C0007222->*C0012674*<-C0022116<-C0030660<-C0039058
C0011644	C0036421	0.472493	0.228469	0.000000	0.142857	0.000000	0.250000	C0000000		C0000000	C0000000=C0011644->*C0000000*<-C0036421<-C0009782<-C0175166<-C0012674<-C1256741
C0032285	C0332448	0.000000	0.375288	0.000000	0.000000	0.000000	0.000000				
C0020877	C0010346	0.563705	0.606098	0.856082	0.200000	0.164449	0.750000	C0017160|C0021831		C0017160	C0017160=C0020877->C0014335->*C0017160*<-C0010346<-C0021390|C0021831=C0020877->C0014335->*C0021831*<-C0010346<-C0021390
C0030472	C1306459	0.000000	0.388941	0.000000	0.000000	0.000000	0.000000				
C0003873	C1396859	0.000000	0.367136	0.000000	0.000000	0.000000	0.000000				
C0027540	C1547030	0.000000	0.374102	0.000000	0.000000	0.000000	0.000000				
C0011991	C0009319	0.404365	0.325088	0.386891	0.111111	0.045368	0.428571	C0012674		C0012674	C0012674=C0011991->C0037089->C0037088->C0039058->*C0012674*<-C0009319<-C0017160<-C0017178<-C0012242
C0013395	C0030920	0.436295	0.318727	0.379678	0.125000	0.044064	0.461538	C0012674		C0012674	C0012674=C0013395->C0037089->C0037088->C0039058->*C0012674*<-C0030920<-C0017178<-C0012242
C0009676	C0011253	0.514281	0.390667	0.567063	0.166667	0.061273	0.615385	C0004928		C0004928	C0004928=C0009676->C0525041->*C0004928*<-C0011253<-C0004941<-C0004927
C0018524	C0033975	0.436295	0.369465	0.493617	0.125000	0.055599	0.461538	C1256749		C1256749	C1256749=C0018524->C0030975->C0525041->C0004928->*C1256749*<-C0033975<-C0525046<-C0004936
C0038362	C0149745	0.702183	0.488927	0.731123	0.333333	0.096124	0.833333	C0026636		C0026636	C0026636=C0038362->*C0026636*<-C0149745
C0034065	C0032285	0.702183	0.527948	0.774332	0.333333	0.114946	0.833333	C0024115		C0024115	C0024115=C0034065->*C0024115*<-C0032285
C0003873	C0003904	0.404365	0.231380	0.057363	0.111111	0.029529	0.333333	C1256741		C1256741	C1256741=C0003873->C0004364->C0021053->C0012674->*C1256741*<-C0003904<-C0524852<-C0543467<-C0002784
C1533685	C1253936	0.375804	0.235341	0.058383	0.100000	0.030070	0.307692	C1256741		C1256741	C1256741=C1533685->C0013153->C0013216->C0039796->C0002784->*C1256741*<-C1253936<-C0022408<-C0026857<-C0012674
C0042164	C0019740	0.304681	0.240273	0.059678	0.076923	0.030757	0.250000	C1256741		C1256741	C1256741=C0042164->C0042161->C0015397->C0012674->*C1256741*<-C0019740<-C0019737<-C0019629<-C0025248<-C0017968<-C0017906<-C0007004<-C0007995
C0042384	C0040053	0.624196	0.543688	0.768936	0.250000	0.123543	0.769231	C0042373		C0042373	C0042373=C0042384->*C0042373*<-C0040053<-C0085307
