Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
D002220	D010672	0.761599	0.688457	0.515392	0.751369	0.333333	0.109268	0.857143	D000927	D000927	D000927	D000927=D002220->*D000927*<-D010672
D009202	D000082	0.000000	0.376914	0.251580	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D009202->D006331->D002318->*C0000000*<-D000082<-D058633<-D045505<-D020228<-D020164
D003047	D006660	0.686551	0.688457	0.532238	0.789259	0.333333	0.118009	0.750000	D009181	D009181	D009181	D009181=D003047->*D009181*<-D006660
D002955	D008727	0.850061	0.448182	0.537320	0.753400	0.142857	0.120781	0.625000	D011622	D011622	D011622	D011622=D002955->D005575->D013763->D005492->*D011622*<-D008727<-D000630
D000787	C055162	0.000000	0.347036	0.214044	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D000787->D017202->D014652->D002318->*C0000000*<-C055162<-D013988<-D058924<-D006574<-D006571
D050171	D050197	0.000000	0.347036	0.228633	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D050171->D052439->D008659->D009750->*C0000000*<-D050197<-D001161<-D001157<-D014652<-D002318
D017294	D007486	0.534326	0.543598	0.384537	0.557859	0.200000	0.060098	0.750000	D005765|D001337|D002491	D005765	D001337	D001337=D017294->D000932->*D001337*<-D007486<-D004639|D002491=D017294->D000932->*D002491*<-D007486<-D004639|D005765=D017294->D000932->*D005765*<-D007486<-D004639
D004614	D016190	0.000000	0.320008	0.229172	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D004614->D015431->D001836->D001835->D012816->D013568->*C0000000*<-D016190<-D009944<-D009942<-D009930
D000212	C060590	0.548920	0.410315	0.363030	0.475600	0.125000	0.054474	0.533333	D011687	D011687	D011687	D011687=D000212->D006147->D007042->D011688->*D011687*<-C060590<-D015075<-D000225
D007328	C089730	0.000000	0.320008	0.236453	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D007328->D007004->D045505->D020228->D020164->*C0000000*<-C089730<-D045162<-D013844<-D013457<-D009930
D012640	D000431	0.000000	0.448182	0.261862	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D012640->D009461->D009422->*C0000000*<-D000431<-D000438<-D009930
D018512	D008288	0.658624	0.606877	0.466453	0.695444	0.250000	0.087376	0.571429	D010272	D010272	D010272	D010272=D018512->*D010272*<-D008288<-D011528
D005759	D004205	0.000000	0.376914	0.234262	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D005759->D005767->D004066->*C0000000*<-D004205<-D002867<-D001578<-D011714<-D006571
