Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.127599				
C0035450	C0034079	0.000000				
C0409162	C0333286	0.021019				
C0011849	C0032584	0.052536				
C0020541	C0027962	0.052460				
C0018802	C0020541	0.060409				
C0085649	C0034063	0.075578				
C0022650	C0041956	0.063250				
C0004604	C0037944	0.060300				
C1956089	C0018862	0.062161				
C0003873	C0035450	0.082104				
C0009871	C1444657	0.004849				
C0020971	C0021051	0.023243				
C0026848	C0011633	0.053458				
C0360714	C0020473	0.024195				
C0004093	C0442874	0.060303				
C0013404	C0231835	0.082994				
C0034065	C0019079	0.074538				
C0029408	C0221434	0.043850				
C0231736	C0231749	0.231593				
C0332536	C0024796	0.007698				
C0458343	C0016053	0.037925				
C0457086	C0003873	0.091697				
C0038454	C0018989	0.068861				
C0006121	C1269897	0.015554				
C0011167	C0031133	0.069442				
C0011168	C0679317	0.015968				
C0429103	C0027051	0.004847				
C1510420	C0041296	0.029615				
C0027627	C0205699	0.028147				
C1956391	C0018681	0.081424				
C0003243	C0443146	0.012118				
C0034735	C0022116	0.080465				
C0011644	C0036421	0.089535				
C0032285	C0332448	0.059377				
C0020877	C0010346	0.097526				
C0030472	C1306459	0.039244				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.000000				
C0011991	C0009319	0.062982				
C0013395	C0030920	0.057217				
C0009676	C0011253	0.062623				
C0018524	C0033975	0.106498				
C0038362	C0149745	0.088150				
C0034065	C0032285	0.074401				
C0003873	C0003904	0.020575				
C1533685	C1253936	0.017490				
C0042164	C0019740	0.021122				
C0042384	C0040053	0.052043				
C0243026	C0020649	0.059421				
C0042109	C0277942	0.118961				
C0017196	C0162429	0.025508				
C0013604	C0017654	0.022533				
C0009378	C0032584	0.026518				
C0010137	C1563292	0.005899				
C0003507	C0006660	0.034026				
C0024530	C0002438	0.080153				
C0442874	C0522224	0.072935				
C0036572	C0018681	0.079158				
C0333997	C0043352	0.049123				
C0036202	C0042866	0.025405				
C0023223	C0042345	0.052977				
C0080331	C0432601	0.000071				
C0030326	C0023798	0.050618				
C0003811	C0026264	0.041255				
C0019054	C1561562	0.008851				
C0013378	C0011167	0.037169				
C0013394	C0029965	0.036675				
C0030842	C0020517	0.020247				
C0023418	C0038250	0.024189				
C0376358	C0001109	0.008475				
C0224498	C0029408	0.017413				
C0037473	C0024485	0.019263				
C0033706	C0039142	0.014157				
C0026764	C0011581	0.052226				
C0011849	C0035450	0.059747				
C0220982	C0409974	0.134009				
C0040583	C0007102	0.039564				
C0037199	C0442041	0.006043				
C0267809	C0376180	0.017102				
C0018801	C0033975	0.064808				
C0034887	C0023055	0.056318				
C0162595	C0702166	0.016670				
C0233651	C1527356	0.158336				
C0005587	C0232208	0.159085				
C0026269	C0030920	0.057763				
C0035222	C0007642	0.054760				
C0037926	C0886052	0.014240				
C0158280	C0023891	0.072570				
C0241910	C0022876	0.058756				
C0917996	C0034065	0.045057				
C0149925	C0011860	0.052161				
C0018926	C0043352	0.058925				
C0010043	C0011127	0.064198				
C0013404	C0231528	0.078813				
C0024117	C0018520	0.056592				
C0029408	C0392525	0.040268				
C0262538	C0040479	0.061200				
C0034069	C0003615	0.062389				
C0007286	C0549493	0.000000				
C0041834	C0029456	0.067374				
