Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.079468				
C0018787	C0027061	0.070976				
C0038454	C0021308	0.068452				
C0011253	C0036341	0.069269				
C1265880	C0009814	0.112457				
C0006826	C0001418	0.045531				
C0018802	C0034063	0.066591				
C0034069	C0242379	0.049682				
C0011991	C0344375	0.104558				
C0026269	C0004238	0.062474				
C0006118	C0151699	0.048516				
C0003232	C0020517	0.013589				
C0034065	C0027051	0.052223				
C0007286	C0029408	0.041054				
C0003873	C0409974	0.081501				
C0702166	C0039142	0.014974				
C0011849	C0020538	0.061695				
C0010137	C0086511	0.018396				
C0206698	C0009378	0.022347				
C0333997	C0007107	0.071058				
C0003615	C0029456	0.063060				
C0011581	C0007642	0.079083				
C0020473	C0006826	0.036502				
C0026769	C0033975	0.061818				
C0030920	C0027092	0.062818				
C0034887	C0003483	0.049140				
C0042345	C0224701	0.028989				
C0043352	C0023891	0.062550				
