Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.062858				
C0006949	C0031507	0.056322				
C0878544	C0000970	0.012477				
C0019340	C0020550	0.000000				
C0036494	C0027497	0.079564				
C0009186	C0019655	0.095376				
C0002962	C0070166	0.011670				
C0061851	C0022046	0.032156				
C0036572	C0021641	0.015003				
C0036690	C0013404	0.061411				
C0028738	C0021167	0.103435				
C0036494	C0001962	0.018572				
C0013456	C0034880	0.065262				
C0032064	C0008402	0.023885				
C0001367	C0209227	0.043735				
C0027497	C0027498	0.134280				
C0162275	C0159075	0.115241				
C0009951	C0001962	0.012481				
C0242723	C0024530	0.051226				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.021783				
C0020639	C0020175	0.039345				
C0213771	C0073992	0.020646				
C0162275	C0016410	0.007322				
C0021641	C0017687	0.077779				
C0086543	C0043144	0.070148				
C0025605	C0040610	0.016228				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.042446				
C0032617	C0159075	0.035490				
C0033860	C0025287	0.058046				
C0042755	C0013132	0.078498				
C0009421	C0019158	0.065699				
C0917801	C0085631	0.087588				
C0442874	C0025598	0.036831				
C0033860	C0003864	0.062057				
C0041296	C0149651	0.065534				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.057249				
C0032285	C0007561	0.028743				
C0114873	C0076107	0.013789				
C0086543	C0025598	0.025944				
C1623038	C0301532	0.005607				
C0036572	C0006949	0.024663				
C0086543	C0021641	0.012013				
C0002871	C0206160	0.033585				
C0009951	C0006949	0.018172				
C0029456	C0032950	0.012619				
C0036572	C0031507	0.026229				
C0885057	C0016157	0.013041				
C0242339	C0016157	0.030161				
C0232197	C0002962	0.072031				
C0007557	C0007561	0.037522				
C0011053	C0004134	0.043100				
C0220892	C0007546	0.030053				
C0011847	C0021641	0.000000				
C0018995	C0003126	0.062498				
C0022116	C0152149	0.088471				
C0030232	C0004057	0.015311				
C0013456	C0233212	0.108625				
C0019340	C0008370	0.000000				
C0242339	C0008402	0.025050				
C0034494	C0702166	0.061506				
C0032064	C0001416	0.041074				
C0159075	C0232955	0.030724				
C0001975	C0012772	0.018614				
C0009214	C0027358	0.051626				
C0043031	C0004057	0.027660				
C0042313	C0017642	0.029691				
C0009187	C0025289	0.061746				
C0030232	C0043031	0.026728				
C0002940	C0029456	0.043111				
C0022116	C0025859	0.017540				
C0016204	C0017687	0.023394				
C0007546	C0007716	0.069159				
C0029456	C0087086	0.042865				
C0014038	C0025289	0.078936				
C0684275	C0040038	0.086788				
C0003864	C0003862	0.077083				
C0152447	C0040822	0.102976				
C0003128	C0079083	0.020858				
