Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
C0156543	C0000786	0.850756	0.937082	0.990387	0.500000	0.747447	0.983607	C0156543		C0156543	C0156543=C0156543*<-C0000786
C0018787	C0027061	0.850756	0.637843	0.864931	0.500000	0.187209	0.985075	C0018787		C0018787	C0018787=C0018787*<-C0027061
C0038454	C0021308	0.653466	0.456927	0.681807	0.200000	0.081062	0.904762	C0042373		C0042373	C0042373=C0038454->C0007820->*C0042373*<-C0021308<-C0022116
C0011253	C0036341	0.701512	0.709473	0.922632	0.250000	0.260766	0.941176	C0349204		C0349204	C0349204=C0011253->C1456786->*C0349204*<-C0036341
C1265880	C0009814	0.614210	0.300687	0.342100	0.166667	0.039345	0.666667	C0332447		C0332447	C0332447=C1265880->C0006663->C0008519->*C0332447*<-C0009814<-C0332463
C0006826	C0001418	0.850756	0.703769	0.899510	0.500000	0.253974	0.979592	C0006826		C0006826	C0006826=C0006826*<-C0001418
C0018802	C0034063	0.581019	0.411650	0.618986	0.142857	0.065742	0.850000	C1302710|C0037088|C0039978|C0007222		C0007222	C0037088=C0018802->C0018801->C0036980->C0036974->*C0037088*<-C0034063<-C0013604|C0039978=C0018802->C0018801->C0018799->C0025061->*C0039978*<-C0034063<-C0024115|C1302710=C0018802->C0018801->C0018799->C0025061->*C1302710*<-C0034063<-C0024115|C0007222=C0018802->C0018801->C0018799->*C0007222*<-C0034063<-C0013604<-C0546817
C0034069	C0242379	0.701512	0.578833	0.827736	0.250000	0.142482	0.926829	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
C0011991	C0344375	0.581019	0.309224	0.369551	0.142857	0.040930	0.785714	C1290906		C1290906	C1290906=C0011991->C0476288->C0426573->*C1290906*<-C0344375<-C0026821<-C0426779
C0026269	C0004238	0.653466	0.527745	0.789246	0.200000	0.112489	0.944444	C0018799		C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
C0006118	C0151699	0.701512	0.450611	0.661436	0.250000	0.078727	0.930233	C1302710|C0006111|C0007682|C1290856		C0006111	C0007682=C0006118->C0085136->*C0007682*<-C0151699|C1302710=C0006118->C1527390->*C1302710*<-C0151699|C1290856=C0006118->C0006111->*C1290856*<-C0151699|C0006111=C0006118->*C0006111*<-C0151699<-C0007820
C0003232	C0020517	0.614210	0.297521	0.000000	0.166667	0.000000	0.285714	C0000000		C0000000	C0000000=C0003232->C0457591->C0729762->*C0000000*<-C0020517<-C0700625
C0034065	C0027051	0.653466	0.445413	0.669130	0.200000	0.076857	0.904762	C0042373		C0042373	C0042373=C0034065->C0013922->*C0042373*<-C0027051<-C0151744
C0007286	C0029408	0.653466	0.352834	0.474246	0.200000	0.050080	0.875000	C0158370		C0158370	C0158370=C0007286->C0410013->*C0158370*<-C0029408<-C1285232
C0003873	C0409974	0.763454	0.491581	0.729945	0.333333	0.095158	0.928571	C0004364		C0004364	C0004364=C0003873->*C0004364*<-C0409974
C0702166	C0039142	0.614210	0.291606	0.301646	0.166667	0.037726	0.761905	C0002784		C0002784	C0002784=C0702166->C0037274->C0011900->*C0002784*<-C0039142<-C0014674
C0011849	C0020538	0.653466	0.369047	0.488126	0.200000	0.053981	0.888889	C0679384|C0012634|C0012674|C1285159		C1285159	C1285159=C0011849->C0014130->*C1285159*<-C0020538<-C0007222|C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0007222|C0012634=C0011849->C0014130->*C0012634*<-C0020538<-C0007222|C0679384=C0011849->C0014130->*C0679384*<-C0020538<-C0007222
C0010137	C0086511	0.526908	0.227362	0.055151	0.111111	0.028026	0.333333	C2720507		C2720507	C2720507=C0010137->C0003209->C0013227->*C2720507*<-C0086511<-C0188002<-C1285451<-C1285152<-C0184661
C0206698	C0009378	0.614210	0.366088	0.523500	0.166667	0.053247	0.800000	C0012240		C0012240	C0012240=C0206698->C0750952->C0751075->*C0012240*<-C0009378<-C0079277
C0333997	C0007107	0.581019	0.356039	0.494637	0.142857	0.050828	0.842105	C0012634|C0679337|C1285159		C0679337	C1285159=C0333997->C0024228->*C1285159*<-C0007107<-C0023055<-C0035244<-C0035204|C0679337=C0333997->C0020507->*C0679337*<-C0007107<-C0153506<-C3164456<-C0006826|C0012634=C0333997->C0024228->*C0012634*<-C0007107<-C0153506<-C3164456<-C0006826
C0003615	C0029456	0.581019	0.340867	0.453924	0.142857	0.047383	0.842105	C0679384|C0012634|C0012674|C1285159		C1285159	C1285159=C0003615->C0017178->C0012242->*C1285159*<-C0029456<-C0005940<-C0026857|C0012674=C0003615->C0017178->C0012242->*C0012674*<-C0029456<-C0005940<-C0026857|C0012634=C0003615->C0017178->C0012242->*C0012634*<-C0029456<-C0005940<-C0026857|C0679384=C0003615->C0017178->C0012242->*C0679384*<-C0029456<-C0679391<-C0263660
C0011581	C0007642	0.614210	0.337707	0.424660	0.166667	0.046695	0.814815	C0012634|C0000000		C0012634	C0012634=C0011581->C0525045->C0004936->*C0012634*<-C0007642<-C1290884|C0000000=C0011581->C0868892->*C0000000*<-C0007642<-C1290884<-C0277538
C0020473	C2939419	0.653466	0.349062	0.438194	0.200000	0.049214	0.846154	C0012634		C0012634	C0012634=C0020473->C0018939->*C0012634*<-C2939419<-C0006826
C0026769	C0033975	0.614210	0.345735	0.434215	0.166667	0.048462	0.814815	C0012634|C0679384		C0012634	C0012634=C0026769->C0007682->C0027765->*C0012634*<-C0033975<-C0004936|C0679384=C0026769->C0007682->C0027765->*C0679384*<-C0033975<-C0556006
C0030920	C0027092	0.614210	0.329269	0.414696	0.166667	0.044907	0.814815	C0012634		C0012634	C0012634=C0030920->C0041582->*C0012634*<-C0027092<-C0034951<-C0015397
C0034887	C0003483	0.526908	0.312198	0.375760	0.111111	0.041497	0.692308	C0392912|C0229960		C0392912	C0392912=C0034887->C0034882->C0021831->C0017189->C1269565->*C0392912*<-C0003483<-C1284327<-C1269562|C0229960=C0034887->C0034882->C0021831->C0017189->C1269565->*C0229960*<-C0003483<-C1284327<-C1269562
C0042345	C0224701	0.552268	0.213355	0.000000	0.125000	0.000000	0.222222	C0000000		C0000000	C0000000=C0042345->C1135335->*C0000000*<-C0224701<-C1269073<-C1254044<-C1269079<-C1720201
C0043352	C0023891	0.581019	0.308817	0.373408	0.142857	0.040853	0.400000	C0266806		C0266806	C0266806=C0043352->C0036093->C0560921->*C0266806*<-C0023891<-C0023890<-C0023895
