Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.064636				
C0035450	C0034079	0.000000				
C0409162	C0333286	0.000000				
C0011849	C0032584	0.000606				
C0020541	C0027962	0.000944				
C0018802	C0020541	0.000344				
C0085649	C0034063	0.010509				
C0022650	C0041956	0.027848				
C0004604	C0037944	0.001688				
C1956089	C0018862	0.001062				
C0003873	C0035450	0.231468				
C0009871	C1444657	0.000005				
C0020971	C0021051	0.000049				
C0026848	C0011633	0.009465				
C0360714	C0020473	0.000005				
C0004093	C0442874	0.001007				
C0013404	C0231835	0.053550				
C0034065	C0019079	0.006655				
C0029408	C0221434	0.000293				
C0231736	C0231749	0.017115				
C0332536	C0024796	0.000699				
C0458343	C0016053	0.000078				
C0457086	C0003873	0.000592				
C0038454	C0018989	0.004658				
C0006121	C1269897	0.012935				
C0011167	C0031133	0.111835				
C0011168	C0679317	0.000000				
C0429103	C0027051	0.000733				
C1510420	C0041296	0.000402				
C0027627	C0205699	0.003207				
C1956391	C0018681	0.003619				
C0003243	C0443146	0.000006				
C0034735	C0022116	0.002626				
C0011644	C0036421	0.551140				
C0032285	C0332448	0.000249				
C0020877	C0010346	0.098712				
C0030472	C1306459	0.011421				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.000000				
C0011991	C0009319	0.003844				
C0013395	C0030920	0.003671				
C0009676	C0011253	0.011939				
C0018524	C0033975	0.030251				
C0038362	C0149745	0.053246				
C0034065	C0032285	0.005081				
C0003873	C0003904	0.000000				
C1533685	C1253936	0.000000				
C0042164	C0019740	0.000000				
C0042384	C0040053	0.007131				
C0243026	C0020649	0.000367				
C0042109	C0277942	0.004355				
C0017196	C0162429	0.000000				
C0013604	C0017654	0.000061				
C0009378	C0032584	0.000000				
C0010137	C1563292	0.000000				
C0003507	C0006660	0.000023				
C0024530	C0002438	0.020848				
C0442874	C0522224	0.002880				
C0036572	C0018681	0.002258				
C0333997	C0043352	0.000463				
C0036202	C0042866	0.000000				
C0023223	C0042345	0.035976				
C0080331	C0432601	0.000007				
C0030326	C0023798	0.002166				
C0003811	C0026264	0.000225				
C0019054	C1561562	0.000618				
C0013378	C0011167	0.000321				
C0013394	C0029965	0.001612				
C0030842	C0020517	0.000000				
C0023418	C0038250	0.000009				
C0376358	C0001109	0.000000				
C0224498	C0029408	0.000017				
C0037473	C0024485	0.000000				
C0033706	C0039142	0.000005				
C0026764	C0011581	0.000045				
C0011849	C0035450	0.000524				
C0220982	C0409974	0.000203				
C0040583	C0007102	0.000073				
C0037199	C0442041	0.000018				
C0267809	C0376180	0.000001				
C0018801	C0033975	0.000064				
C0034887	C0023055	0.000551				
C0162595	C0702166	0.000002				
C0233651	C1527356	0.000025				
C0005587	C0232208	0.000020				
C0026269	C0030920	0.000101				
C0035222	C0007642	0.001958				
C0037926	C0886052	0.000000				
C0158280	C0023891	0.000145				
C0241910	C0022876	0.000179				
C0917996	C0034065	0.002365				
C0149925	C0011860	0.000025				
C0018926	C0043352	0.001466				
C0010043	C0011127	0.002117				
C0013404	C0231528	0.000502				
C0024117	C0018520	0.001078				
C0029408	C0392525	0.000224				
C0262538	C0040479	0.000022				
C0034069	C0003615	0.000440				
C0007286	C0549493	0.000000				
C0041834	C0029456	0.001448				
