Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.228153				
C0018787	C0027061	0.174072				
C0038454	C0021308	0.005844				
C0011253	C0036341	0.024035				
C1265880	C0009814	0.001526				
C0006826	C0001418	0.063339				
C0018802	C0034063	0.000909				
C0034069	C0242379	0.002225				
C0011991	C0344375	0.001497				
C0026269	C0004238	0.001725				
C0006118	C0151699	0.003104				
C0003232	C0020517	0.000002				
C0034065	C0027051	0.001963				
C0007286	C0029408	0.000971				
C0003873	C0409974	0.003706				
C0702166	C0039142	0.000000				
C0011849	C0020538	0.001101				
C0010137	C0086511	0.000000				
C0206698	C0009378	0.000000				
C0333997	C0007107	0.000143				
C0003615	C0029456	0.000182				
C0011581	C0007642	0.000464				
C0020473	C2939419	0.000050				
C0026769	C0033975	0.000229				
C0030920	C0027092	0.019959				
C0034887	C0003483	0.000009				
C0042345	C0224701	0.000002				
C0043352	C0023891	0.001921				
