Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.133134				
C0035450	C0034079	0.000000				
C0409162	C0333286	0.021739				
C0011849	C0032584	0.056327				
C0020541	C0027962	0.056682				
C0018802	C0020541	0.061638				
C0085649	C0034063	0.079255				
C0022650	C0041956	0.064898				
C0004604	C0037944	0.063865				
C1956089	C0018862	0.057767				
C0003873	C0035450	0.084784				
C0009871	C1444657	0.004513				
C0020971	C0021051	0.028179				
C0026848	C0011633	0.056726				
C0360714	C0020473	0.027515				
C0004093	C0442874	0.062120				
C0013404	C0231835	0.096675				
C0034065	C0019079	0.078342				
C0029408	C0221434	0.044050				
C0231736	C0231749	0.233968				
C0332536	C0024796	0.008418				
C0458343	C0016053	0.040716				
C0457086	C0003873	0.094639				
C0038454	C0018989	0.070975				
C0006121	C1269897	0.016639				
C0011167	C0031133	0.078244				
C0011168	C0679317	0.000000				
C0429103	C0027051	0.004965				
C1510420	C0041296	0.031791				
C0027627	C0205699	0.021693				
C1956391	C0018681	0.106110				
C0003243	C0443146	0.012801				
C0034735	C0022116	0.084982				
C0011644	C0036421	0.330437				
C0032285	C0332448	0.061831				
C0020877	C0010346	0.071614				
C0030472	C1306459	0.040527				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.000000				
C0011991	C0009319	0.067578				
C0013395	C0030920	0.060352				
C0009676	C0011253	0.069941				
C0018524	C0033975	0.113636				
C0038362	C0149745	0.092168				
C0034065	C0032285	0.079181				
C0003873	C0003904	0.021986				
C1533685	C1253936	0.018134				
C0042164	C0019740	0.023052				
C0042384	C0040053	0.056401				
C0243026	C0020649	0.062338				
C0042109	C0277942	0.127360				
C0017196	C0162429	0.027682				
C0013604	C0017654	0.024823				
C0009378	C0032584	0.028450				
C0010137	C1563292	0.006440				
C0003507	C0006660	0.031930				
C0024530	C0002438	0.085067				
C0442874	C0522224	0.076303				
C0036572	C0018681	0.086314				
C0333997	C0043352	0.051899				
C0036202	C0042866	0.027579				
C0023223	C0042345	0.054876				
C0080331	C0432601	0.000077				
C0030326	C0023798	0.053237				
C0003811	C0026264	0.042995				
C0019054	C1561562	0.009370				
C0013378	C0011167	0.043663				
C0013394	C0029965	0.039554				
C0030842	C0020517	0.020753				
C0023418	C0038250	0.030277				
C0376358	C0001109	0.008864				
C0224498	C0029408	0.017619				
C0037473	C0024485	0.020770				
C0033706	C0039142	0.015125				
C0026764	C0011581	0.054404				
C0011849	C0035450	0.062747				
C0220982	C0409974	0.157102				
C0040583	C0007102	0.040622				
C0037199	C0442041	0.006158				
C0267809	C0376180	0.015011				
C0018801	C0033975	0.077208				
C0034887	C0023055	0.058342				
C0162595	C0702166	0.016363				
C0233651	C1527356	0.173885				
C0005587	C0232208	0.174664				
C0026269	C0030920	0.061360				
C0035222	C0007642	0.064160				
C0037926	C0886052	0.014857				
C0158280	C0023891	0.075736				
C0241910	C0022876	0.063044				
C0917996	C0034065	0.036848				
C0149925	C0011860	0.057798				
C0018926	C0043352	0.063478				
C0010043	C0011127	0.066116				
C0013404	C0231528	0.095227				
C0024117	C0018520	0.060326				
C0029408	C0392525	0.042284				
C0262538	C0040479	0.063034				
C0034069	C0003615	0.066613				
C0007286	C0549493	0.000000				
C0041834	C0029456	0.071535				
