Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000				
C0156543	C0000786	0.296662				
C0018787	C0027061	0.017347				
C0038454	C0021308	0.001272				
C0011253	C0036341	0.000709				
C1265880	C0009814	0.002411				
C0006826	C0001418	0.088694				
C0018802	C0034063	0.000532				
C0034069	C0242379	0.002378				
C0011991	C0344375	0.000265				
C0026269	C0004238	0.001290				
C0006118	C0151699	0.009225				
C0003232	C0020517	0.000002				
C0034065	C0027051	0.001902				
C0007286	C0029408	0.002190				
C0003873	C0409974	0.000852				
C0702166	C0039142	0.000000				
C0011849	C0020538	0.001198				
C0010137	C0086511	0.000000				
C0206698	C0009378	0.000000				
C0333997	C0007107	0.000145				
C0003615	C0029456	0.000158				
C0011581	C0007642	0.001055				
C0020473	C2939419	0.000041				
C0026769	C0033975	0.000494				
C0030920	C0027092	0.000124				
C0034887	C0003483	0.000004				
C0042345	C0224701	0.000000				
C0043352	C0023891	0.006514				
