Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.149751				
C0035450	C0034079	0.000000				
C0409162	C0333286	0.030253				
C0011849	C0032584	0.091401				
C0020541	C0027962	0.162865				
C0018802	C0020541	0.202753				
C0085649	C0034063	0.201287				
C0022650	C0041956	0.160347				
C0004604	C0037944	0.158174				
C1956089	C0018862	0.148303				
C0003873	C0035450	0.208600				
C0009871	C1444657	0.013949				
C0020971	C0021051	0.082313				
C0026848	C0011633	0.186763				
C0360714	C0020473	0.053136				
C0004093	C0442874	0.178218				
C0013404	C0231835	0.224285				
C0034065	C0019079	0.141399				
C0029408	C0221434	0.079253				
C0231736	C0231749	0.263613				
C0332536	C0024796	0.024197				
C0458343	C0016053	0.035712				
C0457086	C0003873	0.168108				
C0038454	C0018989	0.140156				
C0006121	C1269897	0.023228				
C0011167	C0031133	0.094777				
C0011168	C0679317	0.000000				
C0429103	C0027051	0.008277				
C1510420	C0041296	0.058198				
C0027627	C0205699	0.000000				
C1956391	C0018681	0.191519				
C0003243	C0443146	0.010531				
C0034735	C0022116	0.187875				
C0011644	C0036421	0.527261				
C0032285	C0332448	0.131281				
C0020877	C0010346	0.175946				
C0030472	C1306459	0.099532				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.000000				
C0011991	C0009319	0.148055				
C0013395	C0030920	0.160582				
C0009676	C0011253	0.200470				
C0018524	C0033975	0.230813				
C0038362	C0149745	0.190537				
C0034065	C0032285	0.138585				
C0003873	C0003904	0.035621				
C1533685	C1253936	0.033494				
C0042164	C0019740	0.008284				
C0042384	C0040053	0.134790				
C0243026	C0020649	0.190149				
C0042109	C0277942	0.192588				
C0017196	C0162429	0.050938				
C0013604	C0017654	0.002558				
C0009378	C0032584	0.051291				
C0010137	C1563292	0.016707				
C0003507	C0006660	0.000000				
C0024530	C0002438	0.159571				
C0442874	C0522224	0.161231				
C0036572	C0018681	0.175570				
C0333997	C0043352	0.172804				
C0036202	C0042866	0.069167				
C0023223	C0042345	0.111008				
C0080331	C0432601	0.000047				
C0030326	C0023798	0.117743				
C0003811	C0026264	0.108216				
C0019054	C1561562	0.000000				
C0013378	C0011167	0.149384				
C0013394	C0029965	0.117861				
C0030842	C0020517	0.094457				
C0023418	C0038250	0.003299				
C0376358	C0001109	0.013731				
C0224498	C0029408	0.028846				
C0037473	C0024485	0.053679				
C0033706	C0039142	0.020676				
C0026764	C0011581	0.116905				
C0011849	C0035450	0.150071				
C0220982	C0409974	0.213562				
C0040583	C0007102	0.107136				
C0037199	C0442041	0.015324				
C0267809	C0376180	0.021902				
C0018801	C0033975	0.169488				
C0034887	C0023055	0.127599				
C0162595	C0702166	0.012156				
C0233651	C1527356	0.220579				
C0005587	C0232208	0.214695				
C0026269	C0030920	0.151986				
C0035222	C0007642	0.163410				
C0037926	C0886052	0.032077				
C0158280	C0023891	0.189500				
C0241910	C0022876	0.216924				
C0917996	C0034065	0.000000				
C0149925	C0011860	0.133418				
C0018926	C0043352	0.173107				
C0010043	C0011127	0.137258				
C0013404	C0231528	0.187044				
C0024117	C0018520	0.140261				
C0029408	C0392525	0.076804				
C0262538	C0040479	0.205570				
C0034069	C0003615	0.180845				
C0007286	C0549493	0.000000				
C0041834	C0029456	0.169014				
