Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0017601	C0232197	0.159594				
C0006949	C0031507	0.055435				
C0878544	C0000970	0.029729				
C0019340	C0020550	0.000000				
C0036494	C0027497	0.228239				
C0009186	C0019655	0.203569				
C0002962	C0070166	0.041431				
C0061851	C0022046	0.017051				
C0036572	C0021641	0.072888				
C0036690	C0013404	0.172710				
C0028738	C0021167	0.191272				
C0036494	C0001962	0.068242				
C0013456	C0034880	0.217314				
C0032064	C0008402	0.091272				
C0001367	C0209227	0.081167				
C0027497	C0027498	0.293684				
C0162275	C0159075	0.136137				
C0009951	C0001962	0.026966				
C0242723	C0024530	0.000000				
C0033687	C0011847	0.000000				
C0017160	C0086073	0.041576				
C0020639	C0020175	0.279684				
C0213771	C0073992	0.031900				
C0162275	C0016410	0.017755				
C0021641	C0017687	0.069143				
C0086543	C0043144	0.115920				
C0025605	C0040610	0.035504				
C0011847	C0033860	0.000000				
C0948786	C0030232	0.000000				
C0232471	C0016860	0.000000				
C0031763	C0003564	0.000000				
C0032617	C0159075	0.114332				
C0033860	C0025287	0.157699				
C0042755	C0013132	0.257836				
C0009421	C0019158	0.177289				
C0917801	C0085631	0.230065				
C0442874	C0025598	0.117847				
C0033860	C0003864	0.140804				
C0041296	C0149651	0.128855				
C0028754	C0011847	0.000000				
C0040038	C0019079	0.147147				
C0032285	C0007561	0.112752				
C0114873	C0076107	0.127974				
C0086543	C0025598	0.082388				
C1623038	C0301532	0.000000				
C0036572	C0006949	0.070734				
C0086543	C0021641	0.059942				
C0002871	C0206160	0.026951				
C0009951	C0006949	0.031440				
C0029456	C0032950	0.044755				
C0036572	C0031507	0.112837				
C0885057	C0016157	0.006293				
C0242339	C0016157	0.042275				
C0232197	C0002962	0.157909				
C0007557	C0007561	0.073701				
C0011053	C0004134	0.111514				
C0220892	C0007546	0.000000				
C0011847	C0021641	0.000000				
C0018995	C0003126	0.190149				
C0022116	C0152149	0.205576				
C0030232	C0004057	0.044840				
C0013456	C0233212	0.273310				
C0019340	C0008370	0.000000				
C0242339	C0008402	0.118281				
C0034494	C0702166	0.184093				
C0032064	C0001416	0.000000				
C0159075	C0232955	0.043794				
C0001975	C0012772	0.028689				
C0009214	C0027358	0.051674				
C0043031	C0004057	0.036655				
C0042313	C0017642	0.038821				
C0009187	C0025289	0.189543				
C0030232	C0043031	0.119309				
C0002940	C0029456	0.084450				
C0022116	C0025859	0.059318				
C0016204	C0017687	0.094315				
C0007546	C0007716	0.085984				
C0029456	C0087086	0.087429				
C0014038	C0025289	0.182579				
C0684275	C0040038	0.179280				
C0003864	C0003862	0.144549				
C0152447	C0040822	0.211644				
C0003128	C0079083	0.185771				
C0001924	C0019134	0.034640				
C0032617	C0021641	0.071300				
C0037384	C0038450	0.219728				
C0033860	C0054836	0.047752				
C0019112	C0021359	0.157789				
C0014544	C0031412	0.072257				
C0014544	C0001975	0.030377				
C0033860	C0037763	0.166628				
C0037384	C0023992	0.141959				
C0003850	C0008402	0.064172				
C0854467	C0037384	0.084823				
C0032285	C0036690	0.153681				
C0019270	C0497327	0.124118				
C0018926	C0027498	0.161412				
C0003862	C0030193	0.161255				
C0040165	C0023660	0.023326				
C0032285	C0013404	0.158369				
C0741439	C0025287	0.065358				
C0017601	C0232197	0.159594				
C0036494	C0007297	0.346637				
C0003862	C0149651	0.135169				
C0684275	C0017642	0.055180				
C0013428	C0070166	0.056832				
C0231236	C0042755	0.279850				
C0002940	C0947651	0.000000				
C0009262	C0032950	0.043865				
C0019270	C0006982	0.034022				
C1257763	C0036572	0.198216				
C0086543	C0030305	0.116558				
C0001962	C0001975	0.054198				
C0020550	C0036572	0.181435				
C0116569	C0002598	0.079468				
C0021359	C0079083	0.138303				
C0003862	C0027796	0.155171				
C0003129	C0033487	0.000000				
C0012833	C0004147	0.091406				
C0030305	C0021641	0.072839				
C0017160	C0021641	0.066131				
C0023530	C0007537	0.090767				
C0019655	C0032950	0.043640				
C0442874	C0009806	0.171524				
C0149651	C0013404	0.141376				
C0018991	C0070166	0.053642				
C0026946	C0286651	0.012396				
C0035435	C0009262	0.133975				
C0013404	C0220892	0.000000				
C1623038	C0018926	0.000000				
C0877781	C0018681	0.215414				
C0023992	C0005632	0.102187				
C0920289	C0015672	0.181894				
C0878544	C0039070	0.166310				
C0003129	C0036572	0.000000				
C0036494	C0001962	0.068242				
C0242339	C0060277	0.100823				
C0039730	C0040822	0.182554				
C0009951	C0085208	0.019987				
C0002962	C0028351	0.050394				
C0027121	C0025815	0.034504				
C0003128	C0152149	0.301864				
C0013456	C0002645	0.036655				
C0022116	C0995182	0.000000				
C0006277	C0298130	0.011911				
C0286651	C0024027	0.156065				
C0032285	C1883552	0.096865				
C0037763	C0016860	0.070477				
C0040485	C0014806	0.056254				
C0011603	C0020517	0.168295				
C0947651	C0022614	0.000000				
C0003850	C0022116	0.132083				
C0018995	C0032617	0.172831				
C0025587	C0040460	0.216505				
C0011175	C0038187	0.266893				
C0009319	C0014544	0.151956				
C0011847	C0085602	0.000000				
C0162275	C0038187	0.036499				
C0036572	C0042291	0.027153				
C0018081	C0070166	0.045190				
C0301532	C0039840	0.017449				
C0020676	C1883552	0.102497				
C0039730	C0019045	0.175199				
C0206160	C0004057	0.011131				
C0026946	C0079083	0.129768				
C0026946	C0025289	0.162742				
C0030232	C0060277	0.074646				
C0332566	C0332573	0.114178				
C0018834	C0020740	0.050831				
C0995182	C0020264	0.000000				
C0009214	C0011816	0.043368				
C0001047	C0001443	0.041952				
C0086073	C0032950	0.017172				
C0037763	C0151818	0.236280				
C0011991	C0007537	0.086590				
C0007559	C0007561	0.102889				
C0030193	C0026549	0.063422				
C0027358	C0015846	0.052325				
C0042384	C0018991	0.180573				
C0009262	C0033209	0.191838				
C0126174	C0216784	0.137182				
C1623038	C0002871	0.000000				
C0055003	C0004899	0.000000				
C0037354	C0042214	0.232323				
C0038187	C0152149	0.262140				
C0031763	C0011603	0.000000				
C0011777	C0246719	0.019072				
C0019158	C0000970	0.029522				
C0022116	C0013132	0.218200				
C0019270	C0013456	0.143990				
C0018021	C0011644	0.127061				
C0004134	C0001962	0.060181				
C0043528	C0004576	0.010500				
C0035508	C0034642	0.257235				
C0557875	C0004147	0.096866				
C0004153	C0002962	0.120919				
C0019158	C0018926	0.135222				
C0027358	C0026549	0.056785				
C0011991	C0009262	0.118916				
C0027121	C0026848	0.219986				
C0006277	C0023992	0.131405				
C0013428	C0008809	0.039340				
C0282386	C0536495	0.058967				
C0034880	C0005740	0.155966				
C0008168	C0007561	0.064082				
C0007537	C0007557	0.053584				
C0014806	C0023660	0.025184				
C0020676	C0021359	0.162174				
C0081876	C0006681	0.043341				
C0007398	C0023380	0.216518				
C0036323	C0114873	0.049818				
C0085602	C0032617	0.203925				
C1623038	C0286651	0.000000				
C0038450	C0037384	0.219728				
C0004147	C0016860	0.053387				
C0242453	C0008809	0.039840				
C0011175	C0013369	0.209047				
C0014025	C0065374	0.125492				
C0235250	C0079083	0.190998				
C0206160	C0018926	0.024736				
C0041948	C0751229	0.000000				
C0026848	C0234369	0.239723				
C0021359	C0232197	0.193026				
C0162275	C0021641	0.026221				
C0005716	C0036572	0.168258				
C0006840	C0392071	0.197391				
C0019134	C0033603	0.071159				
C0878544	C0034642	0.180763				
C0026946	C0030193	0.150985				
C0033687	C0026196	0.056273				
C0002962	C0013404	0.136279				
C0004610	C0376288	0.241029				
C0242339	C0286651	0.018936				
C0041948	C0013911	0.253207				
C0029456	C0878544	0.171681				
C0235250	C0027497	0.210214				
C0242723	C0858529	0.000000				
C0442874	C0021641	0.070088				
C0036494	C0149651	0.173442				
C0060277	C0060277	1.000000				
C0858529	C0023992	0.000000				
C0035435	C0000970	0.030022				
C0006309	C0043528	0.013224				
C0004147	C0025859	0.069709				
C0013911	C0006625	0.246673				
C0003564	C0152149	0.235287				
C0038187	C0003123	0.155570				
C0005747	C0043031	0.124221				
C0002680	C0002645	0.040323				
C0002962	C0011991	0.119651				
C0016860	C0024730	0.034826				
C0041948	C0553735	0.234244				
C0021167	C0016860	0.077168				
C0040038	C0019134	0.070273				
C0015300	C0242453	0.178245				
C0041948	C0004057	0.047593				
C0006982	C0018242	0.051442				
C0020517	C0004899	0.000000				
C0019270	C0018021	0.128452				
C0011175	C0039070	0.203057				
C0231851	C0032617	0.204093				
C0003864	C0035435	0.157319				
C0021359	C0003128	0.231048				
C0006277	C0073992	0.041817				
C0026946	C0019655	0.186562				
C0086543	C0011847	0.000000				
C1257763	C0162429	0.211141				
C0009951	C0014544	0.122303				
C0010520	C0016410	0.066097				
C0021359	C0005747	0.179806				
C0442874	C0011847	0.000000				
C0014806	C0002144	0.047945				
C0018834	C0081876	0.022103				
C0030232	C1883552	0.153230				
C0231451	C0017245	0.113664				
C1883552	C0030552	0.093496				
C0020676	C0040165	0.087611				
C0239779	C0221169	0.286403				
C0015300	C0040165	0.083453				
C0021359	C0003128	0.231048				
C0012833	C0042571	0.313225				
C0242339	C0002962	0.188220				
C0017536	C0376286	0.000000				
C0036572	C0995182	0.000000				
C0074393	C0016365	0.111481				
C0031154	C0004134	0.190179				
C0246719	C0102118	0.130188				
C0003862	C0159075	0.033464				
C0149651	C0009806	0.144505				
C0070166	C0286651	0.080478				
C0014563	C0028351	0.047360				
C0009806	C0011991	0.159504				
C0003864	C1623038	0.000000				
C0025289	C0041296	0.165427				
C0012833	C0001962	0.058727				
C0086543	C0027358	0.082512				
C0085631	C0026549	0.074161				
C0003126	C0003564	0.222755				
C0013132	C0006982	0.053758				
C1623038	C0025677	0.000000				
C0017601	C0018681	0.135693				
C0039070	C1883552	0.131422				
C2004489	C0018834	0.226198				
C0032143	C0038418	0.089654				
C0052796	C0008809	0.035706				
C0007398	C0027358	0.144674				
C0003862	C0000970	0.029238				
C0005747	C0270327	0.234053				
C0085635	C0018681	0.224713				
C0025289	C0018681	0.175560				
C0017628	C0289313	0.104346				
C0004153	C0858529	0.000000				
C0003126	C0231617	0.255459				
C0235250	C0061851	0.025195				
C0002962	C0231618	0.182754				
C0398623	C0019079	0.181142				
C0028754	C0076275	0.029665				
C0017642	C0020740	0.048408				
C0004153	C0021400	0.146837				
C0231655	C0018520	0.214642				
C0019209	C0019214	0.341980				
C0003126	C0012265	0.093403				
C0025289	C0042313	0.102032				
C0751229	C0037384	0.000000				
C0392071	C0008809	0.044607				
C0016204	C0018520	0.189649				
C0016382	C0060277	0.072299				
C0152149	C0003564	0.235287				
C0018995	C0003864	0.155011				
C0149651	C0042878	0.091381				
C0152149	C0040460	0.225880				
C0232471	C0020175	0.000000				
C0036396	C0020740	0.048232				
C0006277	C0032285	0.165969				
C0006840	C0025815	0.031085				
C0037384	C0001962	0.057115				
C0232197	C0357929	0.084605				
C0012265	C0012373	0.031888				
C0002333	C0024002	0.099703				
C0019158	C1623038	0.000000				
C0013404	C0025815	0.034190				
C0149651	C0885057	0.009614				
C0035435	C0917801	0.194758				
C0035435	C0032950	0.044025				
C0011847	C0020456	0.000000				
C0232197	C0043031	0.133486				
C0877781	C0017887	0.020095				
C0040038	C0232197	0.181851				
C0019079	C0043031	0.107746				
C0029456	C0246719	0.023590				
C0004134	C0009806	0.197654				
C0026946	C0009187	0.167752				
C0036396	C0231236	0.246826				
C0009014	C0025859	0.037778				
C0003615	C0007546	0.132528				
C0007561	C0007557	0.073701				
C0877781	C0000970	0.010515				
C0070166	C0043031	0.044823				
C0017160	C0013369	0.169247				
C0014544	C0019209	0.166297				
C0020639	C0020175	0.279684				
C0013404	C0073992	0.044371				
C0028978	C0025598	0.073277				
C0008838	C0061851	0.019327				
C0025815	C0032950	0.029334				
C0022116	C0286651	0.013664				
C0231655	C0017887	0.071359				
C0026946	C0005716	0.166787				
C0027497	C0061851	0.016679				
C0008402	C1142985	0.045310				
C1883552	C0074554	0.021068				
C0152447	C0003564	0.221916				
C0079083	C0008838	0.191021				
C0442874	C0039128	0.144535				
C0039128	C0220892	0.000000				
C0022251	C0025859	0.030242				
C0027697	C0553735	0.151535				
C0013090	C0220892	0.000000				
C0041948	C0020740	0.050744				
C0034642	C0010520	0.206312				
C0231451	C0020175	0.283394				
C0152149	C0246719	0.027517				
C1623038	C0018995	0.000000				
C0030305	C0086543	0.116558				
C0030305	C0332566	0.114059				
C0040038	C0013404	0.157236				
C0019158	C0019209	0.188867				
C0034880	C0003564	0.221816				
C0040034	C0018834	0.189904				
C0003615	C0031154	0.180206				
C0025587	C0009262	0.153192				
C0741439	C1282609	0.124588				
C0028351	C0033487	0.048947				
C0035435	C0162323	0.120580				
C0085593	C0037384	0.235625				
C0276185	C0752270	0.045902				
C1257763	C0010592	0.080331				
C0023530	C0005740	0.128242				
C0040165	C0279175	0.189197				
C0004153	C0152447	0.157067				
C0232197	C0040165	0.103841				
C0398623	C0043031	0.127995				
C0018991	C0018681	0.178207				
C0004153	C0040460	0.169572				
C0009024	C0037763	0.201281				
C0553735	C0027697	0.151535				
C0013404	C0027358	0.122439				
C0006309	C0027358	0.112751				
C0025287	C0020453	0.200981				
C0039730	C0060277	0.067046				
C0017887	C0025859	0.024320				
C0020517	C0025287	0.153434				
C0242706	C0076275	0.039616				
C0001882	C0029456	0.210662				
C0009806	C0012373	0.039526				
C0006840	C0026946	0.156869				
C0074554	C0016157	0.069939				
C0009421	C0003129	0.000000				
C0002962	C0858529	0.000000				
C0042384	C0009951	0.084432				
C0039070	C0002333	0.098713				
C0018081	C0076275	0.024788				
C0242706	C0076275	0.039616				
C0036323	C0242723	0.000000				
C0286651	C0074554	0.168745				
C0037384	C0221232	0.181096				
C0003129	C0004134	0.000000				
C0009421	C0086543	0.121487				
C0085208	C0002600	0.042193				
C0003126	C0009806	0.186123				
C0018681	C0016382	0.174281				
C0741439	C0027497	0.063758				
C0031412	C0042291	0.039940				
C0005740	C0012772	0.108352				
C0376286	C0038187	0.000000				
C0026946	C0025815	0.031083				
