"cg","metric","con","spearman","p.value"
"sct-umls","LCH","UMNSRS_similarity",0.224555034415606,6.67778893916085e-08
"sct-umls","INTRINSIC_LCH","UMNSRS_similarity",0.362012282092798,5.73535113096287e-19
"sct-umls","INTRINSIC_LIN","UMNSRS_similarity",0.21785759222113,1.65395979333546e-07
"sct-umls","PATH","UMNSRS_similarity",0.224555034415606,6.67778893916085e-08
"sct-umls","INTRINSIC_PATH","UMNSRS_similarity",0.221542297415122,1.00775458899212e-07
"sct-umls","RADA","UMNSRS_similarity",0.224555034415606,6.67778893916085e-08
"sct-umls","INTRINSIC_RADA","UMNSRS_similarity",0.221545824549247,1.00727259606663e-07
"sct-umls","JACCARD","UMNSRS_similarity",0.217858867942615,1.65367857383135e-07
"sct-umls","SOKAL","UMNSRS_similarity",0.217831046362708,1.659822026087e-07
"sct-umls","LCH","UMNSRS_relatedness",0.173707528854093,2.31784271498236e-05
"sct-umls","INTRINSIC_LCH","UMNSRS_relatedness",0.295903681475328,2.50919141968539e-13
"sct-umls","INTRINSIC_LIN","UMNSRS_relatedness",0.163982070602791,6.56419331848188e-05
"sct-umls","PATH","UMNSRS_relatedness",0.173707528854093,2.31784271498236e-05
"sct-umls","INTRINSIC_PATH","UMNSRS_relatedness",0.170751950062184,3.19988591303747e-05
"sct-umls","RADA","UMNSRS_relatedness",0.173707528854093,2.31784271498236e-05
"sct-umls","INTRINSIC_RADA","UMNSRS_relatedness",0.170748154027801,3.20120047850114e-05
"sct-umls","JACCARD","UMNSRS_relatedness",0.163978562024743,6.56659064426274e-05
"sct-umls","SOKAL","UMNSRS_relatedness",0.163995624626707,6.55493994305469e-05
"sct-umls","LCH","MayoSRS",0.0386346350328102,0.701287100585409
"sct-umls","INTRINSIC_LCH","MayoSRS",0.292002043203944,0.00304739790633861
"sct-umls","INTRINSIC_LIN","MayoSRS",0.0963785536308039,0.337674420200569
"sct-umls","PATH","MayoSRS",0.0386346350328102,0.701287100585409
"sct-umls","INTRINSIC_PATH","MayoSRS",0.126896279123463,0.206037432713472
"sct-umls","RADA","MayoSRS",0.0386346350328102,0.701287100585409
"sct-umls","INTRINSIC_RADA","MayoSRS",0.126896279123463,0.206037432713472
"sct-umls","JACCARD","MayoSRS",0.0963785536308039,0.337674420200569
"sct-umls","SOKAL","MayoSRS",0.0963785536308039,0.337674420200569
"sct-umls","LCH","MiniMayoSRS_Physicians",0.209870472974532,0.274525907427238
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.392392834718791,0.0352539954773847
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.268651194309492,0.158789680137085
"sct-umls","PATH","MiniMayoSRS_Physicians",0.209870472974532,0.274525907427238
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.272406802804033,0.152823515652696
"sct-umls","RADA","MiniMayoSRS_Physicians",0.209870472974532,0.274525907427238
"sct-umls","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.272406802804033,0.152823515652696
